"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",37.3547448120189,29.9367813032492,21.7240359899684,24.9031632080126,7.41796350876971,37.0898175438486,24.6382359398423,33.3808357894637,12.4515816040063,28.3472176942271,51.6608172932176,28.8770722305678,12.981436140347,19.6046178446057,28.3472176942271,48.2167628070031,34.9703993984858,5.82839989974763,16.4254906265615,31.7912721804416,0.0238048681182286,0.0238589284667865,0.0238783062360302,0.0241337298294979,0.0244550331217754,0.0247729649334167,0.0239924558138116,0.0238083093052959,0.0243005929769553,0.0243700523608997,0.0243617517072396,0.024844161364348,0.0248791561232277,0.024271877480804,0.0246512150412438,0.0252221469389464,0.0243620610425317,0.0246380602400774,0.0251599688626194,0.0238670722146384,0.0247031452968279,0.0242769754948988,0.025026376052176,0.0244291292525078,0.0248561983680707,0.0252840409861244,0.0238780995889923,0.0245190944918171,0.0252415146310894,0.0252254454887743
"A8DYE2",37.3547448120189,29.9367813032492,21.7240359899684,24.9031632080126,7.41796350876971,37.0898175438486,24.6382359398423,33.3808357894637,12.4515816040063,28.3472176942271,51.6608172932176,28.8770722305678,12.981436140347,19.6046178446057,28.3472176942271,48.2167628070031,34.9703993984858,5.82839989974763,16.4254906265615,31.7912721804416,0.0238048681182286,0.0238589284667865,0.0238783062360302,0.0241337298294979,0.0244550331217754,0.0247729649334167,0.0239924558138116,0.0238083093052959,0.0243005929769553,0.0243700523608997,0.0243617517072396,0.024844161364348,0.0248791561232277,0.024271877480804,0.0246512150412438,0.0252221469389464,0.0243620610425317,0.0246380602400774,0.0251599688626194,0.0238670722146384,0.0247031452968279,0.0242769754948988,0.025026376052176,0.0244291292525078,0.0248561983680707,0.0252840409861244,0.0238780995889923,0.0245190944918171,0.0252415146310894,0.0252254454887743
"Q9HCF6",17.103472265443,17.103472265443,12.2532338618099,14.5507152108993,4.59496269817873,22.4642620799849,13.7848880945362,17.6140236763518,8.67937398544871,22.9748134908936,34.4622202363405,19.6562293199868,13.5296123890818,12.7637852727187,13.7848880945362,17.103472265443,13.7848880945362,5.10551410908748,10.211028218175,18.8904022036237,0.0240493322475977,0.0244108096667662,0.024446956019476,0.0245012327569981,0.0240953077003946,0.0246179582202793,0.0239098711341637,0.0250709658133179,0.0249796089749126,0.0252495301846542,0.0242073509476854,0.0253855232032821,0.0249094280825737,0.0245737060169339,0.0248130165236174,0.0259998054417119,0.0246446972736895,0.0256615286304926,0.0249031738634532,0.0247189403494733,0.0254970655313644,0.0248572489468985,0.025444355629252,0.0244737916398345,0.0243823597917822,0.0258202591570974,0.0246053397991479,0.0250915970932517,0.0245283016591666,0.0248752322463576
"Q96QT4",18.7625792030443,14.0719344022832,12.2477947575428,12.5083861353628,4.95123617858113,19.5443533365044,15.1142999135634,16.1566654248437,9.38128960152213,23.1926326259853,33.6162877387876,21.1079016034248,9.90247235716225,14.3325257801033,12.2477947575428,19.0231705808643,15.8960740470236,5.21182755640119,12.2477947575428,23.9744067594455,0.0240409313673325,0.0250202957865939,0.024227547902208,0.024077225330166,0.0250844534833888,0.0244686293680443,0.0240729080813685,0.0247852758546147,0.0247961218815306,0.0249571476057055,0.0240568377686241,0.0254172725567765,0.0248415566200639,0.0245868734380792,0.0241722430401014,0.0248752355830159,0.0239209137341752,0.0248523778983982,0.0243780906896788,0.0250840762918589,0.0242104435240929,0.0245367165819773,0.0258768377325683,0.0241667171750274,0.0250603377206885,0.0257692057567043,0.0240056711361103,0.0248672034429311,0.0244486843586407,0.024750790469475
"Q923J1",18.5416076521774,13.5797689846933,11.7517231598308,12.796320774038,4.70068926393231,19.5862052663846,14.1020677917969,15.9301136166595,9.66252793141642,22.981147512558,33.165974251078,21.9365498983508,10.18482673852,14.3632171953487,12.5351713704862,20.6308028805918,16.1912630202113,5.2229880710359,12.2740219669344,24.0257451267651,0.0240501007876948,0.0248465162883155,0.0240846369937342,0.0241238390508894,0.0250710575765977,0.0245248463317484,0.0240490531808543,0.0246529341198588,0.0246927698694558,0.0251490057101403,0.0241081804621026,0.025442722181928,0.0247360337275145,0.0245689658853449,0.0241490749606702,0.0249564597854113,0.0240301148003101,0.0248167913285797,0.0244340963158777,0.0249734865743646,0.0242581759695365,0.0244642730161784,0.0257706278845458,0.0241152714118839,0.0249882417200032,0.0258213331533864,0.0238180009839642,0.0247944550046062,0.0245364030658104,0.0248231283068969
"Q925B3",18.8199390281582,13.5921781870032,11.7624618925989,12.5466260187722,4.70498475703956,19.8654911963892,14.3763423131764,15.9446705655229,9.67135755613687,23.5249237851978,32.9348932992769,21.4338194487358,9.93274559819462,14.3763423131764,12.5466260187722,20.6496553225625,15.9446705655229,5.22776084115506,12.2852379767144,23.7863118272555,0.0240041567608712,0.0248916262043578,0.0240544705400781,0.0240882032397516,0.0250542982930518,0.0245115827570274,0.0239727863013425,0.0247018245569517,0.0248336740596071,0.0249676579068084,0.0240568514527906,0.0255071477059637,0.0247285854445965,0.0245749276163078,0.0240249035660563,0.0248651960009135,0.0241555549351699,0.0248933766083873,0.0244257157224814,0.0249387275320152,0.0242395175484011,0.0246254266062151,0.0259011287078534,0.0241258594379696,0.0249064777896781,0.0258419585225568,0.0237691659182483,0.0247699358209032,0.0244813776388767,0.0246998427470146
"Q9BX84",16.0815504308041,12.4502325915903,10.8939535176415,14.5252713568553,4.92821706750449,20.4910078069923,13.2283721285647,14.5252713568553,11.4127132089578,19.1941085787017,33.4600000898989,20.2316279613342,10.1158139806671,13.4877519742228,11.1533333632996,22.0472868809411,15.822170585146,7.00325583276954,11.931472900274,20.2316279613342,0.0242865892757854,0.0255047006696081,0.0240090331774349,0.0238992654234204,0.0242857547170735,0.0247288417424471,0.0247373488815054,0.0243416717123121,0.0245640873795264,0.0253550481617418,0.0240317326949646,0.0249465395637815,0.0243199123609471,0.0246786285770571,0.0246690051140112,0.0242377980437305,0.0244601758141505,0.0256462527425441,0.0249781252105221,0.0243790144855209,0.0247853721276126,0.0245640420087661,0.0253722164944747,0.0249865202420505,0.0243538452675928,0.0254518816531078,0.0248779596995989,0.0247576174764698,0.0243504639890552,0.0250607096350561
"Q8CIR4",14.6207618700758,12.568725116381,12.0557159279573,13.3382388990166,5.64310107266085,20.5203675369486,11.7992113337454,15.1337710584996,9.74717458005056,18.4683307832537,34.115111030177,20.7768721311604,11.2862021453217,14.1077526816521,11.2862021453217,21.0333767253723,14.6207618700758,7.43863323214385,11.0296975511098,18.7248353774656,0.0241522543882215,0.0254772298491967,0.0242870849420328,0.0235285473236792,0.0241182733897969,0.0247355594638983,0.0246922836042796,0.0242002888902091,0.0250471686169716,0.0247071573007797,0.0232867618917143,0.0250815828134843,0.0240053691901542,0.0250248171316033,0.0247644636712001,0.0244636297281939,0.0245781398819649,0.02578627074577,0.0253568217035018,0.0247330711257611,0.0248369509823114,0.0254648225155482,0.0254740586086649,0.0249316302748332,0.0249424680017865,0.0254200960767823,0.0248424317875112,0.0249197626692218,0.0251225345901726,0.0255138746288979
"Q2WEA5",15.7020766411193,14.6724322712098,12.0983213464361,14.1576100862551,5.66304403450203,20.3354763057118,13.385376808823,17.7613653809382,5.92045512697939,18.7910097508476,32.9486198371027,21.879942860576,11.3260880690041,11.3260880690041,13.385376808823,21.879942860576,10.8112658840493,5.66304403450203,10.2964436990946,21.879942860576,0.0240583215305985,0.0238449609609938,0.0240470826135891,0.0240917921412163,0.0238105487637146,0.0251272569785818,0.0244379085761641,0.0249666480073075,0.0249703410836355,0.0244917913426826,0.0243595055047359,0.0252115667088125,0.0253389094192773,0.0247958153212614,0.0241323415331927,0.0253338091749107,0.0247168686387714,0.0256904820841581,0.0249678037320455,0.0250621710915749,0.0251048070628246,0.0247352565397278,0.0251529060759541,0.0243592508736788,0.0250445541889039,0.0261055300832002,0.0246039556077466,0.0252530192901854,0.0240287655764451,0.0247449370167445
"Q2TV84",15.651914811236,14.6255597416467,11.8030833002763,13.8557934394548,5.64495288274085,20.5271013917849,13.3426159046602,18.2178024852091,5.38836411534354,18.4743912526064,33.0999509942532,22.5798115309634,11.2899057654817,11.2899057654817,13.3426159046602,21.5534564613742,11.2899057654817,5.64495288274085,10.5201394632898,20.7836901591822,0.0240368796473526,0.0237605133561549,0.0239561899323044,0.0238743211383973,0.0238116780676916,0.0250830617375031,0.0245536010013938,0.0247393903398955,0.0247932748587865,0.0246083765549393,0.0246469908555026,0.0254666616521596,0.0251250825301517,0.0248166358349241,0.0241908578231355,0.025370708398845,0.0247218423905029,0.0255683532868025,0.0252595524220863,0.0251976221767038,0.0252034220522526,0.0249366653457854,0.0247490651000829,0.0246147936935677,0.0251253909344702,0.02586610192265,0.0248597300417818,0.0253480925925237,0.0240158465366053,0.0251105303777362
