"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",5.98442707397429,4.94365714806572,2.08153985181714,3.90288722215714,0.780577444431429,3.64269474068,1.30096240738571,5.72423459249714,3.64269474068,5.20384962954286,9.1067368517,1.56115488886286,2.34173233329429,4.68346466658857,3.38250225920286,5.20384962954286,5.72423459249714,1.04076992590857,1.82134737034,4.68346466658857,0.0261364869406564,0.0262429338301924,0.024329178071638,0.0254582214677382,0.0236262289656555,0.0241454297035677,0.0251982864244934,0.0247075012760807,0.0239277085892947,0.024403536007138,0.0241601718995394,0.0260095870059882,0.0245482617203673,0.0265045140937187,0.0224605753597811,0.0252130684773169,0.0250778771070057,0.0232876599984843,0.0227015145792369,0.0234370286676061,0.0272698825546525,0.0246049251253557,0.0252455020576518,0.0253892160284674,0.0223721947668525,0.024915001055882,0.0251010059136999,0.0232203110150185,0.0255471377417193,0.0245665720780581
"Q14500",5.27715308723954,4.52327407477675,2.01034403323411,3.51810205815969,1.50775802492558,5.02586008308528,1.75905102907985,3.76939506231396,2.26163703738837,6.03103209970233,6.53361810801086,2.7642230456969,2.7642230456969,5.02586008308528,1.75905102907985,3.01551604985117,3.26680905400543,1.00517201661706,2.01034403323411,5.02586008308528,0.0261264031692367,0.0235383765504046,0.0268433014106433,0.0244904275209158,0.0246150663867588,0.0257768107817443,0.0255042097773171,0.026213386020602,0.0229428582008477,0.0265800190496764,0.0241100325248074,0.0263349665652878,0.0223614026582926,0.0250433860412373,0.0219103417974171,0.0250050266508491,0.0241883248962085,0.0279822688218865,0.0252688831923445,0.0264674366997284,0.0232481716690473,0.0239341529792814,0.025562180744487,0.026912663841675,0.0267695610618263,0.0231635387671347,0.0259911620641447,0.021693187609238,0.0257419197754211,0.0243875286172746
"P49656",4.54841352789454,3.79034460657878,1.7688274830701,4.54841352789454,2.27420676394727,4.04303424701737,2.02151712350868,3.5376549661402,2.02151712350868,5.55917208964888,5.55917208964888,3.03227568526303,2.27420676394727,5.05379280877171,1.26344820219293,3.79034460657878,3.28496532570161,1.51613784263151,2.52689640438586,6.82262029184181,0.0264740314727876,0.0234219671798427,0.0275535874094975,0.0244952985560172,0.0244972040497943,0.0249713947601938,0.0247875057592775,0.025944265898443,0.0230303382495492,0.0257965643448055,0.0234673296681328,0.026621395945882,0.022736328565284,0.0242871863966477,0.0220225054298627,0.0254470929548888,0.0244188572318695,0.0278918594446252,0.026066718549825,0.0260442602056141,0.0235592360482455,0.0247569621240708,0.0250729047100245,0.026210130404403,0.0270561792584161,0.022971519804339,0.0258372695849315,0.0225063337833159,0.0259222738069036,0.0234418579639246
"P63253",4.53892335635708,3.78243613029757,1.76513686080553,4.53892335635708,2.26946167817854,4.03459853898407,2.01729926949204,3.53027372161107,2.01729926949204,6.05189780847611,5.5475729911031,3.02594890423806,2.01729926949204,5.04324817373009,1.26081204343252,3.78243613029757,3.27811131292456,1.51297445211903,2.52162408686505,6.55622262584912,0.0265861881642015,0.0234926455884357,0.0275628858601407,0.0245454268127475,0.0244687153145556,0.0250598247228472,0.0247190411003409,0.0259170600828457,0.0230035477991431,0.0257558930166168,0.0234982285872911,0.0267553378587405,0.0227637929559102,0.0242525285917072,0.0220190235864222,0.0255747826124247,0.0243376783759928,0.0278110331333182,0.0259844191154941,0.02601184631852,0.0235859656996418,0.0247791007321325,0.0250470577253397,0.0263268016669127,0.0272561035129815,0.0229596919258782,0.0257947001331663,0.0225772096832582,0.0259908923482518,0.023400168288237
"O19182",4.54197852376453,3.78498210313711,1.76632498146398,4.54197852376453,2.27098926188226,4.03731424334625,2.01865712167312,3.53264996292797,2.01865712167312,5.80363922481023,5.55130708460109,3.02798568250969,2.01865712167312,5.04664280418281,1.2616607010457,3.78498210313711,3.28031782271883,1.51399284125484,2.52332140209141,6.81296778564679,0.0265595479100617,0.0234909302667652,0.027582333410974,0.0245382524398026,0.0244615394406663,0.0250661355432533,0.024777292945678,0.0258836299555379,0.0229956518491216,0.0257598527116342,0.023489860025554,0.0267216952619309,0.0227473178449559,0.024252825373005,0.0220447685737235,0.0255321738382914,0.02434953300214,0.0278547085174015,0.0260302975531189,0.0260074133092274,0.0235365328112414,0.0247484227953044,0.025081485556531,0.0263197860893085,0.0272237813714788,0.0229387911053995,0.0257952382161663,0.0225355948442911,0.0259454255152063,0.023397041713089
"P63252",4.53892335635708,3.78243613029757,1.76513686080553,4.53892335635708,2.26946167817854,4.03459853898407,2.01729926949204,3.53027372161107,2.01729926949204,6.05189780847611,5.5475729911031,3.02594890423806,2.01729926949204,5.04324817373009,1.26081204343252,3.78243613029757,3.27811131292456,1.51297445211903,2.52162408686505,6.55622262584912,0.0265861881642015,0.0234926455884357,0.0275628858601407,0.0245454268127475,0.0244687153145556,0.0250598247228472,0.0247190411003409,0.0259170600828457,0.0230035477991431,0.0257558930166168,0.0234982285872911,0.0267553378587405,0.0227637929559102,0.0242525285917072,0.0220190235864222,0.0255747826124247,0.0243376783759928,0.0278110331333182,0.0259844191154941,0.02601184631852,0.0235859656996418,0.0247791007321325,0.0250470577253397,0.0263268016669127,0.0272561035129815,0.0229596919258782,0.0257947001331663,0.0225772096832582,0.0259908923482518,0.023400168288237
"O18839",4.53892335635708,3.78243613029757,1.76513686080553,4.53892335635708,2.26946167817854,4.03459853898407,2.01729926949204,3.53027372161107,2.01729926949204,6.05189780847611,5.5475729911031,3.02594890423806,2.01729926949204,5.04324817373009,1.26081204343252,3.78243613029757,3.27811131292456,1.51297445211903,2.52162408686505,6.55622262584912,0.0265861881642015,0.0234926455884357,0.0275628858601407,0.0245454268127475,0.0244687153145556,0.0250598247228472,0.0247190411003409,0.0259170600828457,0.0230035477991431,0.0257558930166168,0.0234982285872911,0.0267553378587405,0.0227637929559102,0.0242525285917072,0.0220190235864222,0.0255747826124247,0.0243376783759928,0.0278110331333182,0.0259844191154941,0.02601184631852,0.0235859656996418,0.0247791007321325,0.0250470577253397,0.0263268016669127,0.0272561035129815,0.0229596919258782,0.0257947001331663,0.0225772096832582,0.0259908923482518,0.023400168288237
"Q9MYY9",4.54197852376453,3.78498210313711,1.76632498146398,4.54197852376453,2.27098926188226,4.03731424334625,2.01865712167312,3.53264996292797,2.01865712167312,5.80363922481023,5.55130708460109,3.02798568250969,2.01865712167312,5.04664280418281,1.2616607010457,3.78498210313711,3.28031782271883,1.51399284125484,2.52332140209141,6.81296778564679,0.0265595479100617,0.0234909302667652,0.027582333410974,0.0245382524398026,0.0244615394406663,0.0250661355432533,0.024777292945678,0.0258836299555379,0.0229956518491216,0.0257598527116342,0.023489860025554,0.0267216952619309,0.0227473178449559,0.024252825373005,0.0220447685737235,0.0255321738382914,0.02434953300214,0.0278547085174015,0.0260302975531189,0.0260074133092274,0.0235365328112414,0.0247484227953044,0.025081485556531,0.0263197860893085,0.0272237813714788,0.0229387911053995,0.0257952382161663,0.0225355948442911,0.0259454255152063,0.023397041713089
"P52185",4.53892335635708,3.78243613029757,1.76513686080553,4.53892335635708,2.26946167817854,4.03459853898407,2.01729926949204,3.53027372161107,2.01729926949204,6.05189780847611,5.5475729911031,3.02594890423806,2.01729926949204,5.04324817373009,1.26081204343252,3.78243613029757,3.27811131292456,1.51297445211903,2.52162408686505,6.55622262584912,0.0265861881642015,0.0234926455884357,0.0275628858601407,0.0245454268127475,0.0244687153145556,0.0250598247228472,0.0247190411003409,0.0259170600828457,0.0230035477991431,0.0257558930166168,0.0234982285872911,0.0267553378587405,0.0227637929559102,0.0242525285917072,0.0220190235864222,0.0255747826124247,0.0243376783759928,0.0278110331333182,0.0259844191154941,0.02601184631852,0.0235859656996418,0.0247791007321325,0.0250470577253397,0.0263268016669127,0.0272561035129815,0.0229596919258782,0.0257947001331663,0.0225772096832582,0.0259908923482518,0.023400168288237
"P52187",5.27715308723954,4.52327407477675,2.01034403323411,3.51810205815969,1.50775802492558,5.02586008308528,1.75905102907985,3.76939506231396,2.26163703738837,6.03103209970233,6.53361810801086,2.7642230456969,2.7642230456969,5.02586008308528,1.75905102907985,3.01551604985117,3.26680905400543,1.00517201661706,2.01034403323411,5.02586008308528,0.0261264031692367,0.0235383765504046,0.0268433014106433,0.0244904275209158,0.0246150663867588,0.0257768107817443,0.0255042097773171,0.026213386020602,0.0229428582008477,0.0265800190496764,0.0241100325248074,0.0263349665652878,0.0223614026582926,0.0250433860412373,0.0219103417974171,0.0250050266508491,0.0241883248962085,0.0279822688218865,0.0252688831923445,0.0264674366997284,0.0232481716690473,0.0239341529792814,0.025562180744487,0.026912663841675,0.0267695610618263,0.0231635387671347,0.0259911620641447,0.021693187609238,0.0257419197754211,0.0243875286172746
