"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",12.2525679767442,11.9973061438954,8.93416414970932,15.3157099709303,6.1262839883721,16.8472809680233,9.95521148110467,18.1235901322675,5.61576032267443,13.7841389738372,19.1446374636628,10.2104733139535,4.59471299127908,9.44468781540699,14.8051863052326,20.420946627907,13.7841389738372,5.36049848982559,9.95521148110467,10.9762588125,0.0264762321847923,0.024001262374571,0.0248071642336026,0.0247509240216522,0.024261300892617,0.0256027547531192,0.0246198329016023,0.0242622831586452,0.0248898416141274,0.0252592362740204,0.023352582253402,0.0249003639355627,0.0250761347918175,0.0246644682470224,0.0249233792670289,0.0239661299090587,0.0246839009254969,0.0246535676070126,0.0244105213425266,0.025136419937565,0.0256096008001239,0.0260721898967989,0.0241950703220212,0.0244739168167029,0.0240784203066841,0.0258939727186607,0.0251429264227001,0.0252863891180532,0.0249089426647366,0.024378437459438
"O60462",12.2755630376572,11.7640812444215,8.95093138162503,15.3444537970715,6.13778151882859,16.8788991767786,9.97389496809646,18.1576036598679,5.62629972559288,13.8100084173643,19.1805672463394,10.4853767613322,4.60333613912145,9.46241317486075,14.8329720038358,20.4592717294286,13.8100084173643,5.37055882897502,9.97389496809646,10.9968585545679,0.0264529441453799,0.0239978738076213,0.0247804155372086,0.0247484174797435,0.0242555639183741,0.0255545835301485,0.0246408698123072,0.0242575250487768,0.0248443820587024,0.025216963576842,0.0233149782712439,0.0248816284356872,0.025054261777502,0.0246239149194208,0.0249364860433749,0.0239730494940758,0.0246633013089675,0.0246219358918819,0.0244071755248153,0.0251650538917358,0.0255753378408291,0.0260308863138539,0.0241655582137639,0.0244832996277476,0.0240562975229638,0.0258723609622233,0.025137929907811,0.0252893864844305,0.0249149741899504,0.0243417478447591
"O35375",11.2568878239385,11.2568878239385,8.95434258722383,16.1178166570029,6.1401206312392,16.1178166570029,9.46601930649376,19.4437153322575,5.88428227160423,14.0711097799232,18.9320386129875,11.2568878239385,4.6050904734294,9.72185766612873,14.5827864991931,20.4670687707973,14.0711097799232,5.3726055523343,9.72185766612873,10.7452111046686,0.0264703524205521,0.0237898237341223,0.0249250014256351,0.0249289330207371,0.0242655564467929,0.0256479907712115,0.0244269784058226,0.0245940523697854,0.0249349122591911,0.0253085564998618,0.0234979635570325,0.0248010808625011,0.0247650598534194,0.024634763950431,0.0249988891146276,0.0237452027453076,0.0243172494005219,0.0246425557947174,0.0247379184862797,0.0251724388511622,0.0252393655398606,0.0261630691509143,0.0242667536552696,0.0245793064878855,0.0238907946189532,0.02561959946204,0.0252321052054951,0.0253287457920559,0.0247516060161393,0.0244850144667077
"O35276",11.5138460851374,11.257982838801,9.21107686810988,15.6076580265195,6.14071791207325,15.6076580265195,9.72280336078265,19.4456067215653,5.62899141940048,13.8166153021648,18.9338802288925,11.257982838801,4.86140168039133,9.72280336078265,14.8400682875104,19.9573332142381,13.8166153021648,5.3731281730641,9.46694011444627,10.4903930997918,0.026392484714827,0.0238013193983094,0.0246805497611128,0.0250485637719402,0.0242696716521141,0.0256218525654158,0.0246001405875489,0.0245262978006943,0.0250220958359277,0.0251767385087531,0.023387596783906,0.024955754965033,0.0250033837237866,0.0246526956667619,0.0252932750326273,0.0236342518284663,0.024703808589949,0.024679484486755,0.0247528649513756,0.024742589276384,0.0253176976550427,0.026060847048403,0.0242356731185343,0.0243031595063734,0.0240703604976829,0.0256203474968243,0.0249464938029261,0.0251448833099487,0.0248612839010547,0.0246305874251363
"P97333",8.71158535006435,8.96780844859566,11.0175932368461,13.0673780250965,5.38068506915739,16.1420552074722,6.91802366034522,20.7540709810357,5.6369081676887,15.117162813347,13.8360473206904,13.3236011236278,4.61201577356348,8.45536225153305,12.0424856309713,19.4729554883791,12.2987087295026,4.86823887209479,9.22403154712696,12.8111549265652,0.0257088918171363,0.0244381223645737,0.024366938572259,0.0249950434407057,0.0234630115778258,0.0258963049399698,0.0244150488411533,0.0247982371025193,0.0247949759776251,0.0248923755628147,0.0237035418188729,0.0255004642094346,0.0246882234203219,0.0255686759080532,0.0239657654362942,0.0245571919786067,0.0247436326106434,0.0241365466859703,0.0247776199462461,0.0245299044053036,0.0253591748585369,0.0249140370148169,0.024371450137063,0.0254629930724028,0.0246949173673357,0.0259146710779142,0.0253738846956846,0.0244622750210618,0.0246418845336313,0.0246410970739188
"Q9QWJ9",8.63703760011546,9.39912915306683,10.9233122589696,12.9555564001732,5.33464087065955,15.7498920943282,6.85882397656228,20.5764719296868,5.58867138831,15.4958615766777,13.4636174354741,13.2095869178236,4.57254931770819,8.63703760011546,12.4474953648723,18.0361667531823,11.9394343295714,4.82657983535864,9.14509863541637,12.7015258825227,0.0257099925026604,0.0244043595902065,0.0245062410936083,0.0250379080396058,0.0236385893502603,0.025919876524123,0.024692621784168,0.0248731876569679,0.0248387950860659,0.0248511593866544,0.0236342446917731,0.0256275370729657,0.024952867032738,0.0254695372501324,0.0243977976449633,0.0245284148784627,0.0247405789963849,0.0241859723411429,0.0247712201951775,0.0247017529958947,0.0254541549599699,0.0250994515854289,0.0243734875315018,0.0256399268841512,0.0246603122752127,0.0259783574633428,0.0255058036838202,0.0243980124897227,0.0248768315933596,0.0245004897690796
"P79795",7.75404703160344,9.04638820353734,11.1141340786316,13.6988164224994,5.42783292212241,16.541967000754,8.52945173476378,19.6435858133954,4.91089645334884,15.2496258288201,14.7326893600465,12.4064752505655,4.1354917501885,7.75404703160344,13.4403481881126,20.1605222821689,11.8895387817919,4.65242821896206,9.82179290669769,13.6988164224994,0.0259195211011658,0.0244580000431495,0.0242036353038842,0.0245965174248707,0.0237383350942889,0.025479764300291,0.0244109669698401,0.0247293165368652,0.0250172199316044,0.0248444865704868,0.0233781369253264,0.0257801888503314,0.0244214999597481,0.0252703988949359,0.0240616134009825,0.0242411203714259,0.0241196149538806,0.0239129473688245,0.0248583635575683,0.0243514571006103,0.0255142489236473,0.0251052517574924,0.0242620033692885,0.0252969444993712,0.0242476784021392,0.0254179398743026,0.0256312353098,0.0242974357514846,0.0248402115862269,0.0251257114793857
"P28824",11.8746879679482,9.29323406187251,11.8746879679482,12.6491241397709,5.1629078121514,16.2631596082769,7.22807093701195,19.3609042955677,5.1629078121514,15.2305780458466,14.1979964834163,12.6491241397709,4.13032624972112,8.77694328065737,10.3258156243028,20.9097766392132,14.1979964834163,5.1629078121514,8.00250710883466,13.6817057022012,0.026041945636995,0.0244729465217924,0.0243409970926726,0.0244655702565002,0.0242592759360198,0.0259255494613781,0.0246641299799646,0.0250248604322241,0.0246962353410776,0.0245763839329815,0.0234027501045913,0.0257901255124074,0.0241624431518282,0.0248365082070584,0.0242879183894958,0.0242302209422603,0.0249151981783479,0.0242422212384534,0.02466200211217,0.0245303206378675,0.0247776591553377,0.0253008004619347,0.0244600795941428,0.0256072946116018,0.0239335988087052,0.0245702650286925,0.0249646625884493,0.0240495786467,0.025760406132948,0.0249026612978317
"O14786",8.46200765958883,8.71843213412183,11.5391013539848,13.5904971502487,5.38491396519289,16.1547418955787,6.92346081239086,20.5139579626396,5.89776291425888,15.3854684719797,13.3340726757157,13.5904971502487,4.8720650161269,9.23128108318781,12.8212237266497,18.7189866409086,11.2826768794518,4.61564054159391,9.23128108318781,12.5647992521167,0.025693251378968,0.0242105698682596,0.0242413768382406,0.0249646091564078,0.0235803373188685,0.0256089817124934,0.0247790575765495,0.0250387617186613,0.0248042275787711,0.0249157872473796,0.0236224068220402,0.0255453801120209,0.0246335153421772,0.0256517860867286,0.0237884913358642,0.0244728783689153,0.0244712978549321,0.0245201482723672,0.0246521649142514,0.0248256197958175,0.0253948656312111,0.024923026987002,0.0243619837490985,0.025177421305289,0.0247579439420068,0.0257661469510616,0.0252677502254637,0.0244577218421574,0.0247084920814294,0.0247395234525719
"Q8QFX6",11.2062441245457,9.64258215367883,12.2486854384569,14.854788723235,4.95159624107832,14.0729577378015,7.29708919737858,18.7639436504021,2.86671361325587,16.6790610225796,16.6790610225796,11.2062441245457,5.21220656955613,9.64258215367883,13.8123474093237,18.2427229934464,15.1153990517128,4.69098591260051,8.07892018281199,14.0729577378015,0.0253377959548052,0.0248341917181308,0.023858151704822,0.0252699598860429,0.0234389691286274,0.0259773993697536,0.0248121157699219,0.0246474112527741,0.0244135449171752,0.0242377916824948,0.0237278000012438,0.0251347272415815,0.0248015621402195,0.0253273787328318,0.0239516980247709,0.0229962534777151,0.0251691101091186,0.0244276746501615,0.025094820046316,0.0245580217580305,0.0248983817416118,0.0251691344396282,0.0243425429666176,0.0247348460217638,0.0239636765550524,0.0253822992387379,0.0248272478809404,0.0238799309069254,0.0250339509415687,0.0251412832628102
