"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",12.6445133838619,9.41612698798229,8.87806258866902,8.07096598969911,1.61419319793982,9.41612698798229,6.45677279175929,11.2993523855788,2.69032199656637,12.6445133838619,20.1774149742478,8.33999818935574,5.1116117934761,7.53290159038583,8.33999818935574,18.0251573769947,10.7612879862655,3.22838639587964,8.87806258866902,11.837416784892,0.0235437679809614,0.0237803762235666,0.0225128282297956,0.0231413354221095,0.0238483497189728,0.0259877502201984,0.0242860018527206,0.0235914190895592,0.0238550302166065,0.0245428620359806,0.0242788273254863,0.0246275520098496,0.0243558384282927,0.0250855838542429,0.0257929819602249,0.0236643009072419,0.0241089040801054,0.0243774933189665,0.0252158887225001,0.0243597714070932,0.0245913139505903,0.0254462891732515,0.0241916136755901,0.0241817990180475,0.024073353143826,0.0246219779947006,0.0255791002323407,0.0239705919454309,0.0257420419871936,0.0236128562179173
"P38227",12.6445133838619,9.41612698798229,8.87806258866902,8.07096598969911,1.61419319793982,9.41612698798229,6.45677279175929,11.2993523855788,2.69032199656637,12.6445133838619,20.1774149742478,8.33999818935574,5.1116117934761,7.53290159038583,8.33999818935574,18.0251573769947,10.7612879862655,3.22838639587964,8.87806258866902,11.837416784892,0.0235437679809614,0.0237803762235666,0.0225128282297956,0.0231413354221095,0.0238483497189728,0.0259877502201984,0.0242860018527206,0.0235914190895592,0.0238550302166065,0.0245428620359806,0.0242788273254863,0.0246275520098496,0.0243558384282927,0.0250855838542429,0.0257929819602249,0.0236643009072419,0.0241089040801054,0.0243774933189665,0.0252158887225001,0.0243597714070932,0.0245913139505903,0.0254462891732515,0.0241916136755901,0.0241817990180475,0.024073353143826,0.0246219779947006,0.0255791002323407,0.0239705919454309,0.0257420419871936,0.0236128562179173
"Q59XM0",13.1878370866648,7.9676515731933,9.34138460305421,6.3191719373602,0.824239817916548,5.76967872541584,6.04442533138802,10.4403710269429,2.47271945374964,15.6605565404144,18.9575158120806,5.49493211944365,3.57170587763838,7.9676515731933,7.69290496722112,16.2100497523588,7.69290496722112,2.74746605972183,6.86866514930457,12.088850662776,0.0223595811071659,0.024257306360223,0.0226453587888278,0.022146077823681,0.0234997969121915,0.0252336452033295,0.0234243129599088,0.0232774750107499,0.0240385802655959,0.0244387109201055,0.024678987409837,0.0245542807878524,0.0238226895358258,0.0242521326398125,0.0258910306653498,0.0232245175164636,0.0226746923740251,0.0245730772641787,0.026291864770648,0.0244772448218656,0.024242022586493,0.0249869960562779,0.0248616094018026,0.023139684827838,0.0245243105683907,0.0242004604182725,0.0245914055095729,0.0256186930439709,0.0248957330084469,0.0244311154691145
"Q9Y7S4",7.6702001564043,2.90938626622232,1.85142762395966,1.05795864226266,1.32244830282833,3.43836558735365,0.528979321131331,5.55428287187898,1.05795864226266,6.08326219301031,8.72815879866697,2.90938626622232,3.43836558735365,6.87673117470731,3.96734490848498,4.76081389018198,2.38040694509099,1.85142762395966,4.76081389018198,4.49632422961632,0.0223312696763144,0.0229134360799585,0.0238232643291403,0.0231671018522636,0.024127887837405,0.0249328931113554,0.0230707366627856,0.0231924128719271,0.0245926165523027,0.0246704775896484,0.0250396976416691,0.0233650411142891,0.0245428309110861,0.0248963001064291,0.0244044230651697,0.0258206900274767,0.0241861333208391,0.0266021905952962,0.025533159038108,0.0245214288404071,0.0252616718059058,0.0248875517393797,0.0262349865171541,0.0243241728028415,0.0245838537850997,0.0240248705007774,0.0249859864987076,0.0258749614805342,0.0237545595776646,0.0258437335023987
"O59699",7.73169469153767,2.66610161777161,1.86627113244013,1.06644064710864,1.59966097066297,3.19932194132593,1.06644064710864,6.39864388265187,1.06644064710864,7.19847436798335,8.53152517686916,2.93271177954877,3.4659321031031,6.93186420620619,3.73254226488026,4.26576258843458,2.66610161777161,1.86627113244013,4.53237275021174,3.4659321031031,0.0228397614251323,0.0238447812012622,0.0232546625630846,0.0232309832902412,0.0248438175620139,0.0249008812988201,0.0235036175116651,0.0230713911481047,0.0244482507722513,0.024287356497255,0.0248934405586299,0.0232064389026804,0.0248300729072258,0.0241961476650925,0.02429205539958,0.0252816926365879,0.0239811209281848,0.0265826231145159,0.0255280172248452,0.0246145497652337,0.0253579486888728,0.0246628031340639,0.0259250861479567,0.0240999616415979,0.0243290367981821,0.0235832875759909,0.0249442834449554,0.0260799618440563,0.0231340936094269,0.0256417129653294
"O59698",7.13036237542344,2.74244706747055,2.19395765397644,0.548489413494111,1.37122353373528,3.83942589445878,1.91971294722939,6.30762825518228,1.09697882698822,7.4046070821705,10.1470541496411,2.4682023607235,2.74244706747055,7.13036237542344,4.11367060120583,4.38791530795289,3.01669177421761,1.91971294722939,4.11367060120583,4.66216001469994,0.0233337199645348,0.0241106058883958,0.0236040727715702,0.0225439928330732,0.0221078109742772,0.0235631516597582,0.0237397337790447,0.02269507107004,0.0246659978565698,0.0243529896906619,0.0249041762152303,0.0232648365755249,0.0254046287858139,0.0239477781640717,0.0237858781371953,0.0244198580768726,0.0225644302189933,0.0261530031991314,0.0248805356222312,0.0243656444761658,0.0243227331836542,0.0237782893452233,0.0252716543374283,0.0251513706834836,0.0239527064175069,0.0245229899331533,0.0247825465443904,0.0260265572227296,0.0241587288096032,0.0253798008166156
"P94493",10.3751958283589,6.38473589437469,2.92633728492173,2.1282452981249,1.06412264906245,5.32061324531224,2.1282452981249,10.9072571528901,1.06412264906245,9.31107317929643,17.2919930472648,4.2564905962498,4.2564905962498,7.98091986796837,4.2564905962498,6.11870523210908,5.85267456984347,1.59618397359367,2.1282452981249,9.04504251703082,0.0221620512911181,0.0225968310265505,0.0224798514192597,0.0221955858844224,0.0236724005119135,0.0243200938253125,0.0238951013781627,0.024475940299931,0.0243347658430392,0.0253767635050135,0.0253423545847122,0.0248490612008534,0.0236417391697032,0.024476619512092,0.0262035450159325,0.0244205897000478,0.02624374036314,0.0249335913424696,0.0248546157284371,0.0249119423081905,0.0256327897924452,0.0246531349428572,0.0236434679369705,0.0255227693375543,0.0238552249743608,0.024697255413217,0.0253863048114901,0.0259970885510298,0.0249215394402792,0.0242725786238821
"Q6FTB1",7.94930945457102,2.46702707210825,2.19291295298511,0.274114119123138,1.64468471473883,4.11171178684708,0.822342357369415,7.1269670972016,1.91879883386197,7.67519533544788,9.86810828843299,3.5634835486008,3.01525531035452,6.57873885895532,4.38582590597022,3.5634835486008,4.38582590597022,2.19291295298511,4.38582590597022,5.48228238246277,0.0231763427273351,0.0242588083462134,0.0208433618659853,0.0205763681097157,0.0231056144292476,0.0237103722999774,0.0232111549126843,0.0222360664137317,0.0243641569144905,0.0249992069227375,0.0254562179797189,0.0225956141432004,0.0248819763747098,0.0261210837239069,0.0236734685623191,0.0236085202436244,0.025188123631489,0.0263548514986701,0.0271190300677604,0.0249843130526013,0.0256418222532926,0.0263072113053928,0.0250597069355919,0.0247898451885138,0.0239320146125466,0.0256342827603865,0.0236579820660016,0.024682169958925,0.0228495511272087,0.0228666424488831
"Q6FV98",7.56867456900489,2.70309806035889,2.16247844828711,0.810929418107667,1.35154903017944,4.05464709053833,0.540619612071778,8.10929418107667,1.89216864225122,9.46084321125611,10.2717726293638,2.70309806035889,2.16247844828711,6.21712553882545,4.32495689657422,3.24371767243067,3.51402747846656,2.16247844828711,4.32495689657422,5.40619612071778,0.0215196441575452,0.0231507484717371,0.0225866833197088,0.022387352462657,0.0227314691787524,0.0245559889569223,0.0232058499347682,0.0215834977487875,0.0242112353319599,0.0243297866626126,0.0254043695136645,0.0236537619030572,0.0246874857953728,0.0264363546184119,0.0236937131468882,0.0239600245402857,0.0246906442160572,0.0268808659895537,0.0268541911132321,0.025578452003003,0.0256556767116744,0.0253563248590661,0.0253778381474863,0.0242458855135241,0.0244854856505402,0.0257206350529854,0.025301705036641,0.0247026986088797,0.0233062364620778,0.0234355888562587
"O74829",5.05170786444354,3.19055233543802,1.86115552900551,0.531758722573004,1.59527616771901,3.19055233543802,1.32939680643251,6.38110467087605,0.797638083859506,7.17874275473556,7.44462211602206,2.39291425157852,2.12703489029202,6.91286339344905,4.25406978058403,5.31758722573004,5.05170786444354,1.86115552900551,4.51994914187054,4.51994914187054,0.0244354261618725,0.0225124612928671,0.0220223207153619,0.0221940417739695,0.0219361684062034,0.0239468891417993,0.0231035640693067,0.0226564310481827,0.0249541828329388,0.0242574010585402,0.0235893533494591,0.0241532295150097,0.0248954880567008,0.0246355526024381,0.0253100964642744,0.0252686892688681,0.0254623686769167,0.0261751448502544,0.0262160398704678,0.025086983382671,0.0251842101937318,0.0247943397854833,0.0262379167306857,0.0256494267189259,0.0244744551305484,0.0251198862422759,0.0247392822017278,0.026386192339946,0.0239866606027557,0.0247364362293151
