"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",8.22642774060456,6.9410484061351,5.14151733787785,6.9410484061351,5.14151733787785,9.51180707507403,6.16982080545342,7.45520013992289,3.08491040272671,9.76888294196792,9.51180707507403,8.48350360749846,3.08491040272671,7.96935187371067,6.9410484061351,11.3113381433313,6.68397253924121,1.28537933446946,4.11321387030228,7.19812427302899,0.0250587981270143,0.024080516871949,0.0253763313318171,0.0235525007287134,0.0251877399214499,0.0240325141464784,0.0248397468710024,0.0255955111551655,0.0246703887082106,0.0235496241340584,0.0248703124695981,0.0245037695538035,0.0241371920336448,0.0247831521295525,0.0255332732743171,0.0250073424434697,0.0236118508499544,0.024551034262908,0.0245589228887515,0.0240338160594927,0.0244971833388311,0.0254695927577685,0.024950563729261,0.0255010220619623,0.0255735430907332,0.0260642426772578,0.0242064050827327,0.0258987401646741,0.0246386748490415,0.0245898273924937
"C6K2K4",7.99124754805815,6.96011883217968,5.15564357939236,7.2179010111493,5.15564357939236,9.28015844290624,6.18677229527083,7.47568319011892,3.09338614763541,9.02237626393662,9.53794062187586,8.50681190599739,3.09338614763541,7.99124754805815,6.96011883217968,11.3424158746632,6.96011883217968,1.28891089484809,4.12451486351388,7.99124754805815,0.0249945863323868,0.0240027050885727,0.0253753942908754,0.023538828379128,0.0251789203990458,0.0239927046880979,0.0249165863935445,0.0255672996711677,0.0246258600313156,0.0235304286386386,0.0248263507710279,0.0244982908615381,0.0241381453819596,0.0247783128172227,0.0255077364358504,0.0249675076977598,0.0236341399095884,0.024509178271488,0.0245175216744402,0.0240297693650036,0.0244335218727281,0.0255172836050248,0.0249013126958344,0.0254780418600469,0.0255039935820826,0.0259752044734819,0.0241811497368842,0.0258921265731574,0.0246879270675726,0.0245169924649175
"Q8BNJ6",8.22642774060456,6.9410484061351,5.14151733787785,6.9410484061351,5.14151733787785,9.51180707507403,6.16982080545342,7.45520013992289,3.08491040272671,9.76888294196792,9.51180707507403,8.48350360749846,3.08491040272671,7.96935187371067,6.9410484061351,11.3113381433313,6.68397253924121,1.28537933446946,4.11321387030228,7.19812427302899,0.0250587981270143,0.024080516871949,0.0253763313318171,0.0235525007287134,0.0251877399214499,0.0240325141464784,0.0248397468710024,0.0255955111551655,0.0246703887082106,0.0235496241340584,0.0248703124695981,0.0245037695538035,0.0241371920336448,0.0247831521295525,0.0255332732743171,0.0250073424434697,0.0236118508499544,0.024551034262908,0.0245589228887515,0.0240338160594927,0.0244971833388311,0.0254695927577685,0.024950563729261,0.0255010220619623,0.0255735430907332,0.0260642426772578,0.0242064050827327,0.0258987401646741,0.0246386748490415,0.0245898273924937
"Q8NC67",7.21974237677995,6.96189443475209,5.15695884055711,6.96189443475209,5.15695884055711,9.54037385503065,5.93050266664067,7.73543826083566,3.35202324636212,9.7982217970585,9.02467797097494,8.50898208691923,3.09417530433426,7.99328620286351,7.21974237677995,11.8610053332813,6.70404649272424,1.28923971013928,4.12556707244569,7.73543826083566,0.0251330146840627,0.0241925539718731,0.0251872677467547,0.0237425648739899,0.025135416898856,0.0240292744544693,0.0246681012181371,0.0257501988019316,0.0246960600784378,0.0238797268423659,0.0247053491557559,0.0245528462802605,0.0241094480094544,0.0247939623799187,0.0256310442034901,0.0248153665934862,0.0237423360460301,0.0245094988771555,0.0244017893109691,0.0239730369139516,0.0245966691238739,0.025403971671419,0.0248036872165904,0.0254428522050973,0.0252987809698881,0.0257412924312897,0.0240517253922435,0.0258715159480376,0.0247653975704865,0.0245273081018684
"P98070",3.45860095519656,4.19972973131011,5.6819872835372,5.43494435816602,4.44677265668129,6.42311605965075,3.95268680593893,7.90537361187785,1.23521462685591,4.94085850742366,5.92903020890839,7.41128776113548,0.494085850742366,5.6819872835372,4.69381558205247,10.3758028655897,2.96451510445419,2.22338632834065,4.19972973131011,4.69381558205247,0.0265882689630926,0.0252288895031597,0.0259716399379977,0.0244388980552496,0.0238372437896125,0.0248138245436101,0.0260710198311918,0.0246799241091137,0.0265186373461406,0.0239888624898133,0.026387096395404,0.0235655800109448,0.0242213866012389,0.0269173906658958,0.024294859844063,0.024610150998844,0.0229427750519676,0.024284623828508,0.026179977932204,0.0253124261701789,0.0279777769330875,0.0236675715147964,0.0276957851852881,0.0248213054600443,0.0239740401609704,0.0252666169830048,0.0253069395898391,0.0249412254006398,0.0254198923261067,0.0230324450068097
"O57460",4.00446136691183,4.00446136691183,4.75529787320779,6.00669205036774,5.25585554407177,7.75864389839167,2.50278835431989,8.00892273382365,1.25139417715995,4.50501903777581,5.00557670863978,6.75752855666371,1.25139417715995,4.75529787320779,5.25585554407177,9.51059574641559,4.50501903777581,2.2525095188879,5.25585554407177,6.50724972123172,0.0256934269082386,0.0258087540563911,0.0256371374405112,0.0240154178130399,0.0233871089221965,0.0250696820776912,0.0258661326870581,0.0241167310507039,0.0261145143411127,0.0247634006279156,0.0258474918045886,0.0228013913480876,0.0245571936263505,0.0262047739019467,0.025252182026956,0.0245679548224856,0.0227225969695839,0.0249985667251815,0.0256395237452343,0.0247637306184999,0.0274382748973341,0.0242250993362899,0.0277272681553445,0.0245294677639723,0.0243570674976668,0.02503659672309,0.0250202099529033,0.0248749982038925,0.0256965303365659,0.0229879401871778
"Q9DER7",3.80445255913571,3.80445255913571,5.83349392400809,5.32623358278999,5.32623358278999,8.11616545948952,2.78993187669952,8.11616545948952,1.77541119426333,4.8189732415719,4.8189732415719,6.59438443583523,2.28267153548143,5.32623358278999,5.57986375339904,8.36979563009856,4.8189732415719,2.28267153548143,5.07260341218095,5.32623358278999,0.0253950582053208,0.0253468128318032,0.0258545535401636,0.0240625567800847,0.0234195590250991,0.0250402356376116,0.0260287191749702,0.0243218903889836,0.0255624762545279,0.0247421173274539,0.0254562104956916,0.0235827971650193,0.0241731439756708,0.0262833435161378,0.0241474185998547,0.0242392754791176,0.0230703609804461,0.0242416093056671,0.0260251151831045,0.0241923044067792,0.0277641963838866,0.0242101421514308,0.0271009993862503,0.0239422006315858,0.0250278146264868,0.0251631074465898,0.0244566656435326,0.0245706090650356,0.0252548111775426,0.023693724605104
"Q9WVM6",4.94896174829035,4.45406557346132,3.71172131121777,6.68109836019198,5.19640983570487,6.68109836019198,2.72192896155969,8.16578688467908,1.73213661190162,3.95916939863228,4.70151366087584,5.93875409794842,0.742344262243553,6.43365027277746,5.19640983570487,9.15557923433716,4.94896174829035,2.22703278673066,4.2066174860468,6.18620218536294,0.0261266915230783,0.0262003388386472,0.0258803083283516,0.0240613631067564,0.0235789088601076,0.0252180159861215,0.026735270836078,0.0239281639208911,0.0264332778987724,0.0245285709070515,0.025698654450058,0.0235746495453712,0.0240974422375473,0.0267789201123781,0.0240792499533063,0.0245862611743923,0.0238706396433857,0.0244916050833249,0.0249510247906282,0.0249869205480811,0.0277895789317778,0.0238438473957948,0.0274389648436317,0.0247578306622135,0.0247067445701782,0.0256902121760702,0.024804019222738,0.0251095138238485,0.0255820653148265,0.0230228579000745
"Q8JI28",4.5501523629516,3.791793635793,5.30851109011019,6.31965605965499,5.30851109011019,7.58358727158599,2.2750761814758,7.58358727158599,1.7695036967034,4.5501523629516,5.30851109011019,7.07801478681359,1.263931211931,5.05572484772399,5.30851109011019,8.84751848351699,5.30851109011019,2.2750761814758,5.05572484772399,5.56129733249639,0.0255718753287184,0.0255271302893957,0.0252802046943094,0.0241908850664752,0.0234674758501022,0.0248765963106757,0.0255934725207983,0.0245389184971239,0.0255935575871107,0.0247461978206014,0.0257609204260151,0.0231524944963681,0.0241056452721305,0.026239290015937,0.0243582986958941,0.024334883113863,0.0228696769483136,0.0246275557384636,0.0255465339004745,0.0246734524296369,0.0275364577121944,0.0243147499694805,0.0279046831604552,0.0246464065724244,0.0244132590151742,0.0254427693242227,0.0247279998640576,0.0247888447156111,0.0255160874941503,0.0228674347836224
"Q9Y6L7",5.41430472212896,4.67599044183865,4.18378092164511,6.39872376251605,5.16819996203219,7.13703804280636,2.21494284087094,7.87535232309667,2.21494284087094,3.19936188125802,4.67599044183865,5.9065142423225,1.23052380048385,6.39872376251605,5.16819996203219,8.36756184329021,4.42988568174188,2.21494284087094,3.93767616154834,6.64482852261282,0.0262908427001151,0.026170664217966,0.0261722527171502,0.0243672622726591,0.0235146214943556,0.0252064740227914,0.027080920734194,0.0234996999207706,0.0262326347904624,0.0243066897731067,0.0261811198797982,0.0234608565904481,0.02430678349915,0.0266560659362389,0.0240454912818467,0.0246361645131632,0.0235731556626396,0.0246596150806396,0.0255110108007113,0.0251802651201658,0.0278094485745381,0.0240153797588447,0.027541934892706,0.0247385675262918,0.0247220972086733,0.0253818825332014,0.0248726679134066,0.0251084131989525,0.0258937024689091,0.0227585548193331
