"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",11.5304094951728,11.5304094951728,7.2691712034785,12.7837148750829,5.26388259562236,15.7916477868671,10.0264430392807,9.27445981133464,5.51454367160438,11.0290873432088,17.0449531667772,16.2929699388311,3.25859398776622,11.7810705711548,10.0264430392807,17.0449531667772,9.77578196329867,1.5039664558921,8.52247658338859,13.7863591790109,0.0247740219110925,0.0257974295558499,0.0245418185874595,0.0242733152955801,0.0235697897563794,0.0248577471107795,0.0248032677384848,0.0252313331773557,0.0263542727283422,0.0247272109829233,0.0254042363631052,0.0249996459592238,0.0262236060661584,0.0246549450803505,0.0252696047294869,0.0252088795911328,0.0240413380584555,0.0245469019433131,0.0247294454091158,0.0243227594022194,0.0257552528108931,0.0253928318665554,0.0250715430784187,0.0245236441421056,0.025092536955302,0.0246794495743944,0.0257055308262699,0.0246009399482338,0.0248375067184546,0.0253481186505468
"Q14644",11.5304094951728,11.5304094951728,7.2691712034785,12.7837148750829,5.26388259562236,15.7916477868671,10.0264430392807,9.27445981133464,5.51454367160438,11.0290873432088,17.0449531667772,16.2929699388311,3.25859398776622,11.7810705711548,10.0264430392807,17.0449531667772,9.77578196329867,1.5039664558921,8.52247658338859,13.7863591790109,0.0247740219110925,0.0257974295558499,0.0245418185874595,0.0242733152955801,0.0235697897563794,0.0248577471107795,0.0248032677384848,0.0252313331773557,0.0263542727283422,0.0247272109829233,0.0254042363631052,0.0249996459592238,0.0262236060661584,0.0246549450803505,0.0252696047294869,0.0252088795911328,0.0240413380584555,0.0245469019433131,0.0247294454091158,0.0243227594022194,0.0257552528108931,0.0253928318665554,0.0250715430784187,0.0245236441421056,0.025092536955302,0.0246794495743944,0.0257055308262699,0.0246009399482338,0.0248375067184546,0.0253481186505468
"Q28013",11.981632725959,12.7304847713315,6.73966840835196,12.2312500744165,5.49158166606456,15.2266582559063,10.2343112867567,9.48545924138424,4.9923469691496,10.4839286352142,17.4732143920236,14.9770409074488,3.49464287840472,11.4823980290441,9.98469393829921,17.9724490889386,9.98469393829921,1.49770409074488,7.98775515063936,13.7289541651614,0.0249248733432099,0.0256836585494399,0.0250420331594698,0.0242807338921924,0.0235429678887947,0.0249099517174254,0.0249714885553489,0.0250214491272306,0.0263400237681482,0.0245831601774325,0.0253081351721914,0.0247993464037253,0.0261407213367195,0.0247359735711813,0.0253928064228778,0.0252277275367645,0.0241575946884155,0.0250467548328355,0.0247729934110764,0.0244389405080882,0.0258059685336383,0.0250964687455175,0.0249428861262744,0.0246895279391355,0.0249127602429502,0.0248696290255735,0.0259049947661961,0.0246324344870383,0.0248409786825332,0.0253656689310952
"Q60790",10.9283444993988,12.6669447606668,7.94788690865369,12.4185732947714,5.46417224969941,15.6474023514119,9.93485863581711,9.43811570402625,5.21580078380398,12.170201828876,17.8827455444708,15.1506594196211,3.22882905664056,11.9218303629805,8.9413727722354,15.8957738173074,10.6799730335034,1.49022879537257,7.94788690865369,12.170201828876,0.0250467257688371,0.0258474910230053,0.0248048465602962,0.0244310860032809,0.0236667642999183,0.0248997455905657,0.0246390804102168,0.0253906299161341,0.0263646907519078,0.0249192856732476,0.0254989134457798,0.0250639506481114,0.0263925667524045,0.0247351501778426,0.0251561318175891,0.0252620979384433,0.024048397381774,0.0247271701619643,0.0246824365445662,0.0244996350706173,0.0259443608969122,0.0253995194067639,0.0251897121193064,0.0246457662178264,0.0250592345371137,0.0246852415852699,0.0257145227515111,0.0246459850122709,0.0249609389432383,0.0253064566978575
"Q9QYJ2",10.9025059142349,12.884779716823,7.92909521035265,12.1414270408525,5.45125295711744,15.6104061953818,9.91136901294081,9.41580056229377,5.20346873179392,12.6369954914995,17.3448957726464,14.6192692940877,3.22119492920576,11.893642815529,8.92023211164673,16.1059746460288,10.4069374635878,1.48670535194112,8.17687943567617,12.389211266176,0.0250964203233458,0.02587742340017,0.0248194942547412,0.0244804381383875,0.0236454851836351,0.0250053243457016,0.0246529764630009,0.0253345759705496,0.0263911821090088,0.0249914941697989,0.0254976243709053,0.025108230542974,0.0262874471466987,0.0247651647272607,0.0250647878680035,0.0252916742214019,0.0241488792056474,0.0248470538328222,0.0247404326888828,0.0244089199329801,0.0259155495273714,0.0255032382988724,0.0251555854704681,0.0246462093084024,0.0250840486284237,0.0247484011562244,0.0257235662336114,0.0248256303481001,0.0249454161257711,0.0252131006833187
"Q63713",8.83516990135854,9.87460165445954,10.1344595927348,10.1344595927348,5.71687464205552,16.1111921730656,9.87460165445954,8.57531196308329,4.67744288895452,11.9534651606616,19.7492033089191,18.7097715558181,2.85843732102776,9.09502783963379,9.09502783963379,17.4104818644418,11.1738913458358,1.81900556792676,8.83516990135854,15.0717604199646,0.024173270923113,0.0252093608831349,0.0237135057140841,0.0249444799545783,0.0240916090874064,0.0232489017929149,0.0251423271193743,0.0251315660442957,0.0252226287846894,0.0238359848096727,0.0247894760201055,0.0254620826642317,0.0257081866784397,0.0243738825078721,0.0248833326200467,0.025325825410645,0.0227455557884724,0.0252867930920108,0.0238933701688182,0.0240165201517011,0.0248224779108932,0.0253165999880769,0.0251029884659948,0.0242550832377484,0.0252632242878376,0.0251115689970996,0.0245903617572067,0.0234418843011111,0.0262226591474153,0.0248165534157584
"P58069",8.08826471516502,9.91464707020228,10.1755588352076,9.91464707020228,6.00097059512243,16.4374411953354,9.91464707020228,8.61008824517566,4.95732353510114,12.2628529552502,19.8292941404046,18.5247353153779,2.60911765005323,9.39282354019163,9.13191177518631,17.2201764903513,12.0019411902449,1.82638235503726,8.61008824517566,15.1328823703087,0.0243141787291637,0.0252148592039248,0.0240120360445479,0.024911457098227,0.0239722798047093,0.0231415822959043,0.0250731464971784,0.0248960035179632,0.0252860673996804,0.0238870678876484,0.0249354822789666,0.0252105221257167,0.0255621713912894,0.0242462350771259,0.0250267940796767,0.025200305150114,0.022842703581642,0.0253318739207554,0.0239122374383558,0.0241094155355511,0.0247811529095664,0.0250561488214702,0.0249345922254002,0.0242604352618147,0.0252683385984356,0.0247704777083914,0.0244879780558231,0.0233236147936656,0.026086856092327,0.0250322214696414
"Q15283",8.0886893013704,9.65424206937757,10.6979439147157,10.6979439147157,6.00128561069416,16.1773786027408,9.65424206937757,8.0886893013704,4.95758376535605,12.5244221440574,20.0912605227587,18.5257077547516,2.87018007467982,9.65424206937757,8.87146568537398,16.9601549867444,12.2634966827229,1.56555276800717,8.0886893013704,14.8727512960681,0.0244527745582358,0.025243952561311,0.0241463846671331,0.024708538760116,0.0238290600228618,0.0235860725201776,0.0245347312044546,0.0246829715985942,0.0248363059023431,0.0239396702656711,0.0249261238890896,0.0250496420150116,0.0252862524374271,0.0246113262006089,0.024597062781777,0.0244582487568414,0.0226148110033764,0.0254311327589955,0.0247312984879637,0.0243227708965627,0.0249654678020593,0.0253235563088921,0.0252005638852636,0.0243067248271412,0.0248734424959761,0.0246944889381313,0.0249460523816224,0.0237390796315151,0.0262562142742949,0.0247798168320228
"O95294",13.9195133812958,13.4395301612511,2.8798993202681,11.2796056710501,3.59987415033512,12.9595469412064,8.39970635078195,11.0396140610277,3.83986576035746,4.31984898040215,23.5191777821895,7.67973152071493,3.83986576035746,6.9597566906479,10.0796476209383,11.5195972810724,7.67973152071493,3.35988254031278,3.11989093029044,13.1995385512288,0.0259064110244202,0.0266047444846752,0.0251721672421751,0.0252031924399015,0.0239242497384309,0.025568732984016,0.0255702942457723,0.0246273827435193,0.0261268571622865,0.0244956074306149,0.0260565361326507,0.0245326923296138,0.0258099080129143,0.0244911375383304,0.0258215240908151,0.0251159329645558,0.0242073432022451,0.0259189656781459,0.024761164985058,0.0251434386730311,0.0254793569929435,0.0247896951960127,0.0258826219188346,0.0256635864773989,0.0261743193716829,0.0244815792336148,0.0262743977629073,0.0248025259893694,0.0258172040113976,0.0255848199203247
"Q9Z268",12.9765435078913,12.9765435078913,2.93808532254142,11.9971817337108,3.67260665317678,11.5075008466206,9.05909641116939,10.0384581853499,4.40712798381213,4.40712798381213,24.4840443545119,8.07973463698891,2.20356399190607,7.34521330635356,9.79361774180474,12.9765435078913,9.3039368547145,3.18292576608654,3.18292576608654,12.9765435078913,0.0261135235862618,0.0266682556970168,0.0246606358637571,0.0247128605949664,0.0238921718342084,0.0250949835500959,0.0253977104844948,0.0238673531729694,0.025836675121999,0.0253977145418077,0.0255974705644344,0.0240105209491688,0.0253855373861785,0.0241323231190558,0.0256139496522902,0.024906429658734,0.0245200072428872,0.025401655534591,0.0245631595897782,0.0257503123739637,0.0252497556251476,0.0243712930202637,0.0259453461863718,0.0257386469808441,0.0258993775736708,0.0244904904667645,0.0267585899807317,0.0248758477108873,0.0244900346039584,0.0258169237875822
