"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",13.7059992669864,12.093528764988,5.91239184066078,11.2872935139888,1.88121558566479,11.8247836813216,7.25611725899278,13.9747443506528,4.03117625499599,14.2434894343192,22.8433321116439,12.093528764988,6.18113692432718,11.5560385976552,9.40607792832397,21.2308616096455,12.6310189323208,2.68745083666399,4.03117625499599,14.2434894343192,0.0237511265480125,0.0238348697687105,0.0231617884476353,0.0237426964229735,0.0246618522539134,0.0253623381467541,0.0224095616884289,0.0238072391600219,0.0237406079979248,0.0248679950533074,0.0242636610317929,0.0238951705398424,0.0246289295175631,0.0231836969027339,0.0246816336289465,0.0245067210497655,0.0250716751572724,0.0256812221237922,0.0255177226310078,0.024437326718983,0.0246722926279004,0.0241406062363848,0.0253094549184511,0.0243586190928636,0.0245670983154158,0.0247542513121692,0.0257452736029429,0.0235622255987861,0.024221873257479,0.024715386581826
"Q7PIR5",13.7059992669864,12.093528764988,5.91239184066078,11.2872935139888,1.88121558566479,11.8247836813216,7.25611725899278,13.9747443506528,4.03117625499599,14.2434894343192,22.8433321116439,12.093528764988,6.18113692432718,11.5560385976552,9.40607792832397,21.2308616096455,12.6310189323208,2.68745083666399,4.03117625499599,14.2434894343192,0.0237511265480125,0.0238348697687105,0.0231617884476353,0.0237426964229735,0.0246618522539134,0.0253623381467541,0.0224095616884289,0.0238072391600219,0.0237406079979248,0.0248679950533074,0.0242636610317929,0.0238951705398424,0.0246289295175631,0.0231836969027339,0.0246816336289465,0.0245067210497655,0.0250716751572724,0.0256812221237922,0.0255177226310078,0.024437326718983,0.0246722926279004,0.0241406062363848,0.0253094549184511,0.0243586190928636,0.0245670983154158,0.0247542513121692,0.0257452736029429,0.0235622255987861,0.024221873257479,0.024715386581826
"B4HNS0",12.5767388191298,12.0415584438477,6.15457431574438,10.1684271303603,2.40831168876954,10.4360173180013,8.02770562923181,15.2526406955404,2.94349206405166,12.8443290067709,22.7451659494901,9.63324675507817,4.81662337753908,13.1119191944119,9.63324675507817,15.2526406955404,11.7739682562066,2.40831168876954,3.21108225169272,14.1822799449762,0.0236847973755244,0.024597846979919,0.0236398750548496,0.0238475778800807,0.0240982032146963,0.0239577583236488,0.0224952714367209,0.0240422882635428,0.0248673737504171,0.0251384270649004,0.0233473129696265,0.0236587812894642,0.0246668933450894,0.0229770096401305,0.0253375522794469,0.0251840421689817,0.0248938754292686,0.025777991542353,0.0252044830894127,0.0248204685313298,0.024446147406053,0.0252043816526896,0.0250389588343202,0.0246071531473885,0.0237578402788401,0.0247638481403501,0.0252232961254395,0.0240275450290602,0.0237185266476446,0.0253842854677509
"B4P624",12.3582728617896,12.0896147560985,5.91047832520371,10.209008016261,2.4179229512197,10.209008016261,7.79108506504126,15.5821701300825,3.22389726829293,12.0896147560985,21.7613065609773,9.6716918048788,4.8358459024394,12.8955890731717,9.94034991056988,15.8508282357736,12.0896147560985,2.4179229512197,3.22389726829293,15.8508282357736,0.023424220014158,0.0242847407363795,0.0237572126371936,0.0237847315414123,0.0241140174676768,0.0240128003399265,0.0222811367951043,0.0242365159390168,0.0248547298243236,0.025321656737013,0.0236404528665399,0.0232737900495113,0.0244509958523842,0.0228717596167926,0.0253768496207876,0.0251366178659979,0.0248010945642553,0.0257541021182378,0.0251753685974696,0.0245282414998941,0.0246780092667052,0.0251904657019397,0.0250523474653583,0.0246390719226032,0.0240598492474189,0.0247389296890967,0.0249493989073396,0.023843162369892,0.0238860494206655,0.0252235756338283
"B3NSE1",12.5736000742475,12.3060766684125,6.42056174004129,9.89836601589699,2.40771065251548,10.4334128275671,8.02570217505161,15.2488341325981,2.94275746418559,13.1086468859176,22.4719660901445,9.36331920422688,4.81542130503097,12.8411234800826,9.63084261006194,15.7838809442682,11.7710298567424,2.40771065251548,2.94275746418559,14.1787405092579,0.0234664415079004,0.0242016612952746,0.0238601038389996,0.0237793334297971,0.0241163020972933,0.0239150417846502,0.0222570161342893,0.0243216781333142,0.0246800130404789,0.0252443595722537,0.0238064025424161,0.023478750259611,0.0244064183197226,0.0228500943031212,0.0252984150028601,0.0251936049152532,0.0248369955332283,0.0259082994295662,0.025203294287875,0.0245786161231341,0.0246184913205653,0.0253409806151188,0.0251576761993954,0.0247930813719937,0.0242161617452374,0.0247643102881338,0.0250267295745756,0.0239809498420402,0.023843558960362,0.0253318126964851
"B4KR05",12.9426841747023,11.8641271601438,6.47134208735114,10.246291638306,2.42675328275668,9.43737387738707,9.16773462374744,15.3694374574589,2.42675328275668,12.6730449210626,21.3015010375308,9.16773462374744,5.93206358007188,12.6730449210626,10.246291638306,15.9087159647382,11.8641271601438,2.69639253639631,3.77494955095483,14.5605196965401,0.0237579269758298,0.0242640097500222,0.0239340221587911,0.0235899962258861,0.0241558583929357,0.0243062581243575,0.0221052915494042,0.0240317539776692,0.0249301074019145,0.025157015481805,0.02409106576309,0.0234278441633445,0.0246665179587773,0.0227518887520714,0.0251576552914872,0.0251033921183212,0.0245478639785655,0.0255782423442244,0.0253200341339164,0.0246081373623499,0.0241809330262393,0.0250775679142001,0.0250452740869049,0.0241930640352183,0.0241750708039675,0.0248466172196541,0.0248685828318997,0.0237458652570831,0.0237635982981723,0.024979290982267
"B4QBN2",11.9705238027109,12.2365354427712,5.58624444126511,10.1084423222892,2.39410476054219,10.3744539623495,7.98034920180729,15.4286751234941,3.19213968072292,13.5665936430724,22.3449777650604,9.57641904216875,5.05422116114462,13.3005820030122,9.842430682229,15.4286751234941,11.4385005225905,2.39410476054219,3.19213968072292,13.0345703629519,0.02370317535633,0.0248276409045323,0.0237390227645568,0.0235069878633687,0.024405676581696,0.0240080160600028,0.0224906317775944,0.0241071585150364,0.0246735448021749,0.025395906095129,0.0235677563386997,0.0236115734759234,0.0245893916212596,0.0230805655343749,0.025572731312669,0.0249505274635385,0.0249555408518925,0.025763507934469,0.0250913625110309,0.0247822043180396,0.0250067396218067,0.0252449362661415,0.0251227547694538,0.024420490824503,0.0239605071614012,0.0248708825729474,0.0253364439360039,0.0238721930094486,0.0240446050423886,0.0252858846533439
"A1Z8N1",12.3085026878952,12.0409265425062,5.88667519855857,10.703045815561,2.40818530850123,10.703045815561,7.75970821628175,15.2518402871745,2.94333759927928,12.8436549786732,23.0115485034562,9.3651650886159,5.08394676239149,13.1112311240623,9.63274123400493,15.2518402871745,11.7733503971171,2.40818530850123,3.47848989005734,14.1815357056184,0.0237577851866741,0.0246293416347443,0.0236012300694373,0.0238849356732705,0.0240096353610937,0.0236425764110018,0.0225985833044902,0.0243422254203892,0.0245161292781777,0.0252449938573469,0.0238356126116966,0.0233924987627768,0.0243849771608777,0.0231370603017842,0.0255512762506698,0.0246224493935973,0.0250094350332139,0.026123074798997,0.0250782208023703,0.0244040354888195,0.0250652832263474,0.0253117993655093,0.024683488579232,0.0246557045138464,0.0238937977762638,0.0246747394453641,0.025108207447517,0.0246170483962212,0.0238087119988777,0.0248389970603664
"B3MG58",13.055481877226,12.5226050659106,5.59520651881112,10.1246594149916,2.13150724526138,10.1246594149916,7.7267137640725,14.9205507168297,3.46369927354974,12.7890434715683,21.5815108582715,9.05890579236087,5.06232970749578,13.055481877226,9.85822100933389,15.9863043394604,11.7232898489376,2.39794565091905,3.19726086789207,14.3876739055143,0.0237312585440631,0.0245556492004993,0.0238893984691031,0.0236832744491224,0.0241409356991455,0.0239524173224331,0.0222507096704904,0.0241518978047321,0.0247069245847221,0.0253217354302598,0.0240378899351667,0.0235394020950201,0.0245085539915521,0.0230264644043311,0.025267832607726,0.025349565999128,0.0250772288174483,0.0257409433912693,0.0253853494661848,0.0245342179584102,0.0246313657795463,0.0251956125637135,0.0250895658696241,0.0246438751280976,0.0241342948315468,0.0251474060063901,0.0247172431897488,0.0238854544492319,0.023941392945446,0.025323733738175
"B4MYA4",11.5384496148509,11.5384496148509,6.7084009388668,10.7334415021869,2.14668830043738,9.6600973519682,7.51340905153082,15.0268181030616,2.41502433799205,14.758482065507,22.2718911170378,9.6600973519682,4.8300486759841,12.3434577275149,9.39176131441353,16.1001622532803,12.3434577275149,2.41502433799205,4.02504056332008,13.6851379152883,0.0238773532534778,0.0244577746587805,0.0238479148483706,0.0236258826125968,0.0240629183198502,0.0241275142124502,0.0221358398952056,0.0242012000027921,0.0251312818976811,0.0250423324922953,0.0237202975073848,0.0235355219086849,0.0250777902501822,0.022859469273533,0.0253045128896824,0.0252148193441958,0.0245179359310079,0.0257091639481365,0.025120962642,0.0247875079178509,0.0244106185290639,0.0250482723761513,0.0251619626674849,0.0241570550464052,0.0242334394217468,0.0249112753216741,0.0249737200044479,0.0235257259663722,0.0235422325478045,0.0253416667580181
