"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",6.447101886629,2.63745077180277,4.98185145784968,2.93050085755864,2.63745077180277,2.93050085755864,2.34440068604691,4.68880137209382,2.05135060029104,7.32625214389659,11.7220034302345,2.93050085755864,2.93050085755864,7.61930222965245,4.39575128633795,8.20540240116418,6.74015197238486,2.05135060029104,4.98185145784968,9.37760274418763,0.0227658725482385,0.0233819621139838,0.0223811392293911,0.021490812212257,0.0238915907928598,0.0246365502750178,0.0216759282340379,0.0219406366336831,0.0248207238028743,0.022543487953917,0.0246334487305619,0.0226144835555749,0.023370596268933,0.0230744214245895,0.0229368812941111,0.0235481790172405,0.0230233635821034,0.0249095554944261,0.0244929608789348,0.0249538205855387,0.0247055905127291,0.024424928249827,0.0244549154760882,0.0237282119290723,0.0239827341722524,0.0241237940773974,0.0234978716337398,0.0231188184148017,0.0245745416928817,0.0232520934570725
"Q5QD12",7.4613088252436,3.31613725566382,3.59248202696914,2.21075817044255,3.31613725566382,3.59248202696914,1.93441339913723,4.4215163408851,1.10537908522127,6.90861928263296,10.5011013096021,3.59248202696914,1.93441339913723,7.73765359654892,3.31613725566382,9.11937745307551,5.25055065480105,1.65806862783191,5.25055065480105,6.63227451132764,0.0221390932521134,0.025169000673985,0.0229827201014675,0.0202698101839364,0.0231182652390378,0.0229019017188426,0.0231024092685735,0.023209552418353,0.0243116090448743,0.0245740333799761,0.0252754986478091,0.022258625277646,0.0231130176698371,0.024754193524874,0.0252808031418819,0.023651540025529,0.0225368705983163,0.0258765543704465,0.0250655592358439,0.025977585109416,0.0257518859879549,0.0251171578118159,0.0230246386861732,0.0240400526843995,0.0262544636437874,0.0254224159132869,0.0245425431785663,0.0249457825065386,0.024598699649433,0.0243889457499664
"Q9TST5",6.36068724122975,4.24045816081983,3.71040089071735,2.6502863505124,2.91531498556364,2.38525771546116,3.71040089071735,3.97542952576859,2.12022908040992,6.62571587628099,7.95085905153719,2.91531498556364,2.38525771546116,6.09565860617851,2.6502863505124,5.03554406597355,4.77051543092231,2.12022908040992,2.91531498556364,8.74594495669091,0.0224497181085115,0.0245269784678347,0.023192690162204,0.0229088018106627,0.0225194356203421,0.0236859410283916,0.0226172890971578,0.0242745196051958,0.0231180986138924,0.0224241120633612,0.0243566740709267,0.0243626450317078,0.025202336925966,0.0245607517974275,0.0251547695325445,0.0252400255765164,0.0237585491810703,0.0254215312673545,0.0249156063525482,0.0257589530640314,0.0260679865798823,0.0266715963680055,0.0255204858074385,0.0246879631090882,0.0259116486297127,0.0255003391375716,0.0251838446997731,0.0238311033686327,0.02528317032215,0.0258637995488588
"Q5QD11",7.48584452779295,3.32704201235242,3.32704201235242,2.77253501029368,3.60429551338179,2.77253501029368,1.94077450720558,4.4360560164699,1.10901400411747,6.37683052367548,11.0901400411747,3.60429551338179,1.66352100617621,7.76309802882232,3.32704201235242,8.87211203293979,5.54507002058737,1.66352100617621,5.267816519558,7.20859102676358,0.0222921792404411,0.0248090331315633,0.0228939355558097,0.0205447182961119,0.0230353279665939,0.0227365964726995,0.0226759597201147,0.0229959170930776,0.0243579880906386,0.0242454457637973,0.0251215262047523,0.0221322366793324,0.0232251097568973,0.0247441450035348,0.0250849867101792,0.0235346010929044,0.0231105776333001,0.0257369663700072,0.0250550710404483,0.0259887221242281,0.0259264643195759,0.0248002828917498,0.0233515868753709,0.0243750609150628,0.02611880801499,0.025290291288942,0.0241541450391533,0.0252586239435452,0.0251460066707295,0.0240041850650802
"Q923Y2",7.54290066210363,3.07303360307926,3.35240029426828,2.51430022070121,3.35240029426828,2.79366691189023,2.51430022070121,4.7492337502134,1.11746676475609,7.26353397091461,10.8953009563719,3.6317669854573,1.95556683832316,7.54290066210363,3.6317669854573,9.49846750042679,4.46986705902437,1.67620014713414,5.30796713259144,6.98416727972558,0.0219740151675771,0.0250586291252703,0.0227992058173854,0.0210178675667376,0.0229310211267271,0.0225679578356543,0.022732425522004,0.0231929497644367,0.0243947274551394,0.0244101717634525,0.0248680637592719,0.0225466128426249,0.0228890178501165,0.0245963438932207,0.0249662291161904,0.0236518575466943,0.0225867186260104,0.0257200764849908,0.0246609243720135,0.0258669566762909,0.0259790782073597,0.0248285011602039,0.0227779033203943,0.0236904705929178,0.026283631068016,0.0253017410654822,0.0244049379522219,0.0248349979729469,0.0242660213052248,0.0248342538544005
"P07700",7.20416739701721,5.96206956994528,2.23577608872948,2.98103478497264,3.22945435038703,1.98735652331509,2.23577608872948,2.98103478497264,0.74525869624316,6.21048913535967,9.93678261657547,2.73261521955825,2.48419565414387,4.71997174287335,2.98103478497264,4.71997174287335,4.22313261204457,2.48419565414387,2.23577608872948,6.70732826618844,0.0228515164830528,0.0247782151342478,0.0230074260666681,0.0229115900640518,0.0229404567727844,0.0239090251172462,0.0245488852105924,0.024497277010483,0.0238893085849853,0.0229807220596154,0.022992778625493,0.0246275177431388,0.0270031986424826,0.0257024307035023,0.024374636949111,0.0241963327014689,0.0246762631890308,0.0265501461244771,0.0264448878758873,0.0250098175463868,0.0272984324443088,0.0274267673911003,0.0274967386652143,0.0263198064841209,0.02663493465965,0.0261449654436021,0.0250442647509317,0.0248328592895105,0.0256083157921253,0.0268809170603439
"P04274",5.81232027571834,3.69874926636622,2.90616013785917,2.64196376169016,2.90616013785917,2.64196376169016,2.64196376169016,3.17035651402819,1.84937463318311,7.13330215656342,8.19008766123948,3.96294564253523,2.64196376169016,5.54812389954933,2.11357100935212,5.54812389954933,4.49133839487326,2.11357100935212,2.90616013785917,8.4542840374085,0.0220998378717246,0.0244414159377556,0.0234304958869354,0.0230047238217544,0.0225417146472046,0.0230783880658331,0.0227902191555832,0.0238535008298982,0.0234991556213543,0.0224662187038986,0.0240919900480811,0.0244029609578442,0.0247773957084708,0.0243589160184532,0.0246793255079094,0.0251409791240655,0.0238030325316611,0.025927313906879,0.0257266362799718,0.0253752805434134,0.0258745232985252,0.0259703495715572,0.024374336272599,0.0248533047959917,0.0265646211974181,0.0259008164455674,0.0256897246087134,0.0241581552413342,0.026311955676413,0.0266163355541739
"P54833",6.13306685971699,3.99982621285891,3.19986097028713,2.39989572771534,2.93320588942986,2.6665508085726,3.46651605114439,3.73317113200165,2.13324064685808,7.19968718314603,7.99965242571781,2.93320588942986,2.39989572771534,5.86641177885973,2.6665508085726,5.59975669800247,4.53313637457343,2.13324064685808,2.93320588942986,8.53296258743233,0.0225504018874599,0.0238628840654392,0.0230734615144437,0.0226693578261767,0.0229209307880535,0.0227672050871642,0.0226926099673877,0.0240546344416565,0.0235879130720157,0.0222032066111179,0.0242128441341399,0.024875301163614,0.0245898892274743,0.0241909833057682,0.0243183517176806,0.0251390672065464,0.0239101595723793,0.0258696872069115,0.0252756980692421,0.0253647089144335,0.0252597655258924,0.026591882489366,0.0245606669701782,0.0245612114256007,0.0260256488290146,0.0257915901872726,0.0251121118507646,0.0244032889662472,0.0262593583851898,0.0266500987341083
"Q5QD04",8.68246935341009,2.80079656561616,3.36095587873939,2.24063725249293,3.92111519186262,3.64103553530101,1.68047793936969,4.20119484842424,1.12031862624646,5.88167278779393,9.80278797965655,3.64103553530101,1.96055759593131,8.12231004028686,4.20119484842424,7.84223038372524,5.3215134746707,1.96055759593131,5.60159313123232,8.40238969684847,0.0224274179465106,0.0234648618486084,0.0233327708419319,0.0205544783678249,0.0228727661733965,0.0226268190676058,0.0233462825810622,0.0240655456026561,0.0235609487475113,0.0243313892644867,0.0243854826571176,0.0221637585584217,0.0234066015726875,0.0252177526701545,0.0249475641785429,0.0233159999304618,0.0218886006383434,0.0249490721932636,0.0238304856782861,0.0260305043835473,0.0253874826545935,0.0250877542557522,0.0239487526123339,0.0240673514149125,0.0261210896986563,0.0257875254098574,0.0253735957750714,0.0246420057469408,0.0244935369400433,0.024292146027802
"P18841",6.50030989892871,3.52100119525305,3.25015494946436,2.43761621209827,3.25015494946436,2.70846245788696,1.08338498315479,4.60438617840784,0.270846245788696,6.77115614471741,11.3755423231252,3.79184744104175,1.35423122894348,5.14607866998523,4.06269368683045,6.50030989892871,4.87523242419653,1.62507747473218,2.97930870367566,7.5836948820835,0.0207070162279508,0.0249236483178187,0.0235920286082082,0.0217365090293212,0.0225061593920843,0.0228698156392498,0.0233075599767523,0.0239328079104067,0.0229314170761357,0.0239307369306185,0.0241381024529922,0.0231590114125941,0.0241703504287314,0.0247760642846211,0.0250131919485004,0.0251151294836044,0.0241580497917269,0.0246237071436596,0.0250887159003406,0.0263737285929161,0.0266663233618209,0.0262677228311048,0.0255619985876422,0.0237582043854348,0.0233771534243279,0.026317295471376,0.0255680469674108,0.0245981393153503,0.0250951284221527,0.0248899908964501
