"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",3.11398918199497,2.83089925635906,5.37870858708221,0.849269776907718,2.83089925635906,3.11398918199497,1.69853955381544,3.68016903326678,1.98162947945134,12.172866802344,14.1544962817953,4.24634888453859,2.83089925635906,6.79415821526174,1.41544962817953,6.51106828962584,3.68016903326678,2.26471940508725,1.98162947945134,5.94488843835403,0.021783879712246,0.0219788073244276,0.0220577410051984,0.0226364182188944,0.0241587746526979,0.0246684355748937,0.0235254230867357,0.0230273167412305,0.0212534823589313,0.0243176322808211,0.0234767527271639,0.0237264625250363,0.0239365647519705,0.023829038280109,0.0234135814222859,0.0231146170472132,0.0240172147457845,0.0246429250962313,0.0238985183522153,0.0241162327245438,0.0257056172442368,0.0251865278910934,0.0250711971444178,0.0262842672945548,0.0256130387858178,0.0256781128702908,0.0236998366407055,0.0248458794653398,0.0232340410648069,0.0240117373342003
"Q646F9",4.18672652137849,2.51203591282709,5.02407182565419,0.558230202850465,1.39557550712616,1.95380570997663,2.51203591282709,2.79115101425233,2.23292081140186,7.81522283990652,12.2810644627102,5.02407182565419,2.23292081140186,6.14053223135512,2.79115101425233,5.58230202850465,5.30318692707942,2.79115101425233,2.79115101425233,8.37345304275698,0.0226909391816999,0.023336047921507,0.0226269290179096,0.0220391381219858,0.0229614526027625,0.0232405147651855,0.0243258213482977,0.02350091029454,0.0221246004991078,0.0227886250652573,0.0242607252973957,0.0238286611677732,0.0241546707747988,0.023420296959291,0.0234281418399698,0.0253264468836818,0.02392712334182,0.0242656281390773,0.0246565216925413,0.0255658293440783,0.0243822655462513,0.0254947495852853,0.0267416796209115,0.0241896431496969,0.0261254225354304,0.0256344173208383,0.0240950879083288,0.0243686900906867,0.0243589878596601,0.0230249306989976
"Q5Y4Z8",4.71511966409959,2.21887984192922,4.43775968385844,0.832079940723457,1.66415988144691,1.94151986168807,2.49623982217037,3.05095978265267,1.94151986168807,6.65663952578765,12.4811991108519,5.26983962458189,2.49623982217037,6.3792795455465,2.21887984192922,6.3792795455465,4.99247964434074,3.05095978265267,2.21887984192922,8.32079940723457,0.0223920451989303,0.0223307875679866,0.023139000993165,0.0228335540542103,0.0236061040510255,0.0232621620684779,0.0241036261758228,0.0226634294635947,0.0224774889749354,0.0232749848146687,0.0240652948301881,0.0231958759275923,0.0239947211559058,0.0228546922041775,0.0239620037453392,0.0252745346017669,0.0238113213640179,0.0247940274008884,0.0242703422378055,0.02556456681519,0.0245712225104886,0.0253326739260931,0.0267497423290419,0.024897997427088,0.0256745356700672,0.0260401098700015,0.0245101594772397,0.0245668863252138,0.0249560616611468,0.0234700669167784
"P59540",4.75619103514135,1.95843160270526,5.03596697838496,0.559551886487218,1.39887971621804,2.51798348919248,1.95843160270526,2.51798348919248,2.23820754594887,8.67305424055187,12.869693389206,5.31574292162857,2.23820754594887,6.71462263784661,2.23820754594887,6.434846694603,4.75619103514135,3.0775353756797,2.23820754594887,6.99439858109022,0.0231601388553942,0.0222669500234606,0.0232536712001295,0.0227332841666408,0.0243258229718472,0.023111877892675,0.0239123187238779,0.0231145420072155,0.022520887154824,0.0230153024419955,0.0237295031907078,0.0237992876053456,0.0242342730968293,0.0233636501350778,0.0232505906065578,0.0250382774053349,0.0238605044433235,0.0249010800466082,0.0239580821065075,0.0256885108747025,0.02438291017912,0.0248941387409899,0.0267325002899635,0.0240441286360122,0.024794508198819,0.0251514460483969,0.0246283732376304,0.0242182517557346,0.0249595829587582,0.0231796617619113
"Q646E1",4.68786143839615,2.20605244159819,4.68786143839615,0.551513110399547,1.37878277599887,2.75756555199774,1.93029588639842,2.48180899679796,1.93029588639842,8.82420976639276,13.2363146495891,4.96361799359593,2.20605244159819,6.61815732479457,2.20605244159819,6.34240076959479,4.68786143839615,3.03332210719751,2.48180899679796,6.06664421439502,0.0234705941526133,0.0222280432294423,0.0231943908864456,0.0225385120175005,0.024433842432501,0.0233526966375199,0.0243124366106061,0.023513674968175,0.0224726901046426,0.0231777435368353,0.0236076629144242,0.0238327067553988,0.0244300511441862,0.0236195328259035,0.0232583968004039,0.0251433836049787,0.0240678830334581,0.0250454511968308,0.0241235220574668,0.0256568269295475,0.0247406723592053,0.0251952601660484,0.0270200614611931,0.024242931252625,0.0246225533849398,0.0255492931831898,0.02462136268306,0.023951301296801,0.0252793190829772,0.0235406480913065
"Q646C0",4.77238555695361,1.96509993521619,4.77238555695361,0.561457124347484,1.68437137304245,2.80728562173742,1.96509993521619,2.52655705956368,1.96509993521619,8.702585427386,13.4749709843396,5.05311411912735,2.24582849738993,6.7374854921698,2.24582849738993,6.45675692999606,5.05311411912735,3.08801418391116,2.52655705956368,6.17602836782232,0.0230697952310537,0.0223604772421954,0.0234796297473662,0.0228924359875558,0.0244473522396493,0.0231459723293822,0.0238899732156465,0.0232871312834503,0.0221659961336735,0.0226766683289031,0.0238985480587147,0.0233584882859433,0.0243844626597445,0.0233603819105228,0.0230657368866745,0.0247994404173465,0.0237667336682806,0.024619748359276,0.0241467452470953,0.0256199681261556,0.0242374641353725,0.0249083006520395,0.0269389859941721,0.0241160353322557,0.0248222548528982,0.0252711619318082,0.0245841118927679,0.024129396573676,0.0248271034947026,0.0230009376079357
"Q646D6",5.4807462134242,4.17580663879939,2.87086706417458,2.34889123432466,2.60987914924962,1.82691540447473,1.30493957462481,2.60987914924962,1.82691540447473,7.30766161789894,12.7884078313231,3.65383080894947,2.0879033193997,6.78568578804901,1.82691540447473,6.26370995819909,4.43679455372435,1.82691540447473,2.0879033193997,5.21975829849924,0.0231232117474194,0.0228705973916234,0.0223681016528085,0.0236745630603416,0.0241003474125478,0.0240157770855076,0.0238946310196942,0.0251363689113847,0.0226321350657258,0.0237159781831722,0.0253635992495428,0.0246614292171261,0.0260829272466681,0.0247593598438094,0.023847463639073,0.0239282815400751,0.0239086863181991,0.0238209589378231,0.0255291046806556,0.0255901101339902,0.0239428803433738,0.0263789725700426,0.025670014446136,0.0263074026554714,0.0258390508009742,0.0250940645118942,0.0245493857721878,0.0273496553839105,0.0242829539885031,0.0265740722653568
"Q9NYW3",5.23811457298377,3.92858592973783,2.88096301514107,2.3571515578427,2.61905728649188,1.83334010054432,1.30952864324594,2.88096301514107,1.83334010054432,7.59526613082646,12.8333807038102,3.92858592973783,2.09524582919351,6.8095489448789,1.83334010054432,6.28573748758052,4.4523973870362,1.83334010054432,2.09524582919351,4.97620884433458,0.0230435366141586,0.0227601247990802,0.0224790680528037,0.0237102755095123,0.023980228320046,0.0239795818519121,0.0238460466613822,0.0250381006193507,0.0226114059427704,0.0235928713926462,0.0253410439362981,0.0246704351766719,0.0260772515658063,0.024818852029045,0.0238589280902278,0.0238199384493223,0.0239776590440355,0.0239433852781889,0.0254174528582066,0.0255012476791226,0.0239199398115486,0.0262754809799357,0.0255863485510457,0.0263027730405694,0.0257641031439971,0.024945222683011,0.0246493737382109,0.0273369653063004,0.0242706654294857,0.0265759647961196
"Q646C4",5.4775632305044,4.17338150895573,2.86919978740707,2.3475270987876,2.60836344309733,1.82585441016813,1.30418172154867,2.60836344309733,1.82585441016813,7.30341764067253,12.7809808711769,3.65170882033627,2.08669075447787,6.52090860774333,1.82585441016813,6.2600722634336,4.43421785326546,1.82585441016813,2.08669075447787,5.21672688619466,0.0231863052348301,0.0228138957913057,0.0224512470009466,0.0238802895167353,0.0237936346585384,0.0241696299740521,0.0237500078096893,0.0250355096233745,0.0228743664636141,0.0238282523770595,0.0252412556657232,0.0249696875747804,0.0260555261098192,0.0247680715637842,0.0234311182349654,0.0239966350922143,0.0242031410977732,0.0239618253238167,0.0254076156551421,0.0253791689967834,0.0242886136631008,0.0263344489348711,0.0254543529321805,0.0269394994772913,0.0253978320912514,0.024088595045916,0.0262607768845849,0.0264398709695876,0.0236924808526409,0.0270700010738946
"P59537",4.43450414999738,2.21725207499869,4.98881716874705,0.554313018749673,1.38578254687418,1.94009556562385,1.94009556562385,2.77156509374836,1.94009556562385,7.48322575312058,11.917729903118,5.82028669687156,3.32587811249803,7.76038226249541,2.21725207499869,6.65175622499607,4.98881716874705,2.77156509374836,1.94009556562385,6.92891273437091,0.0233612281241655,0.0227895208596319,0.0226026147125099,0.0231689472270984,0.0239673892392674,0.0235852602813602,0.0239423808727957,0.0232927479099307,0.0233812187432832,0.0232534123040868,0.0239598419048678,0.024208862037378,0.0235087019177083,0.0233797073366892,0.0242111290827563,0.0250257971900914,0.0234493332468616,0.0252617753148699,0.0237786422389806,0.0255100660358662,0.0248640497138556,0.025333075094439,0.0269064181065905,0.0245447686628879,0.0258109909023847,0.0251453405535804,0.0235328909241633,0.0237930037042599,0.0242194556025019,0.0230549207803015
