"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0537444933920705,0.0605726872246696,0.0550660792951542,0.0861233480176211,0.0731277533039648,0.0524229074889868,0.0348017621145374,0.0834801762114537,0.0281938325991189,0.0429515418502203,0.0671806167400881,0.0381057268722467,0.0167400881057269,0.0295154185022026,0.0506607929515418,0.0674008810572687,0.0579295154185022,0.0193832599118943,0.0288546255506608,0.0537444933920705
"Q91ZX7",0.0538393645189762,0.0606796116504854,0.0551632833186231,0.0862753751103266,0.0732568402471315,0.0525154457193292,0.0348631950573698,0.0836275375110327,0.028243601059135,0.043027360988526,0.0657546337157988,0.0381729920564872,0.0167696381288614,0.029567519858782,0.0505295675198588,0.0675198587819947,0.0580317740511915,0.0194174757281553,0.0289055604589585,0.0538393645189762
"Q07954",0.0541675878841477,0.0612425381384037,0.0550519566659297,0.0868892328100818,0.0731815166924608,0.0519566659296927,0.0364802122485076,0.0831306654875083,0.0285208932124696,0.0431129781118727,0.0654432898518682,0.0382489498120716,0.0156975458766306,0.0294052619942516,0.0501879283661287,0.0678753040017687,0.0572628786203847,0.0194561131992041,0.0287419854079151,0.0539464956887022
"P98157",0.0490783921829891,0.0537419498112369,0.0641794359316012,0.0886075949367089,0.0735065511880968,0.0530757272929158,0.0344214967799245,0.0766155896069287,0.0237619364867866,0.0515212080834999,0.06351321341328,0.0479680213191206,0.0157672662669332,0.0293137908061292,0.0455252054186098,0.0677326226959805,0.0588496557850322,0.0195425272040862,0.0330890517432823,0.0501887630468576
"Q9NZR2",0.0425436632333184,0.051500223914017,0.0638154948499776,0.0884460367218988,0.0759068517689207,0.054858934169279,0.0338110165696373,0.077474249888043,0.0284370801612181,0.0609046126287506,0.0673981191222571,0.0488132557098074,0.0147783251231527,0.0295566502463054,0.0396327810120914,0.0673981191222571,0.0532915360501567,0.0190326914464846,0.0342588446036722,0.048141513658755
"Q9JI18",0.0449563855960635,0.0509953030641915,0.0624021471706553,0.0861104898233057,0.0760456273764259,0.0545739208230821,0.032654887049877,0.0782822634757325,0.0295235965108477,0.058599865801834,0.0675464101990606,0.0489823305748155,0.0147617982554238,0.0297472601207784,0.0386938045180049,0.0726906732274659,0.0512189666741221,0.0183404160143145,0.0324312234399463,0.0514426302840528
"P98158",0.0416966211358735,0.0565540378624491,0.0599089384136113,0.0901030433740714,0.0757248981548047,0.0474478792235802,0.0376228133237479,0.0757248981548047,0.032830098250659,0.0491253294991613,0.0594296669063024,0.0340282770189312,0.0141385094656123,0.0373831775700935,0.0488856937455068,0.0762041696621136,0.0515216870357057,0.0203690390606278,0.0325904624970046,0.0587107596453391
"A2ARV4",0.0426653883029722,0.0541706615532119,0.0599232981783317,0.0896452540747843,0.0759827420901246,0.0488974113135187,0.0390699904122723,0.074065196548418,0.0325982742090125,0.0529721955896453,0.0582454458293384,0.0337967401725791,0.013902205177373,0.0369127516778524,0.0486577181208054,0.0776605944391179,0.051294343240652,0.0206136145733461,0.0328379674017258,0.0560882070949185
"P98164",0.0401056676272815,0.0557156580211335,0.06388088376561,0.0886167146974063,0.0756484149855908,0.0540345821325648,0.0353025936599424,0.0718059558117195,0.0304995196926033,0.0554755043227666,0.0609990393852065,0.0345821325648415,0.0139289145052834,0.0379442843419789,0.0468299711815562,0.0682036503362152,0.0547550432276657,0.021373679154659,0.036983669548511,0.053314121037464
"C0HL13",0.0417566594672426,0.0599952003839693,0.0686345092392609,0.0883129349652028,0.0760739140868731,0.0501559875209983,0.0326373890088793,0.0707943364530838,0.025437964962803,0.0559155267578594,0.0626349892008639,0.0350371970242381,0.011759059275258,0.0364770818334533,0.046796256299496,0.074154067674586,0.0523158147348212,0.0211183105351572,0.0364770818334533,0.0535157187425006
"Q04833",0.0599393019726859,0.0518462316641376,0.0533636823469904,0.0968639352554375,0.0741021750126454,0.0520991401112797,0.0379362670713202,0.0748609003540718,0.0235204855842185,0.0551340414769853,0.0596863935255438,0.0531107738998483,0.0139099645928174,0.0336368234699039,0.0419828022255943,0.0730905412240769,0.0498229640870005,0.0149215983813859,0.0306019221041983,0.0495700556398584
