"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",20.964151285365,15.7231134640237,11.5302832069507,13.1025945533531,6.55129727667656,13.6266983354872,11.0061794248166,10.2200237516154,6.81334916774362,13.6266983354872,32.2323826012487,11.0061794248166,4.192830257073,12.3164388801519,8.12360862307893,16.771321028292,13.3646464444202,2.88257080173768,6.55129727667656,19.9159437210967,0.0252283606435285,0.0238603353796768,0.0243690221196187,0.0232868582465453,0.0257100545471078,0.0254500096655356,0.0241483305242078,0.0250676056212859,0.0250117660590086,0.0238462305166154,0.0235458842814062,0.0236400456832699,0.0244014457327825,0.0246801746172054,0.025653693457922,0.0241760893076789,0.0250421041890794,0.0240493757850848,0.0260096357957433,0.02342913464546,0.0240658725936037,0.023796543729361,0.0251834414767041,0.0260313583624735,0.0243359305641365,0.0255182900978065,0.0248801801664254,0.0246409760429878,0.0242965845860926,0.024592774494584
"Q9W0T5",20.964151285365,15.7231134640237,11.5302832069507,13.1025945533531,6.55129727667656,13.6266983354872,11.0061794248166,10.2200237516154,6.81334916774362,13.6266983354872,32.2323826012487,11.0061794248166,4.192830257073,12.3164388801519,8.12360862307893,16.771321028292,13.3646464444202,2.88257080173768,6.55129727667656,19.9159437210967,0.0252283606435285,0.0238603353796768,0.0243690221196187,0.0232868582465453,0.0257100545471078,0.0254500096655356,0.0241483305242078,0.0250676056212859,0.0250117660590086,0.0238462305166154,0.0235458842814062,0.0236400456832699,0.0244014457327825,0.0246801746172054,0.025653693457922,0.0241760893076789,0.0250421041890794,0.0240493757850848,0.0260096357957433,0.02342913464546,0.0240658725936037,0.023796543729361,0.0251834414767041,0.0260313583624735,0.0243359305641365,0.0255182900978065,0.0248801801664254,0.0246409760429878,0.0242965845860926,0.024592774494584
"O75762",15.5429811336239,6.21719245344956,12.7169845638741,10.4561873080743,5.93459279647458,11.8691855929492,9.8909879941243,12.4343849068991,9.60838833714932,17.5211787324488,31.0859622672478,14.412582505724,7.63019073832446,11.5865859359742,7.34759108134948,13.564783534799,11.3039862789992,2.54339691277482,6.21719245344956,12.1517852499241,0.0234199362194499,0.0234583272875423,0.0231777963894582,0.0231762829826092,0.0248583139402413,0.0254389643968689,0.0238841173231318,0.0245184331701606,0.0232509907340617,0.0244097519481235,0.0231678748780498,0.0234577831383471,0.0234989400401229,0.0238313090299846,0.024878812092964,0.0232184926818542,0.0238256693871687,0.0240222242212584,0.0238521947805682,0.0227864596736725,0.023876530841725,0.0246992215468801,0.0234875508823142,0.0244076800102055,0.0248925611507734,0.0247015072753696,0.0243350727495908,0.0231959620844408,0.0238405814433157,0.023831000724767
"Q6RI86",16.1216240521955,6.67101684918435,12.5081565922206,10.8404023799246,5.00326263688826,10.0065252737765,8.61673009686311,10.2844843091592,9.17264816762848,14.7318288752821,30.5754938920949,14.4538698398994,8.61673009686311,10.0065252737765,6.67101684918435,12.5081565922206,9.17264816762848,2.50163131844413,6.67101684918435,12.230197556838,0.0237153825004972,0.0237380506573241,0.0230846414094511,0.0235217323397461,0.0252474104717971,0.0249658050098768,0.0240475856764275,0.0240687148388903,0.0239687698198905,0.0242672333658158,0.0236193112206918,0.024037254729479,0.0236514422883533,0.0240969789132541,0.024568988301958,0.0234988497629055,0.023488817239781,0.0245608257227694,0.024236587299313,0.0234984489580966,0.0241352356810933,0.0253397611498382,0.0232765128156061,0.0236640461000072,0.024755429429196,0.0247969996187225,0.0243856929184777,0.024012301647854,0.0244652516313134,0.0233269030988922
"Q8BLA8",15.8715639300776,6.40431527003129,13.0870790300639,10.5810426200517,5.29052131002585,10.024145640049,8.63190319004218,10.8594911100531,8.91035168004354,14.4793214800708,30.907782390151,14.7577699700721,8.35345470004082,9.74569715004762,6.68276376003266,12.2517335600599,8.91035168004354,2.50603641001225,6.96121225003402,12.2517335600599,0.0236302982430759,0.0237197597606207,0.0231518759253009,0.0233972093808092,0.024894664475155,0.0247759069150872,0.0238608803658872,0.0241779621261529,0.0238227868495703,0.0241842125714274,0.0238271292392272,0.0242141138386071,0.0238826881437946,0.0241559221346543,0.0247302951482684,0.023471241156349,0.0234964772651134,0.0244990687063145,0.0243233200151148,0.0235577207773532,0.0238771846181823,0.0253062172567951,0.0234979459808151,0.0236027802946599,0.0246634299556525,0.0247092650880676,0.0245691340803582,0.023602622286963,0.0243776085733935,0.023571788825869
"Q18297",15.0794533292927,8.43427050621457,9.45660632514967,11.5012779630199,3.32259141153907,16.3573731029616,7.92310259674702,8.1786865514808,4.34492723047417,11.7568619177536,18.4020447408318,14.8238693745589,7.66751864201325,12.523613781955,4.0893432757404,9.2010223704159,11.5012779630199,2.81142350207152,6.90076677781192,13.2903656461563,0.0228139287696316,0.0248377538282504,0.024373453169444,0.0226489406955969,0.026062876783968,0.0255075571454463,0.0254337228212939,0.0250566840843167,0.0246991470863398,0.0248601782276368,0.0250708466738522,0.0248427003224214,0.0245656480461015,0.0259230673224712,0.0261031948316409,0.0246845963017788,0.0234696374546492,0.0254029246860111,0.0257355900602265,0.024212165879338,0.0250651091613791,0.0253673711821339,0.0254023583238984,0.0245017094879308,0.0244645774530249,0.0249471557001205,0.0255962435484578,0.0240950370551208,0.0243945303907998,0.0242773387729438
"Q7Z020",13.8866035007465,8.60969417046284,9.1651583104927,9.1651583104927,4.16598105022395,8.60969417046284,6.94330175037326,9.1651583104927,8.05423003043298,14.7197997107913,27.4954749314781,10.5538186605673,9.1651583104927,9.1651583104927,6.38783761034339,14.7197997107913,9.44289038050763,1.66639242008958,7.49876589040312,13.6088714307316,0.0240567063548463,0.0246236721072789,0.0227030456290593,0.0234190903203006,0.0239956528131275,0.0257488310618348,0.0246865961722707,0.0237535571910605,0.0231302641668981,0.0250996236344988,0.023341692858185,0.0230133885318023,0.023039299864932,0.0238489169197814,0.0246573880857255,0.0251675054977339,0.0238749989643293,0.0243303684845215,0.0254241822711719,0.0235259737701856,0.0233908755602448,0.0241620068745504,0.0232879104016585,0.0243305676658172,0.0243842404214506,0.0244203462025835,0.0246058427139226,0.0247838438485389,0.0244016409140072,0.0230599006827523
"G5E8K5",19.1714895752088,2.99554524612638,8.68708121376649,5.39198144302748,0.898663573837913,3.89420881996429,7.48886311531594,9.28619026299176,8.98663573837913,4.49331786918956,15.2772807552445,7.78841763992858,2.09688167228846,1.49777262306319,4.7928723938022,7.1893085907033,7.78841763992858,0,3.29509977073901,11.0835174106676,0.023908840775809,0.0237546028586385,0.0239885750790872,0.0219884964582642,0.0221465905159072,0.0272017243294249,0.0233445614180168,0.0231628654845884,0.022777923791734,0.0239542028494715,0.0230749242130676,0.0228783383669822,0.0214487910654522,0.0251193080536019,0.0231661335331715,0.0220400183096509,0.022010627708395,0.0223947509130346,0.0253941316502085,0.0220100257817937,0.0234737990118452,0.021857118806439,0.0237387009807591,0.0233713456941294,0.0239331512517754,0.0245451806304026,0.0266075594222,0.0225608839773973,0.0226807406033656,0.021911561852749
"P16157",16.2652132437793,3.54877379864277,7.68900989705933,4.43596724830346,1.18292459954759,5.32316069796415,4.73169839819035,9.46339679638071,9.75912794626761,3.54877379864277,17.4481378433269,8.57620334672002,2.36584919909518,1.18292459954759,7.09754759728553,5.61889184785105,7.98474104694622,0.295731149886897,2.07011804920828,11.2377836957021,0.0253499347602859,0.0254095697451793,0.023591963184834,0.0217279449300942,0.0219231940709435,0.0266878954860579,0.0239474038854481,0.0215784901137646,0.0233718556872884,0.0245705217828287,0.0237552102993281,0.0225282087755181,0.0226588074578547,0.0242208822656332,0.023473094151541,0.0229365224616538,0.0224659158090953,0.0228582693233261,0.0239741516867596,0.0230013853148559,0.0238077797357182,0.022243707265954,0.0244316740723557,0.023073927927698,0.0230378973222449,0.0243372029913444,0.0260251965274501,0.0223511495208579,0.0231970048673243,0.0217320886898649
"O70511",18.6090465499693,3.00145912096279,9.00437736288836,5.40262641773302,0.900437736288836,3.90189685725162,7.50364780240697,9.30452327498464,9.00437736288836,4.50218868144418,15.3074415169102,7.80379371450325,2.10102138467395,1.50072956048139,5.10248050563674,7.20350189031069,7.80379371450325,0,3.30160503305907,11.1053987475623,0.0240039222593192,0.0235293592502718,0.0239691548817429,0.0219662092043138,0.0221415204342399,0.0271416053284703,0.0232504451197458,0.0232550406782461,0.0227686325222821,0.0239942744489946,0.0229813519991001,0.0229112843027022,0.0214525975422295,0.0251087100221523,0.0231353414534701,0.0220249347809461,0.0220699111598789,0.0223668907059374,0.0253483349257966,0.0218677416414848,0.0235967102168366,0.0217965679904546,0.0237310851934434,0.0232912351747819,0.0237399234790586,0.0245628978028504,0.0265712774127388,0.0225284384696044,0.02277293640786,0.0219757530947679
