"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.064312736443884,0.0567465321563682,0.0277427490542245,0.0529634300126103,0.00882723833543506,0.0554854981084489,0.0340479192938209,0.0655737704918033,0.0189155107187894,0.0668348045397226,0.10718789407314,0.0567465321563682,0.0290037831021438,0.0542244640605296,0.0441361916771753,0.0996216897856242,0.0592686002522068,0.0126103404791929,0.0189155107187894,0.0668348045397226
"Q7PIR5",0.064312736443884,0.0567465321563682,0.0277427490542245,0.0529634300126103,0.00882723833543506,0.0554854981084489,0.0340479192938209,0.0655737704918033,0.0189155107187894,0.0668348045397226,0.10718789407314,0.0567465321563682,0.0290037831021438,0.0542244640605296,0.0441361916771753,0.0996216897856242,0.0592686002522068,0.0126103404791929,0.0189155107187894,0.0668348045397226
"B4HNS0",0.0630026809651475,0.0603217158176944,0.0308310991957105,0.0509383378016086,0.0120643431635389,0.0522788203753351,0.0402144772117962,0.0764075067024129,0.014745308310992,0.064343163538874,0.113941018766756,0.0482573726541555,0.0241286863270777,0.0656836461126005,0.0482573726541555,0.0764075067024129,0.0589812332439678,0.0120643431635389,0.0160857908847185,0.0710455764075067
"B4P624",0.0616621983914209,0.0603217158176944,0.0294906166219839,0.0509383378016086,0.0120643431635389,0.0509383378016086,0.0388739946380697,0.0777479892761394,0.0160857908847185,0.0603217158176944,0.10857908847185,0.0482573726541555,0.0241286863270777,0.064343163538874,0.049597855227882,0.0790884718498659,0.0603217158176944,0.0120643431635389,0.0160857908847185,0.0790884718498659
"B3NSE1",0.0630026809651475,0.0616621983914209,0.032171581769437,0.049597855227882,0.0120643431635389,0.0522788203753351,0.0402144772117962,0.0764075067024129,0.014745308310992,0.0656836461126005,0.112600536193029,0.046916890080429,0.0241286863270777,0.064343163538874,0.0482573726541555,0.0790884718498659,0.0589812332439678,0.0120643431635389,0.014745308310992,0.0710455764075067
"B4KR05",0.064343163538874,0.0589812332439678,0.032171581769437,0.0509383378016086,0.0120643431635389,0.046916890080429,0.0455764075067024,0.0764075067024129,0.0120643431635389,0.0630026809651475,0.105898123324397,0.0455764075067024,0.0294906166219839,0.0630026809651475,0.0509383378016086,0.0790884718498659,0.0589812332439678,0.0134048257372654,0.0187667560321716,0.0723860589812333
"B4QBN2",0.0603217158176944,0.0616621983914209,0.0281501340482574,0.0509383378016086,0.0120643431635389,0.0522788203753351,0.0402144772117962,0.0777479892761394,0.0160857908847185,0.0683646112600536,0.112600536193029,0.0482573726541555,0.0254691689008043,0.0670241286863271,0.049597855227882,0.0777479892761394,0.0576407506702413,0.0120643431635389,0.0160857908847185,0.0656836461126005
"A1Z8N1",0.0614973262032086,0.0601604278074866,0.0294117647058824,0.053475935828877,0.0120320855614973,0.053475935828877,0.0387700534759358,0.0762032085561497,0.0147058823529412,0.0641711229946524,0.114973262032086,0.0467914438502674,0.0254010695187166,0.0655080213903743,0.0481283422459893,0.0762032085561497,0.0588235294117647,0.0120320855614973,0.017379679144385,0.070855614973262
"B3MG58",0.0656836461126005,0.0630026809651475,0.0281501340482574,0.0509383378016086,0.0107238605898123,0.0509383378016086,0.0388739946380697,0.0750670241286863,0.017426273458445,0.064343163538874,0.10857908847185,0.0455764075067024,0.0254691689008043,0.0656836461126005,0.049597855227882,0.0804289544235925,0.0589812332439678,0.0120643431635389,0.0160857908847185,0.0723860589812333
"B4MYA4",0.0579514824797844,0.0579514824797844,0.0336927223719677,0.0539083557951483,0.0107816711590297,0.0485175202156334,0.0377358490566038,0.0754716981132075,0.0121293800539084,0.0741239892183288,0.111859838274933,0.0485175202156334,0.0242587601078167,0.0619946091644205,0.0471698113207547,0.0808625336927224,0.0619946091644205,0.0121293800539084,0.0202156334231806,0.068733153638814
"Q291H8",0.0685483870967742,0.0577956989247312,0.032258064516129,0.0510752688172043,0.010752688172043,0.0483870967741935,0.0416666666666667,0.0739247311827957,0.0161290322580645,0.0672043010752688,0.10752688172043,0.0510752688172043,0.0309139784946237,0.0645161290322581,0.0483870967741935,0.081989247311828,0.0551075268817204,0.0120967741935484,0.0174731182795699,0.0631720430107527
"B4GAP7",0.0685483870967742,0.0577956989247312,0.032258064516129,0.0510752688172043,0.010752688172043,0.0483870967741935,0.0416666666666667,0.0739247311827957,0.0161290322580645,0.0672043010752688,0.10752688172043,0.0510752688172043,0.0309139784946237,0.0645161290322581,0.0483870967741935,0.081989247311828,0.0551075268817204,0.0120967741935484,0.0174731182795699,0.0631720430107527
"B4LPX5",0.0658602150537634,0.0564516129032258,0.032258064516129,0.0497311827956989,0.0120967741935484,0.0483870967741935,0.043010752688172,0.0752688172043011,0.0120967741935484,0.0645161290322581,0.106182795698925,0.0497311827956989,0.0295698924731183,0.0645161290322581,0.0483870967741935,0.081989247311828,0.0564516129032258,0.0134408602150538,0.0188172043010753,0.071236559139785
"Q17NV8",0.0659630606860158,0.050131926121372,0.0263852242744063,0.0567282321899736,0.00659630606860158,0.0527704485488127,0.0382585751978892,0.0751978891820581,0.0171503957783641,0.0699208443271768,0.101583113456464,0.0580474934036939,0.0303430079155673,0.0593667546174142,0.0422163588390501,0.0910290237467019,0.0646437994722955,0.0131926121372032,0.0184696569920844,0.0620052770448549
"B4J913",0.0610795454545455,0.0610795454545455,0.0284090909090909,0.0539772727272727,0.015625,0.0482954545454545,0.0383522727272727,0.078125,0.015625,0.0710227272727273,0.115056818181818,0.046875,0.0284090909090909,0.0596590909090909,0.046875,0.0795454545454545,0.0511363636363636,0.0127840909090909,0.0184659090909091,0.0696022727272727
"A5LGM7",0.0853174603174603,0.0416666666666667,0.0396825396825397,0.0178571428571429,0.0119047619047619,0.0456349206349206,0.0198412698412698,0.0932539682539683,0.00793650793650794,0.0952380952380952,0.101190476190476,0.0416666666666667,0.0317460317460317,0.0694444444444444,0.0456349206349206,0.0634920634920635,0.0634920634920635,0.0198412698412698,0.0238095238095238,0.0813492063492064
"B0WC46",0.0787234042553192,0.0382978723404255,0.0276595744680851,0.0340425531914894,0.0148936170212766,0.0276595744680851,0.0234042553191489,0.0978723404255319,0.0106382978723404,0.0829787234042553,0.121276595744681,0.0382978723404255,0.0382978723404255,0.0617021276595745,0.0425531914893617,0.0787234042553192,0.0574468085106383,0.0191489361702128,0.0191489361702128,0.0872340425531915
"Q8MKK4",0.0811965811965812,0.0384615384615385,0.0299145299145299,0.0235042735042735,0.0213675213675214,0.0363247863247863,0.0235042735042735,0.0897435897435897,0.00641025641025641,0.0876068376068376,0.11965811965812,0.0341880341880342,0.0363247863247863,0.0769230769230769,0.0491452991452991,0.0662393162393162,0.0598290598290598,0.0170940170940171,0.0170940170940171,0.0854700854700855
"B4QBN3",0.0810234541577825,0.0405117270788913,0.0277185501066098,0.023454157782516,0.0255863539445629,0.0362473347547974,0.0213219616204691,0.0895522388059701,0.00639658848614072,0.0916844349680171,0.123667377398721,0.0341151385927505,0.0341151385927505,0.0746268656716418,0.0490405117270789,0.0639658848614073,0.0597014925373134,0.0170575692963753,0.0170575692963753,0.0831556503198294
"B4HNS1",0.0788912579957356,0.0383795309168444,0.0298507462686567,0.023454157782516,0.023454157782516,0.0362473347547974,0.0213219616204691,0.0895522388059701,0.00639658848614072,0.093816631130064,0.121535181236674,0.0341151385927505,0.0319829424307036,0.0746268656716418,0.0490405117270789,0.0660980810234542,0.0597014925373134,0.0170575692963753,0.0191897654584222,0.0852878464818763
"A9ZSY3",0.0731707317073171,0.0386178861788618,0.0386178861788618,0.0223577235772358,0.0101626016260163,0.0447154471544715,0.0264227642276423,0.0894308943089431,0.0040650406504065,0.0934959349593496,0.115853658536585,0.040650406504065,0.0365853658536585,0.0609756097560976,0.040650406504065,0.0630081300813008,0.0711382113821138,0.0203252032520325,0.0304878048780488,0.0792682926829268
"P53387",0.0784313725490196,0.0348583877995643,0.0305010893246187,0.0305010893246187,0.0261437908496732,0.0392156862745098,0.0239651416122004,0.093681917211329,0.0108932461873638,0.0958605664488017,0.0740740740740741,0.037037037037037,0.037037037037037,0.0806100217864924,0.0326797385620915,0.0697167755991285,0.0479302832244009,0.0239651416122004,0.0413943355119826,0.0915032679738562
"A9ZSY2",0.0724346076458753,0.0442655935613682,0.0241448692152917,0.0241448692152917,0.0160965794768612,0.0422535211267606,0.0201207243460765,0.0764587525150905,0.00804828973843058,0.108651911468813,0.106639839034205,0.0382293762575453,0.0482897384305835,0.0663983903420523,0.0442655935613682,0.0784708249496982,0.0704225352112676,0.0181086519114688,0.0261569416498994,0.0663983903420523
"P13181",0.0670611439842209,0.0216962524654832,0.0315581854043393,0.019723865877712,0.029585798816568,0.0532544378698225,0.0355029585798817,0.0946745562130177,0.0118343195266272,0.0749506903353057,0.0848126232741617,0.0473372781065089,0.0335305719921105,0.0690335305719921,0.0394477317554241,0.0848126232741617,0.0473372781065089,0.0236686390532544,0.0394477317554241,0.0907297830374754
"C0SPB2",0.08274231678487,0.0307328605200946,0.0283687943262411,0.0260047281323877,0.00472813238770686,0.0425531914893617,0.0141843971631206,0.111111111111111,0.00945626477541371,0.0945626477541371,0.151300236406619,0.0520094562647754,0.0283687943262411,0.0567375886524823,0.0354609929078014,0.0472813238770686,0.0614657210401891,0.016548463356974,0.0236406619385343,0.08274231678487
"P23585",0.065979381443299,0.0350515463917526,0.0350515463917526,0.0206185567010309,0.022680412371134,0.0391752577319588,0.0288659793814433,0.103092783505155,0.00412371134020619,0.0927835051546392,0.0742268041237113,0.0350515463917526,0.0371134020618557,0.0824742268041237,0.0329896907216495,0.0783505154639175,0.0618556701030928,0.0185567010309278,0.0432989690721649,0.088659793814433
"P93051",0.122222222222222,0.0377777777777778,0.02,0.0244444444444444,0.0155555555555556,0.0355555555555556,0.0244444444444444,0.0933333333333333,0.00444444444444444,0.0955555555555556,0.0977777777777778,0.0355555555555556,0.0333333333333333,0.0688888888888889,0.04,0.0666666666666667,0.0488888888888889,0.0177777777777778,0.0288888888888889,0.0888888888888889
"P38695",0.0533596837944664,0.0395256916996047,0.033596837944664,0.0237154150197628,0.0296442687747036,0.0513833992094862,0.0296442687747036,0.0928853754940712,0.00197628458498024,0.0770750988142292,0.0810276679841897,0.0355731225296443,0.0375494071146245,0.0731225296442688,0.0395256916996047,0.0849802371541502,0.0612648221343874,0.0217391304347826,0.0474308300395257,0.0849802371541502
"P39003",0.0772277227722772,0.0297029702970297,0.0257425742574257,0.0217821782178218,0.0217821782178218,0.0534653465346535,0.0257425742574257,0.097029702970297,0.0099009900990099,0.0910891089108911,0.0772277227722772,0.0376237623762376,0.0336633663366337,0.0594059405940594,0.0415841584158416,0.0732673267326733,0.0574257425742574,0.0237623762376238,0.0415841584158416,0.100990099009901
"P39004",0.0772277227722772,0.0297029702970297,0.0257425742574257,0.0217821782178218,0.0217821782178218,0.0534653465346535,0.0257425742574257,0.097029702970297,0.0099009900990099,0.0910891089108911,0.0772277227722772,0.0376237623762376,0.0336633663366337,0.0594059405940594,0.0415841584158416,0.0732673267326733,0.0574257425742574,0.0237623762376238,0.0415841584158416,0.100990099009901
"P32465",0.0637450199203187,0.0338645418326693,0.0318725099601594,0.0239043824701195,0.0358565737051793,0.0418326693227092,0.0318725099601594,0.097609561752988,0.0099601593625498,0.0816733067729084,0.0637450199203187,0.0258964143426295,0.0418326693227092,0.0717131474103586,0.0458167330677291,0.0836653386454183,0.049800796812749,0.0219123505976096,0.049800796812749,0.0936254980079681
"P46333",0.0913348946135831,0.0351288056206089,0.0210772833723653,0.0140515222482436,0.00936768149882904,0.0398126463700234,0.0117096018735363,0.100702576112412,0.00234192037470726,0.0936768149882904,0.142857142857143,0.0374707259953162,0.0491803278688525,0.0515222482435597,0.0327868852459016,0.0608899297423888,0.0679156908665105,0.0210772833723653,0.0281030444964871,0.0889929742388759
"P39924",0.065843621399177,0.0329218106995885,0.0226337448559671,0.0308641975308642,0.0288065843621399,0.0473251028806584,0.0246913580246914,0.0987654320987654,0.0102880658436214,0.0905349794238683,0.106995884773663,0.0329218106995885,0.0267489711934156,0.0699588477366255,0.0432098765432099,0.0699588477366255,0.0452674897119342,0.0226337448559671,0.0473251028806584,0.0823045267489712
"P94493",0.0927601809954751,0.0610859728506787,0.0294117647058824,0.0180995475113122,0.00904977375565611,0.0475113122171946,0.0203619909502262,0.0927601809954751,0.00904977375565611,0.083710407239819,0.147058823529412,0.0361990950226244,0.0339366515837104,0.0746606334841629,0.0361990950226244,0.0520361990950226,0.0452488687782805,0.0135746606334842,0.0180995475113122,0.0791855203619909
"P54862",0.0662525879917184,0.0289855072463768,0.0331262939958592,0.020703933747412,0.020703933747412,0.0351966873706004,0.0248447204968944,0.105590062111801,0.0041407867494824,0.082815734989648,0.082815734989648,0.041407867494824,0.0351966873706004,0.0786749482401656,0.031055900621118,0.082815734989648,0.072463768115942,0.0248447204968944,0.041407867494824,0.0869565217391304
"P53631",0.0617283950617284,0.0329218106995885,0.0226337448559671,0.0308641975308642,0.0288065843621399,0.0493827160493827,0.0267489711934156,0.0987654320987654,0.0102880658436214,0.0905349794238683,0.106995884773663,0.0329218106995885,0.0267489711934156,0.0699588477366255,0.0452674897119342,0.065843621399177,0.0493827160493827,0.0226337448559671,0.0473251028806584,0.0802469135802469
"P32467",0.0745098039215686,0.0294117647058824,0.0352941176470588,0.0294117647058824,0.0254901960784314,0.0529411764705882,0.0254901960784314,0.0941176470588235,0.00784313725490196,0.0823529411764706,0.0745098039215686,0.0392156862745098,0.0313725490196078,0.0705882352941176,0.0411764705882353,0.0705882352941176,0.0588235294117647,0.0235294117647059,0.0431372549019608,0.0901960784313725
"A6ZT02",0.0745098039215686,0.0313725490196078,0.0352941176470588,0.0294117647058824,0.0254901960784314,0.0529411764705882,0.0254901960784314,0.0941176470588235,0.00784313725490196,0.0823529411764706,0.0745098039215686,0.0372549019607843,0.0313725490196078,0.0705882352941176,0.0411764705882353,0.0705882352941176,0.0588235294117647,0.0235294117647059,0.0431372549019608,0.0901960784313725
"P87110",0.100196463654224,0.037328094302554,0.0353634577603143,0.0216110019646365,0.00982318271119843,0.0471512770137525,0.0294695481335953,0.0844793713163065,0.00982318271119843,0.0982318271119843,0.0943025540275049,0.037328094302554,0.0235756385068762,0.0667976424361493,0.0333988212180747,0.0903732809430255,0.0550098231827112,0.0216110019646365,0.0275049115913556,0.0766208251473477
"Q7EZD7",0.0990990990990991,0.0472972972972973,0.0337837837837838,0.0292792792792793,0.0135135135135135,0.0315315315315315,0.0315315315315315,0.0833333333333333,0.0112612612612613,0.0743243243243243,0.114864864864865,0.027027027027027,0.0382882882882883,0.0765765765765766,0.036036036036036,0.0518018018018018,0.0495495495495495,0.0247747747747748,0.0247747747747748,0.101351351351351
"Q9LT15",0.089041095890411,0.0296803652968037,0.0365296803652968,0.0251141552511416,0.0136986301369863,0.0365296803652968,0.0296803652968037,0.0936073059360731,0.0091324200913242,0.0844748858447489,0.107305936073059,0.0410958904109589,0.0525114155251142,0.0844748858447489,0.0365296803652968,0.0525114155251142,0.0479452054794521,0.0205479452054795,0.0273972602739726,0.0821917808219178
"P18631",0.0645161290322581,0.030241935483871,0.032258064516129,0.030241935483871,0.0262096774193548,0.0483870967741935,0.0262096774193548,0.0967741935483871,0.0141129032258065,0.0866935483870968,0.0786290322580645,0.0342741935483871,0.032258064516129,0.0745967741935484,0.030241935483871,0.0766129032258065,0.0645161290322581,0.0221774193548387,0.0463709677419355,0.0846774193548387
"P40886",0.0666666666666667,0.0303030303030303,0.0363636363636364,0.0262626262626263,0.0363636363636364,0.0606060606060606,0.0202020202020202,0.0848484848484849,0.00404040404040404,0.0767676767676768,0.0747474747474747,0.0343434343434343,0.0383838383838384,0.0787878787878788,0.0383838383838384,0.0828282828282828,0.0606060606060606,0.0202020202020202,0.0404040404040404,0.0888888888888889
"P40885",0.0657084188911704,0.0287474332648871,0.0390143737166324,0.0225872689938398,0.0225872689938398,0.0349075975359343,0.026694045174538,0.0985626283367557,0.00205338809034908,0.0841889117043121,0.0841889117043121,0.0410677618069815,0.0328542094455852,0.0780287474332649,0.0308008213552361,0.082135523613963,0.0759753593429158,0.0246406570841889,0.0390143737166324,0.0862422997946612
