"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",6.53259147906392,1.95977744371918,24.4972180464897,11.7586646623151,0.653259147906392,8.1657393488299,2.28640701767237,11.1054055144087,5.22607318325114,16.3314786976598,15.6782195497534,7.51248020092351,1.63314786976598,10.1255167925491,4.24618446139155,22.2108110288173,7.83910977487671,0,1.95977744371918,5.87933233115753,0.0199882595621704,0.0211274998215854,0.0214806568981652,0.0199823633396125,0.0213171138161084,0.0221979749936141,0.0217205500597937,0.0222182955910806,0.0210588196249445,0.0217231130962679,0.0222965625951854,0.0216021747814492,0.0235461230222269,0.0221562990547561,0.0224015370266147,0.0225080738040847,0.0226746733036009,0.024113659198553,0.0241790952526296,0.0230636936875214,0.0236123810873374,0.0235350751935636,0.0233925187843439,0.0232513158197225,0.0234743572072323,0.0239069587244717,0.02322468380259,0.0232963776215856,0.0208236832531104,0.023496536022882
"Q55FL1",6.53259147906392,1.95977744371918,24.4972180464897,11.7586646623151,0.653259147906392,8.1657393488299,2.28640701767237,11.1054055144087,5.22607318325114,16.3314786976598,15.6782195497534,7.51248020092351,1.63314786976598,10.1255167925491,4.24618446139155,22.2108110288173,7.83910977487671,0,1.95977744371918,5.87933233115753,0.0199882595621704,0.0211274998215854,0.0214806568981652,0.0199823633396125,0.0213171138161084,0.0221979749936141,0.0217205500597937,0.0222182955910806,0.0210588196249445,0.0217231130962679,0.0222965625951854,0.0216021747814492,0.0235461230222269,0.0221562990547561,0.0224015370266147,0.0225080738040847,0.0226746733036009,0.024113659198553,0.0241790952526296,0.0230636936875214,0.0236123810873374,0.0235350751935636,0.0233925187843439,0.0232513158197225,0.0234743572072323,0.0239069587244717,0.02322468380259,0.0232963776215856,0.0208236832531104,0.023496536022882
"Q9ULF5",5.65978317862189,0.314432398812327,3.77318878574793,4.71648598218491,0.628864797624654,5.03091838099723,1.88659439287396,7.54637757149585,6.60308037505887,5.65978317862189,7.23194517268352,1.88659439287396,3.14432398812327,2.51545919049862,1.25772959524931,4.71648598218491,3.4587563869356,1.25772959524931,1.25772959524931,3.77318878574793,0.0225167666372427,0.022216552017064,0.0229294514696313,0.0215329007597669,0.0228240387543815,0.0219483586840108,0.0228750700972066,0.0225095912631158,0.022406274071327,0.0250716168358064,0.0226073244948824,0.0230823696785918,0.0236217413585009,0.022213261171201,0.0249020441413268,0.0237414459276696,0.0230833143842402,0.0242946544424738,0.0235843367749974,0.0220403682008761,0.022700088852027,0.0229364351584065,0.0239780557930253,0.0242498064403854,0.0200624344008424,0.0224986544872633,0.0220592695864225,0.0231566597617364,0.0222489688665077,0.0216757466767433
"Q9BE64",1.62021068030471,0.648084272121884,8.74913767364543,11.017432626072,0.324042136060942,6.80488485727978,0.648084272121884,2.91637922454848,1.29616854424377,1.94425281636565,0,1.62021068030471,0.324042136060942,1.94425281636565,1.29616854424377,3.56446349667036,3.24042136060942,0.324042136060942,1.29616854424377,0.648084272121884,0.0235357595297372,0.0262212414301566,0.019721592393117,0.0215167353390896,0.0198931385297129,0.0203593573760608,0.0199083025904908,0.0215149133734674,0.0233860679270421,0.021954816789409,0.0217613751891068,0.0220548174904766,0.0226998450909904,0.0231219721792147,0.020414786280472,0.0229109156974493,0.0238170655544203,0.0229280617041021,0.0214502728876737,0.0237340513895312,0.0235528265341403,0.0224627576740159,0.0226728621775254,0.0253824062051443,0.0238185500383283,0.0233227818555702,0.0226245671350712,0.02257857424447,0.024351014933354,0.022286434399718
"Q6P5F6",6.60149229511797,0.628713551915998,2.51485420766399,5.34406519128598,0.628713551915998,4.40099486341198,1.88614065574799,6.91584907107597,6.91584907107597,5.02970841532798,7.23020584703397,1.57178387978999,3.45792453553799,2.51485420766399,1.57178387978999,5.34406519128598,3.45792453553799,1.257427103832,1.257427103832,3.77228131149599,0.0223218417834811,0.0220975432800893,0.0229579220145225,0.0214327653105002,0.0224137641367769,0.022868885137388,0.0228375012329093,0.0226817493415166,0.0226777755585928,0.0249350962265062,0.0224924904644567,0.0233154857329516,0.0234538086431459,0.0223102800944622,0.024601073339137,0.0239967515938742,0.0237440526166099,0.0247395859378449,0.0230590943772493,0.0222547424766109,0.0224119079528276,0.0219085035808382,0.0240382432642011,0.0240621127222597,0.0200428563164275,0.0228909621578667,0.0221352904331974,0.0226669149688412,0.0231077379166678,0.0211864854302487
"Q504Y0",5.45198580443463,0.962115141959052,1.9242302839181,2.56564037855747,0.962115141959052,2.24493533123779,2.56564037855747,5.13128075711495,2.56564037855747,4.16916561515589,8.65903627763147,1.9242302839181,3.84846056783621,2.88634542587716,1.9242302839181,7.69692113567242,3.52775552051653,0.641410094639368,0.641410094639368,3.52775552051653,0.0217882486772682,0.0221502401592014,0.0212838222589508,0.0230437394313438,0.0246305232280858,0.0232043671494255,0.0246451166905113,0.0229600151160144,0.0230270007621014,0.0242531045559755,0.0228114447855823,0.0227262538957992,0.0215383795810039,0.0209253828755257,0.0210406595598839,0.0213758165532304,0.0220692448700571,0.0245248912727867,0.0226474167756089,0.0224606441508146,0.0220418500939262,0.0228102771811052,0.0243285966605761,0.0236475546930786,0.0213142748143813,0.0228922898540511,0.0235203637971451,0.0239001842591241,0.0203140486668312,0.0214192003109258
"Q3AU90",6.00259298398705,0.900388947598057,1.80077789519611,0.600259298398705,0.300129649199352,3.60155579039223,0.900388947598057,4.80207438718964,1.50064824599676,4.50194473799028,6.60285228238575,2.10090754439547,1.80077789519611,3.30142614119288,2.70116684279417,4.20181508879093,0.900388947598057,0,1.50064824599676,3.90168543959158,0.0200181888799297,0.0226688085133965,0.0211083624897281,0.020915953966777,0.0249913953700577,0.0239836615562486,0.0223848383292359,0.0240337235875014,0.0255028031325007,0.023685242026922,0.0225254643213226,0.0227021780769262,0.0242661312554771,0.0246466783682359,0.0231359548145867,0.0230833030874213,0.024215270326846,0.0244998814674622,0.0227340646047857,0.0240584092786522,0.0251496340710398,0.0237065684455752,0.0260888079928141,0.0255809196743617,0.0242163315652401,0.0214747754812692,0.021423489328186,0.023596807052047,0.0205081914504378,0.0229645122856634
"A4SE48",7.1311624775154,1.48565884948238,1.78279061937885,1.1885270795859,0,3.26844946886122,0.59426353979295,3.86271300865417,1.48565884948238,4.45697654844713,6.23976716782597,1.1885270795859,2.67418592906828,2.67418592906828,2.97131769896475,3.5655812387577,1.78279061937885,0,1.48565884948238,3.5655812387577,0.021489521575391,0.0223186418160766,0.0208903982301676,0.0212436272046288,0.0263614483564885,0.0225029271144763,0.0227918340181574,0.0242730989001569,0.0252725529431304,0.0227266864458636,0.0244548476104485,0.0231641510533375,0.0208278740491418,0.0249288147452016,0.0252841267674007,0.0204980982675071,0.0242186532937203,0.0261084187237648,0.0225113942633093,0.0253447661896139,0.0252658057128885,0.0234629076870904,0.0247393119676657,0.0262450063528573,0.0230886528106439,0.0225040141162799,0.0239631091074207,0.0246266592640681,0.0187581233292108,0.0230027581874171
"B3ECE6",7.75992828963721,0.931191394756465,1.86238278951293,0.931191394756465,0.310397131585488,3.41436844744037,0.310397131585488,4.65595697378232,1.86238278951293,4.65595697378232,6.51833976329525,0.931191394756465,3.10397131585488,2.79357418426939,3.10397131585488,3.72476557902586,1.55198565792744,0,1.55198565792744,3.72476557902586,0.0217143124074158,0.0211537819939579,0.0214077352332073,0.0216680151034468,0.0240794965295037,0.0229757999578791,0.022763660294557,0.0239784903014582,0.0260898329659169,0.0232437939366856,0.023096004189384,0.0218815731401896,0.0208691447435336,0.0238313681361652,0.0237806058685481,0.0202864722773331,0.0225617846032924,0.0241281930935749,0.0218590797259867,0.0252843434542874,0.0239795613411366,0.0233187637101399,0.0237907823093715,0.0255767466421114,0.0243762968042971,0.0232660122903703,0.0237094344183896,0.023801265098366,0.0184167865178247,0.0227137313261817
"Q5FWH7",3.84543374967281,1.28181124989094,2.56362249978188,2.24316968730914,0.320452812472734,1.92271687483641,1.92271687483641,5.76815062450922,2.56362249978188,4.16588656214555,10.5749428116002,1.28181124989094,2.24316968730914,2.56362249978188,2.24316968730914,6.40905624945469,5.44769781203648,0.961358437418203,0.640905624945469,4.48633937461828,0.0217683493339279,0.0224151664554814,0.0213120132222102,0.0222840064031233,0.0243590017865163,0.0226798447530716,0.0244527941973426,0.0241218271406469,0.0237440553366253,0.024663574979077,0.0238064494261446,0.0225148205742792,0.0218932091494147,0.0228015708286058,0.021776216318968,0.0232319229132593,0.0215950615238599,0.0234017154601579,0.0229456907020743,0.0223348639615661,0.0228804650481874,0.0216673353001526,0.0249424483290233,0.0246322858564704,0.0217664155526337,0.0211558960389966,0.0228154474057194,0.0216625275634446,0.0198756942767087,0.0200465176895769
"P34240",2.72939957151304,1.51633309528502,3.63919942868405,2.42613295245603,0.909799857171013,3.63919942868405,1.81959971434203,6.06533238114008,3.94246604774105,3.33593280962705,8.49146533359612,2.12286633339903,0.606533238114008,4.85226590491207,3.33593280962705,8.49146533359612,2.72939957151304,0.303266619057004,2.42613295245603,3.03266619057004,0.0213286113671196,0.0234911177442871,0.023740487986487,0.0231411084688169,0.0254505229575619,0.0237319792631573,0.022774921701325,0.0215103935854391,0.0228768262370488,0.023019571572203,0.0241554465895719,0.0240438474466015,0.0236149484160914,0.0234750790788147,0.0243939849457046,0.0237297835529409,0.0224725490183918,0.0236475873177388,0.0219298841593717,0.0232363996474253,0.0228323714272027,0.0236400237908701,0.0236195702404932,0.02428413098594,0.0242345109163822,0.0232925566179466,0.0213255432198677,0.0249057258928524,0.021426925422194,0.0214069713731487
"B3QP89",6.18505651753206,0.88357950250458,1.4726325041743,0.88357950250458,0,3.82884451085318,0,4.71242401335776,1.4726325041743,4.4178975125229,7.3631625208715,2.35621200667888,1.76715900500916,3.23979150918346,2.35621200667888,3.82884451085318,2.06168550584402,0,1.17810600333944,2.9452650083486,0.0209545333130296,0.0221830468183435,0.0226245807444831,0.0208822803448015,0.0250541650359144,0.0236751501269194,0.022427628625317,0.0246919966465067,0.0249089978560916,0.0243534957262614,0.0229989622151057,0.0225433650916562,0.0234786956157855,0.0247606482248114,0.0227369873862357,0.0231660006836344,0.0247691899186057,0.0242049574056651,0.0238533214243351,0.0249078961744824,0.0249481353703207,0.0247220714191133,0.0252643291976255,0.0267039958162543,0.0236696563069287,0.0232758676379993,0.0225154269364005,0.0215993639864489,0.0203315355204655,0.023267217595598
"B2UL32",6.81990488555462,1.48258801859883,0.889552811159298,1.18607041487906,0,2.96517603719766,0.296517603719766,5.04079926323602,2.37214082975813,5.04079926323602,5.33731686695579,0.889552811159298,1.48258801859883,3.26169364091743,2.37214082975813,3.85472884835696,1.7791056223186,0.296517603719766,0.889552811159298,2.96517603719766,0.0214236950474044,0.0221286649890911,0.0224415159849853,0.022269641690096,0.0254231313565203,0.0238837160023135,0.0235009547631973,0.0237525107755345,0.0249333058273034,0.0243278160010055,0.024224729655233,0.0234657893266318,0.0234456896438173,0.023052357021562,0.0227254162927342,0.0232337261769644,0.0230751991781416,0.0251878495590265,0.0224398984802294,0.0245719450863102,0.0238632408638185,0.0240423298810979,0.0246640380216107,0.0260473065784776,0.0234324751941867,0.0232551688093823,0.0224968031687211,0.0236411312450441,0.0193791028498517,0.0231532468099415
"Q3B4G1",6.18606241922049,1.47287200457631,1.17829760366105,1.17829760366105,0,3.24031841006787,0.589148801830523,3.8294672118984,1.76744640549157,4.12404161281366,5.59691361738996,0.883723202745784,2.94574400915261,2.65116960823735,2.65116960823735,4.12404161281366,2.35659520732209,0,1.17829760366105,3.24031841006787,0.0208796479202083,0.0214165089664138,0.0212243176775931,0.0212774290756588,0.0248969444718473,0.0251193612038364,0.0232852702836869,0.0248137989360362,0.0261209427097095,0.0246264302560507,0.0244414993818417,0.0233002254922771,0.0215176500909708,0.0252248430641396,0.0240265062635011,0.0210997932271169,0.0237095893328488,0.0254072997812119,0.0238913782234367,0.0247073045588015,0.0235049088820354,0.0231561980073511,0.023078245747749,0.0255394392630956,0.0236747425320016,0.0229026801987685,0.0248420277441304,0.0250062488470432,0.0193311888857105,0.0234031780596664
"C3PFG5",7.72963100245413,1.71769577832314,0.85884788916157,0.572565259441047,0.286282629720523,4.29423944580785,0,3.7216741863668,1.43141314860262,4.58052207552837,5.15308733496942,1.14513051888209,1.71769577832314,3.14910892692576,3.43539155664628,2.00397840804366,2.86282629720523,0.572565259441047,0.286282629720523,2.57654366748471,0.0205470590503171,0.0227670101041498,0.0215460574741576,0.0211700252553585,0.0235858064745116,0.0214504943707363,0.0228874636953946,0.0252356514702283,0.024275122161028,0.0239329160672168,0.0246695467854755,0.0245238507605031,0.0234145530941757,0.0262154712491139,0.0235565915449215,0.0229275152843842,0.0245523930852933,0.0255524749882102,0.0245469128988589,0.0244182526806599,0.0232696698020351,0.0234887551075657,0.0251091767342173,0.0274808026196414,0.0232865088618251,0.0226999765550911,0.0253958713799419,0.0248219361101498,0.0209680922378141,0.0254214123765003
"Q8ENQ1",6.38844659111916,1.16153574383985,1.16153574383985,2.61345542363966,0,2.03268755171973,0.290383935959962,3.19422329555958,1.74230361575977,5.22691084727931,6.0980626551592,2.90383935959962,3.19422329555958,2.61345542363966,3.19422329555958,2.61345542363966,1.45191967979981,0,1.74230361575977,3.19422329555958,0.0210407278940641,0.0228086726338633,0.019871212122209,0.0212158340731176,0.0245629041702163,0.0207860597008304,0.0223354386649313,0.0239596837501863,0.0239280562374341,0.0226437818118455,0.0250315016598448,0.0234618353533529,0.0216485749298395,0.0240760964194839,0.0219376603561471,0.0242858450816086,0.0262696501029321,0.0242405128737865,0.0241302788851195,0.0266223954117839,0.0226901181116168,0.0250890292976876,0.0267064272099581,0.0287999001963734,0.0251994191576818,0.0249399961731884,0.0234064520333826,0.0221644941557703,0.0209784003209306,0.0247851052508518
