"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",28.5578961617285,21.1438269658951,35.6973702021606,21.6930172766976,11.5329965268519,21.6930172766976,17.5740899456791,20.5946366550927,13.4551626146605,21.6930172766976,55.7428165464508,15.1027335470679,8.5124498174383,15.1027335470679,15.3773287024692,34.8735847359569,21.4184221212964,4.11892733101853,14.004352925463,17.8486851010803,0.0247877674991926,0.0241380213395604,0.0231031094328288,0.0258120333259614,0.0238222865309083,0.0247375085822116,0.0243770777435522,0.0234422000669225,0.024297865632778,0.023866652507306,0.0238572645495476,0.0257825338270344,0.0237208517722834,0.0236930747631049,0.0243217863910926,0.023683969418645,0.0237548938518344,0.0248567955176906,0.024069254306435,0.0251038662504788,0.0231495392216938,0.0245880421768792,0.0245315021177314,0.0224052634626295,0.0252003664410071,0.023881236060098,0.0233280850620611,0.0252814777795444,0.0234691947543043,0.0243413242134471
"Q9VUN0",28.5578961617285,21.1438269658951,35.6973702021606,21.6930172766976,11.5329965268519,21.6930172766976,17.5740899456791,20.5946366550927,13.4551626146605,21.6930172766976,55.7428165464508,15.1027335470679,8.5124498174383,15.1027335470679,15.3773287024692,34.8735847359569,21.4184221212964,4.11892733101853,14.004352925463,17.8486851010803,0.0247877674991926,0.0241380213395604,0.0231031094328288,0.0258120333259614,0.0238222865309083,0.0247375085822116,0.0243770777435522,0.0234422000669225,0.024297865632778,0.023866652507306,0.0238572645495476,0.0257825338270344,0.0237208517722834,0.0236930747631049,0.0243217863910926,0.023683969418645,0.0237548938518344,0.0248567955176906,0.024069254306435,0.0251038662504788,0.0231495392216938,0.0245880421768792,0.0245315021177314,0.0224052634626295,0.0252003664410071,0.023881236060098,0.0233280850620611,0.0252814777795444,0.0234691947543043,0.0243413242134471
"Q7KIN0",27.8354914260083,21.1442675255255,23.8207570857187,15.7912884051393,8.02946868057932,18.7354269213517,17.1295331852359,19.0030758773711,11.241256152811,14.1853946690235,52.7268443358042,8.02946868057932,4.55003225232828,11.7765540648497,16.5942352731973,24.6237039537766,14.9883415370814,3.21178747223173,10.1706603287338,17.9324800532938,0.025764244537262,0.0248350688151461,0.0225364372525978,0.0250380044773146,0.023237216382727,0.0246065690009554,0.0242327887566302,0.0224945801462796,0.0253943062375775,0.024611019614976,0.0241622223000529,0.0253025876766271,0.0236983532427439,0.0241767569251227,0.0244065934043046,0.0242273927804847,0.0244569942774003,0.0250103470721482,0.0236046515774708,0.0248075504443818,0.0237609754700218,0.0246964423823693,0.0252446770194979,0.0233848172385522,0.0251983279809879,0.0245104854606399,0.0240929584517948,0.0253930937286288,0.0242725990094773,0.025192982316516
"Q9V477",15.9050770165914,18.7732056589276,20.5983784313233,15.9050770165914,7.82216902455316,16.6872939190467,15.1228601141361,10.4295586994042,8.08290799203827,17.7302497889872,46.1507972448637,11.7332535368297,5.47551831718721,13.8191652767106,10.1688197319191,25.5524188135403,13.2976873417404,3.65034554479148,7.82216902455316,14.6013821791659,0.0266066980318374,0.0246509769361849,0.0240223852206797,0.0268292607196845,0.0240797734811802,0.0252796952013359,0.0240772602132825,0.0235533939790304,0.0255321374330241,0.0240326301362831,0.0245643727038718,0.0260507392646626,0.024398874297884,0.0234527947049703,0.0258955520083879,0.0233580198268863,0.0234225758895489,0.0250028901938447,0.0240702751342889,0.0258987109361027,0.0234911475924387,0.0254266148215041,0.0252007537845167,0.0223281467013978,0.0258131810119698,0.0246264770566954,0.0237782545844914,0.0254701888953439,0.0236024279663115,0.0247448237872546
"Q2EEY0",12.7103189929144,16.0824444400142,13.488501788399,11.1539534019453,5.18788530323039,7.00364515936102,11.1539534019453,12.4509247277529,7.26303942452254,4.66909677290735,45.9127849335889,5.70667383355342,3.11273118193823,12.1915304625914,11.1539534019453,21.5297240084061,8.81940501549166,4.66909677290735,5.96606809871494,11.6727419322684,0.0254571283071974,0.0244949059285149,0.0244088753275659,0.0264755783613145,0.0244403245605029,0.0244408002359243,0.0232188308438286,0.0239619564456799,0.0248318340957349,0.0245646447194835,0.0251283870561742,0.0244319041013157,0.0254906160740309,0.0246050975324263,0.0245277787132929,0.0244755380137715,0.0252872712246845,0.0243711818337309,0.0244212678990588,0.0249507230300939,0.0247888974500204,0.0238377962047642,0.02505810239272,0.0248309101351209,0.0252473032017339,0.0243795930333908,0.0237945430462989,0.0241197233025177,0.0251445415806707,0.0254196801869167
"C0LGQ5",6.57716925418495,6.87613149301154,23.3190546284739,8.37094268714448,2.6906601494393,12.8553762695433,11.659527314237,20.0304700013814,3.28858462709247,11.659527314237,48.1329204510808,7.7730182094913,3.28858462709247,6.57716925418495,11.659527314237,24.5149035837803,11.0616028365838,1.79377343295953,2.98962238826589,7.17509373183812,0.0264882732548515,0.0243574798636746,0.0215732784501534,0.0245439087767745,0.0222722754231643,0.0234914628732984,0.0239481710896313,0.0226243780469214,0.0230902158901957,0.0245720538334812,0.023606374014532,0.0244194484503803,0.0240561514159755,0.0243634732753977,0.0232275740810504,0.0225365770341388,0.0240475975243368,0.023593569686561,0.0233924913259738,0.0237068282414457,0.0220966339626566,0.0232651842545397,0.0253532140274974,0.0151672144304774,0.0246482602013375,0.0240413717170018,0.02158448635164,0.023950746817776,0.0227644128713026,0.0242546539872442
"Q9NR96",14.6228844638489,14.8840074007034,13.3172697795767,11.2282862847411,6.26695048450668,8.09481104248779,9.13930278990557,13.0561468427222,9.66154866361446,4.43908992652556,45.6965139495279,6.78919635821557,3.65572111596223,12.0116550953045,11.75053215845,20.1064661377923,7.5725651687789,4.96133580023445,4.96133580023445,11.75053215845,0.0256655615642175,0.0238854955463939,0.0233460988755646,0.0270464215540065,0.0247812075155699,0.0250610447633057,0.0235478078781783,0.0233554292652326,0.0247345797668528,0.0242880819899667,0.0240633000721349,0.0253659447867107,0.0252954249284586,0.02500955783938,0.0247586939143019,0.0242930122067668,0.0249255425141753,0.0242826467964594,0.024224940348275,0.0250839803888639,0.0245725646127783,0.0234559604891338,0.0254065968806594,0.0242592772888157,0.0253734028926011,0.0241183375822465,0.024225578122388,0.02476768544149,0.02479759400337,0.0248852933172574
"Q9FIZ3",6.94179359659776,8.09875919603072,22.5608291889427,7.231034996456,2.60317259872416,12.7266215937626,9.54496619532192,18.8006909907856,2.60317259872416,15.619035592345,44.543175578169,8.96648339560544,2.31393119886592,8.6772419957472,10.1234489950384,26.3209673870998,11.5696559943296,1.15696559943296,3.47089679829888,6.65255219673952,0.0263297560078075,0.0242720909618166,0.0214622485477836,0.0238479383890187,0.0231062898584466,0.0233601742235627,0.0238080273870202,0.0222186225952531,0.0237375229503569,0.0246444713182665,0.0233258961219249,0.0251925309628169,0.0235018260544527,0.0246629180003565,0.0234376816298525,0.0226622497535233,0.025702995904731,0.0232108421711103,0.0238013321472705,0.0244978877788546,0.0224441360527427,0.0239169824461809,0.0259134115461247,0.0163083704024377,0.0258057080247286,0.0248980429509514,0.0225071428992049,0.0245696377876077,0.0232279061491998,0.024383959118356
"Q5I2M3",12.9481549155401,16.3146751935806,13.7250442104725,11.3943763256753,5.69718816283766,8.28681914594569,7.50992985101328,11.6533394239861,9.5816346374997,4.40237267128365,45.8364684010121,6.21511435945926,2.84859408141883,11.3943763256753,10.3585239324321,20.4580847665534,9.5816346374997,4.40237267128365,5.69718816283766,12.1712656206077,0.0257774433842545,0.0246163959288361,0.0241991895361776,0.0263360975470501,0.0246060792549898,0.0245429271984309,0.023081296128837,0.023173981809173,0.0244347265526107,0.0248297043669588,0.0250468061934052,0.0246662686789891,0.0248813383560303,0.0254221118580455,0.0245883583048738,0.0251343104117406,0.0253272438812042,0.0247356102806592,0.023314914750357,0.0259977041504708,0.0245765336113593,0.023520418946114,0.0262198867475809,0.0242266308423473,0.0253990079006241,0.0237880534077988,0.0240688883078936,0.0243277425346869,0.0251993379160317,0.0249978929016666
"Q7F8Q9",9.36681003721307,6.94956873728711,20.5465510493706,9.97112036219455,3.92801711237967,10.2732755246853,6.94956873728711,16.6185339369909,5.13663776234265,16.0142236120094,43.5103433986671,6.34525841230562,3.02155162490744,8.15818938725009,12.6905168246112,27.193964624167,11.784051337139,1.81293097494446,3.02155162490744,9.06465487472232,0.0250978959005308,0.0243668117516042,0.0222445746013804,0.0242825290417151,0.0225249569575317,0.0241809702008218,0.0236166516186027,0.023116599025729,0.0230176178723825,0.0231164386641804,0.0230565909513923,0.0247128884980751,0.0227915170454296,0.0242122598659863,0.0217029792670296,0.0228780566620687,0.0237047354626093,0.0235951729151261,0.0227539632815639,0.0227415327430759,0.0219617870266119,0.023756856742772,0.0246448322130889,0.0175483251870371,0.0244514710191875,0.0248452483697636,0.022140075697212,0.0240781550620274,0.0223108311546294,0.0243925127100906
