"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0852017937219731,0.0582959641255605,0.00896860986547085,0.0269058295964126,0.00448430493273543,0.0672645739910314,0.0403587443946188,0.0941704035874439,0.0358744394618834,0.0448430493273543,0.125560538116592,0.00448430493273543,0.0179372197309417,0.0538116591928251,0.0358744394618834,0.0538116591928251,0.0807174887892377,0.0493273542600897,0.0403587443946188,0.0717488789237668
"Q9R0C9",0.0852017937219731,0.0582959641255605,0.00896860986547085,0.0269058295964126,0.00448430493273543,0.0672645739910314,0.0403587443946188,0.0941704035874439,0.0358744394618834,0.0448430493273543,0.125560538116592,0.00448430493273543,0.0179372197309417,0.0538116591928251,0.0358744394618834,0.0538116591928251,0.0807174887892377,0.0493273542600897,0.0403587443946188,0.0717488789237668
"Q5PXE2",0.0900900900900901,0.0585585585585586,0.00900900900900901,0.027027027027027,0.0045045045045045,0.0675675675675676,0.045045045045045,0.0945945945945946,0.036036036036036,0.045045045045045,0.126126126126126,0.0045045045045045,0.018018018018018,0.0540540540540541,0.027027027027027,0.0540540540540541,0.0810810810810811,0.0495495495495495,0.0405405405405405,0.0675675675675676
"Q60492",0.0896860986547085,0.0538116591928251,0.0134529147982063,0.0269058295964126,0.00448430493273543,0.0672645739910314,0.0493273542600897,0.0852017937219731,0.031390134529148,0.031390134529148,0.130044843049327,0.00896860986547085,0.0179372197309417,0.0582959641255605,0.0358744394618834,0.0448430493273543,0.0762331838565022,0.0493273542600897,0.0358744394618834,0.0896860986547085
"O55242",0.0945945945945946,0.0540540540540541,0.0135135135135135,0.027027027027027,0.0045045045045045,0.0675675675675676,0.036036036036036,0.0945945945945946,0.036036036036036,0.0540540540540541,0.126126126126126,0.00900900900900901,0.018018018018018,0.0585585585585586,0.0315315315315315,0.0495495495495495,0.0810810810810811,0.0495495495495495,0.0405405405405405,0.0540540540540541
"Q99720",0.0986547085201794,0.062780269058296,0.00896860986547085,0.0269058295964126,0.00448430493273543,0.0672645739910314,0.0448430493273543,0.0941704035874439,0.031390134529148,0.0269058295964126,0.130044843049327,0.00448430493273543,0.0179372197309417,0.0538116591928251,0.031390134529148,0.0538116591928251,0.0762331838565022,0.0493273542600897,0.0358744394618834,0.0807174887892377
"Q5PXE3",0.103603603603604,0.0585585585585586,0.00900900900900901,0.027027027027027,0.0045045045045045,0.0675675675675676,0.045045045045045,0.0945945945945946,0.036036036036036,0.0315315315315315,0.130630630630631,0.0045045045045045,0.018018018018018,0.0585585585585586,0.027027027027027,0.0495495495495495,0.0765765765765766,0.0495495495495495,0.036036036036036,0.0720720720720721
"Q58DH7",0.103603603603604,0.0540540540540541,0.00900900900900901,0.0315315315315315,0.00900900900900901,0.0630630630630631,0.0405405405405405,0.0990990990990991,0.036036036036036,0.027027027027027,0.130630630630631,0.0045045045045045,0.018018018018018,0.0540540540540541,0.027027027027027,0.0540540540540541,0.0720720720720721,0.0495495495495495,0.036036036036036,0.0810810810810811
"Q645J3",0.0776699029126214,0.0339805825242718,0.00970873786407767,0.0485436893203883,0.0145631067961165,0.0485436893203883,0.029126213592233,0.0922330097087379,0.0388349514563107,0.0679611650485437,0.106796116504854,0.0388349514563107,0.0242718446601942,0.0631067961165049,0.0194174757281553,0.0631067961165049,0.0922330097087379,0.0339805825242718,0.0388349514563107,0.058252427184466
"Q6DCU6",0.0731707317073171,0.0341463414634146,0.00975609756097561,0.0390243902439024,0.0048780487804878,0.0682926829268293,0.0292682926829268,0.0878048780487805,0.0341463414634146,0.0536585365853659,0.121951219512195,0.0439024390243902,0.0146341463414634,0.0536585365853659,0.0146341463414634,0.0878048780487805,0.0780487804878049,0.0341463414634146,0.0390243902439024,0.0780487804878049
"Q7ZWG9",0.072463768115942,0.0386473429951691,0.00966183574879227,0.0386473429951691,0.00483091787439614,0.0579710144927536,0.0434782608695652,0.0917874396135266,0.0289855072463768,0.0386473429951691,0.0869565217391304,0.0386473429951691,0.0289855072463768,0.0628019323671498,0.0193236714975845,0.072463768115942,0.0917874396135266,0.0338164251207729,0.0483091787439614,0.0917874396135266
"Q66IM1",0.0805687203791469,0.0473933649289099,0.00947867298578199,0.037914691943128,0.004739336492891,0.0663507109004739,0.023696682464455,0.0995260663507109,0.028436018957346,0.0473933649289099,0.118483412322275,0.042654028436019,0.014218009478673,0.0521327014218009,0.018957345971564,0.0805687203791469,0.0805687203791469,0.033175355450237,0.037914691943128,0.0758293838862559
"Q5ZL84",0.0974358974358974,0.0461538461538462,0.00512820512820513,0.041025641025641,0.0102564102564103,0.0666666666666667,0.0358974358974359,0.0974358974358974,0.041025641025641,0.0564102564102564,0.107692307692308,0.0307692307692308,0.0153846153846154,0.0615384615384615,0.0256410256410256,0.0564102564102564,0.0820512820512821,0.0358974358974359,0.0461538461538462,0.041025641025641
"Q92254",0.08,0.045,0.04,0.05,0.005,0.065,0.01,0.08,0.04,0.07,0.08,0.025,0.025,0.06,0.05,0.045,0.08,0.02,0.065,0.065
"P33281",0.0761421319796954,0.0456852791878173,0.0304568527918782,0.0304568527918782,0.0050761421319797,0.0761421319796954,0.0253807106598985,0.106598984771574,0.050761421319797,0.0558375634517767,0.0862944162436548,0.0203045685279188,0.0253807106598985,0.0558375634517767,0.0406091370558376,0.0355329949238579,0.0812182741116751,0.0203045685279188,0.050761421319797,0.0812182741116751
"P87113",0.085427135678392,0.0301507537688442,0.0251256281407035,0.0603015075376884,0.0050251256281407,0.0402010050251256,0.0402010050251256,0.085427135678392,0.0351758793969849,0.0552763819095477,0.110552763819095,0.0301507537688442,0.0351758793969849,0.0804020100502513,0.0402010050251256,0.0603015075376884,0.0603015075376884,0.0100502512562814,0.0603015075376884,0.050251256281407
"Q55BU8",0.0414201183431953,0.0236686390532544,0.0236686390532544,0.0355029585798817,0.0236686390532544,0.0473372781065089,0.0355029585798817,0.0946745562130177,0.029585798816568,0.0710059171597633,0.112426035502959,0.0650887573964497,0.0355029585798817,0.0828402366863905,0.0532544378698225,0.0532544378698225,0.0473372781065089,0.0118343195266272,0.0650887573964497,0.0473372781065089
