"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0686922060766182,0.0508586525759577,0.0858652575957728,0.0521796565389696,0.0277410832232497,0.0521796565389696,0.0422721268163804,0.0495376486129458,0.0323645970937913,0.0521796565389696,0.134081902245707,0.0363276089828269,0.0204755614266843,0.0363276089828269,0.0369881109643329,0.083883751651255,0.0515191545574637,0.00990752972258917,0.0336856010568032,0.0429326287978864
"Q9VUN0",0.0686922060766182,0.0508586525759577,0.0858652575957728,0.0521796565389696,0.0277410832232497,0.0521796565389696,0.0422721268163804,0.0495376486129458,0.0323645970937913,0.0521796565389696,0.134081902245707,0.0363276089828269,0.0204755614266843,0.0363276089828269,0.0369881109643329,0.083883751651255,0.0515191545574637,0.00990752972258917,0.0336856010568032,0.0429326287978864
"Q7KIN0",0.0815047021943574,0.0619122257053292,0.0697492163009404,0.0462382445141066,0.0235109717868339,0.054858934169279,0.0501567398119122,0.0556426332288401,0.0329153605015674,0.0415360501567398,0.154388714733542,0.0235109717868339,0.0133228840125392,0.0344827586206897,0.04858934169279,0.0721003134796238,0.0438871473354232,0.00940438871473354,0.0297805642633229,0.0525078369905956
"Q9V477",0.0531358885017422,0.0627177700348432,0.068815331010453,0.0531358885017422,0.0261324041811847,0.0557491289198606,0.0505226480836237,0.0348432055749129,0.0270034843205575,0.0592334494773519,0.15418118466899,0.039198606271777,0.0182926829268293,0.0461672473867596,0.0339721254355401,0.0853658536585366,0.0444250871080139,0.0121951219512195,0.0261324041811847,0.0487804878048781
"Q2EEY0",0.0548098434004474,0.0693512304250559,0.058165548098434,0.0480984340044743,0.0223713646532438,0.0302013422818792,0.0480984340044743,0.0536912751677852,0.0313199105145414,0.0201342281879195,0.197986577181208,0.0246085011185682,0.0134228187919463,0.052572706935123,0.0480984340044743,0.092841163310962,0.0380313199105145,0.0201342281879195,0.0257270693512304,0.0503355704697987
"C0LGQ5",0.0283140283140283,0.0296010296010296,0.1003861003861,0.036036036036036,0.0115830115830116,0.0553410553410553,0.0501930501930502,0.0862290862290862,0.0141570141570142,0.0501930501930502,0.207207207207207,0.0334620334620335,0.0141570141570142,0.0283140283140283,0.0501930501930502,0.105534105534106,0.0476190476190476,0.00772200772200772,0.0128700128700129,0.0308880308880309
"Q9NR96",0.0625,0.0636160714285714,0.0569196428571429,0.0479910714285714,0.0267857142857143,0.0345982142857143,0.0390625,0.0558035714285714,0.0412946428571429,0.0189732142857143,0.1953125,0.0290178571428571,0.015625,0.0513392857142857,0.0502232142857143,0.0859375,0.0323660714285714,0.0212053571428571,0.0212053571428571,0.0502232142857143
"Q9FIZ3",0.0301129234629862,0.0351317440401506,0.0978670012547051,0.0313676286072773,0.0112923462986198,0.055207026348808,0.041405269761606,0.081555834378921,0.0112923462986198,0.067754077791719,0.193224592220828,0.0388958594730238,0.0100376411543287,0.0376411543287327,0.0439146800501882,0.114178168130489,0.0501882057716437,0.00501882057716437,0.0150564617314931,0.0288582183186951
"Q5I2M3",0.0561797752808989,0.0707865168539326,0.0595505617977528,0.049438202247191,0.0247191011235955,0.0359550561797753,0.0325842696629213,0.050561797752809,0.0415730337078652,0.0191011235955056,0.198876404494382,0.0269662921348315,0.0123595505617978,0.049438202247191,0.0449438202247191,0.0887640449438202,0.0415730337078652,0.0191011235955056,0.0247191011235955,0.0528089887640449
"Q7F8Q9",0.0403120936280884,0.0299089726918075,0.0884265279583875,0.0429128738621586,0.0169050715214564,0.0442132639791938,0.0299089726918075,0.0715214564369311,0.0221066319895969,0.0689206762028609,0.187256176853056,0.0273081924577373,0.0130039011703511,0.035110533159948,0.0546163849154746,0.11703511053316,0.0507152145643693,0.00780234070221066,0.0130039011703511,0.0390117035110533
