"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0696984676223431,0.0558576371725161,0.0405338606030648,0.046465645081562,0.013840830449827,0.069204152249135,0.0459713297083539,0.0622837370242214,0.023232822540781,0.0528917449332674,0.0963914977755808,0.0538803756796836,0.0242214532871972,0.0365793376173999,0.0528917449332674,0.0899653979238754,0.0652496292634701,0.0108749382105783,0.0306475531389026,0.0593178447849728
"A8DYE2",0.0696984676223431,0.0558576371725161,0.0405338606030648,0.046465645081562,0.013840830449827,0.069204152249135,0.0459713297083539,0.0622837370242214,0.023232822540781,0.0528917449332674,0.0963914977755808,0.0538803756796836,0.0242214532871972,0.0365793376173999,0.0528917449332674,0.0899653979238754,0.0652496292634701,0.0108749382105783,0.0306475531389026,0.0593178447849728
"Q9HCF6",0.0550986842105263,0.0550986842105263,0.0394736842105263,0.046875,0.0148026315789474,0.0723684210526316,0.0444078947368421,0.0567434210526316,0.0279605263157895,0.0740131578947368,0.111019736842105,0.0633223684210526,0.0435855263157895,0.0411184210526316,0.0444078947368421,0.0550986842105263,0.0444078947368421,0.0164473684210526,0.0328947368421053,0.0608552631578947
"Q96QT4",0.0598503740648379,0.0448877805486284,0.0390689941812136,0.0399002493765586,0.0157938487115544,0.0623441396508728,0.0482128013300083,0.0515378221113882,0.029925187032419,0.0739817123857024,0.107231920199501,0.0673316708229426,0.0315876974231089,0.0457190357439734,0.0390689941812136,0.0606816292601829,0.0507065669160432,0.0166251039068994,0.0390689941812136,0.0764754779717373
"Q923J1",0.0590191188694929,0.0432252701579385,0.0374064837905237,0.0407315045719036,0.0149625935162095,0.0623441396508728,0.0448877805486284,0.0507065669160432,0.0307564422277639,0.0731504571903574,0.105569409808811,0.0698254364089776,0.0324189526184539,0.0457190357439734,0.0399002493765586,0.0656691604322527,0.0515378221113882,0.0166251039068994,0.0390689941812136,0.0764754779717373
"Q925B3",0.0599500416319734,0.0432972522897585,0.0374687760199834,0.0399666944213156,0.0149875104079933,0.0632805995004163,0.0457951706910908,0.0507910074937552,0.0308076602830974,0.0749375520399667,0.104912572855953,0.0682764363030808,0.0316402997502082,0.0457951706910908,0.0399666944213156,0.0657785179017485,0.0507910074937552,0.0166527893422148,0.0391340549542048,0.0757701915070774
"Q9BX84",0.0530367835757057,0.0410607356715141,0.0359281437125748,0.0479041916167665,0.0162532078699743,0.067579127459367,0.0436270316509837,0.0479041916167665,0.0376390076988879,0.0633019674935843,0.110350727117194,0.0667236954662104,0.0333618477331052,0.0444824636441403,0.0367835757057314,0.0727117194183062,0.0521813515825492,0.0230966638152267,0.039349871685201,0.0667236954662104
"Q8CIR4",0.0490111779879622,0.0421324161650903,0.0404127257093723,0.0447119518486672,0.0189165950128977,0.0687876182287188,0.0395528804815133,0.0507308684436801,0.0326741186586414,0.0619088564058469,0.114359415305245,0.0696474634565778,0.0378331900257954,0.0472914875322442,0.0378331900257954,0.0705073086844368,0.0490111779879622,0.0249355116079106,0.0369733447979364,0.0627687016337059
"Q2WEA5",0.0523605150214592,0.0489270386266094,0.040343347639485,0.0472103004291846,0.0188841201716738,0.0678111587982833,0.0446351931330472,0.0592274678111588,0.0197424892703863,0.0626609442060086,0.109871244635193,0.0729613733905579,0.0377682403433476,0.0377682403433476,0.0446351931330472,0.0729613733905579,0.0360515021459227,0.0188841201716738,0.0343347639484979,0.0729613733905579
"Q2TV84",0.0523605150214592,0.0489270386266094,0.0394849785407725,0.0463519313304721,0.0188841201716738,0.0686695278969957,0.0446351931330472,0.0609442060085837,0.0180257510729614,0.0618025751072961,0.110729613733906,0.0755364806866953,0.0377682403433476,0.0377682403433476,0.0446351931330472,0.0721030042918455,0.0377682403433476,0.0188841201716738,0.0351931330472103,0.0695278969957082
"Q7Z4N2",0.0537918871252205,0.0502645502645503,0.044973544973545,0.0467372134038801,0.0167548500881834,0.0731922398589065,0.0458553791887125,0.0582010582010582,0.0202821869488536,0.0652557319223986,0.113756613756614,0.0714285714285714,0.037037037037037,0.0388007054673721,0.0414462081128748,0.064373897707231,0.0388007054673721,0.0185185185185185,0.0352733686067019,0.0652557319223986
"E9PTA2",0.0591304347826087,0.0530434782608696,0.0252173913043478,0.0460869565217391,0.0226086956521739,0.0669565217391304,0.0521739130434783,0.0591304347826087,0.0278260869565217,0.0695652173913043,0.123478260869565,0.0591304347826087,0.0226086956521739,0.0495652173913043,0.0365217391304348,0.0591304347826087,0.0539130434782609,0.0226086956521739,0.0243478260869565,0.0669565217391304
"O94759",0.0670731707317073,0.0513937282229965,0.0287456445993031,0.0444250871080139,0.0191637630662021,0.0670731707317073,0.054006968641115,0.0566202090592334,0.0287456445993031,0.0548780487804878,0.122822299651568,0.0592334494773519,0.0191637630662021,0.0513937282229965,0.0435540069686411,0.0566202090592334,0.054006968641115,0.0235191637630662,0.0226480836236934,0.0749128919860627
"Q91YD4",0.0594405594405594,0.0533216783216783,0.0270979020979021,0.0437062937062937,0.0227272727272727,0.0664335664335664,0.0524475524475524,0.0576923076923077,0.027972027972028,0.0673076923076923,0.120629370629371,0.0585664335664336,0.0227272727272727,0.0506993006993007,0.0384615384615385,0.0568181818181818,0.0559440559440559,0.0227272727272727,0.0236013986013986,0.0716783216783217
"Q7TN37",0.078252957233849,0.086442220200182,0.0254777070063694,0.0573248407643312,0.0227479526842584,0.0545950864422202,0.0400363967242948,0.0682438580527752,0.0200181983621474,0.0354868061874431,0.142857142857143,0.0327570518653321,0.0172884440400364,0.0482256596906278,0.0391264786169245,0.0673339399454049,0.0473157415832575,0.0245677888989991,0.0227479526842584,0.0691537761601456
"Q9ESQ5",0.0820419325432999,0.0820419325432999,0.0282588878760255,0.0546946216955333,0.0227894257064722,0.0556061987237922,0.04102096627165,0.0701914311759344,0.0218778486782133,0.0337283500455789,0.145852324521422,0.0309936189608022,0.0191431175934366,0.0492251595259799,0.0382862351868733,0.0628988149498633,0.0474020054694622,0.0255241567912489,0.0237010027347311,0.064721969006381
"Q8TD43",0.0827272727272727,0.0836363636363636,0.0181818181818182,0.0527272727272727,0.0227272727272727,0.0527272727272727,0.0390909090909091,0.0818181818181818,0.0190909090909091,0.0318181818181818,0.142727272727273,0.0327272727272727,0.0218181818181818,0.05,0.0454545454545455,0.0654545454545455,0.0454545454545455,0.0227272727272727,0.0218181818181818,0.0672727272727273
"Q9JJH7",0.0766355140186916,0.0607476635514019,0.0224299065420561,0.0514018691588785,0.0205607476635514,0.0663551401869159,0.0411214953271028,0.0570093457943925,0.0299065420560748,0.0439252336448598,0.133644859813084,0.0467289719626168,0.0224299065420561,0.0551401869158879,0.0448598130841121,0.0626168224299065,0.0476635514018692,0.0233644859813084,0.0214953271028037,0.0719626168224299
"Q9NZQ8",0.077788191190253,0.0721649484536082,0.0253045923149016,0.0515463917525773,0.0159325210871603,0.0684161199625117,0.0365510777881912,0.0646672914714152,0.0271790065604499,0.0328022492970947,0.134020618556701,0.0506091846298032,0.0168697282099344,0.0571696344892221,0.0440487347703843,0.0534208059981256,0.042174320524836,0.0224929709465792,0.0206185567010309,0.0862230552952202
"Q7Z2W7",0.0584851390220518,0.049856184084372,0.0546500479386385,0.0479386385426654,0.024928092042186,0.0642377756471716,0.0335570469798658,0.0469798657718121,0.0191754554170662,0.0651965484180249,0.11313518696069,0.0680728667305849,0.0182166826462128,0.0613614573346117,0.024928092042186,0.062320230105465,0.0527325023969319,0.0230105465004794,0.037392138063279,0.0738255033557047
"Q8R455",0.0567853705486044,0.0490856592877767,0.053897978825794,0.0461982675649663,0.0230991337824832,0.0664100096246391,0.0346487006737247,0.0452358036573628,0.0192492781520693,0.0635226179018287,0.115495668912416,0.0664100096246391,0.0173243503368624,0.0606352261790183,0.0240615976900866,0.068334937439846,0.0548604427333975,0.0240615976900866,0.0365736284889317,0.0741097208854668
