"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0394477317554241,0.0118343195266272,0.14792899408284,0.0710059171597633,0.00394477317554241,0.0493096646942801,0.0138067061143984,0.0670611439842209,0.0315581854043393,0.0986193293885602,0.0946745562130177,0.0453648915187377,0.00986193293885602,0.0611439842209073,0.0256410256410256,0.134122287968442,0.0473372781065089,0,0.0118343195266272,0.0355029585798817
"Q55FL1",0.0394477317554241,0.0118343195266272,0.14792899408284,0.0710059171597633,0.00394477317554241,0.0493096646942801,0.0138067061143984,0.0670611439842209,0.0315581854043393,0.0986193293885602,0.0946745562130177,0.0453648915187377,0.00986193293885602,0.0611439842209073,0.0256410256410256,0.134122287968442,0.0473372781065089,0,0.0118343195266272,0.0355029585798817
"Q9ULF5",0.0782608695652174,0.00434782608695652,0.0521739130434783,0.0652173913043478,0.00869565217391304,0.0695652173913043,0.0260869565217391,0.104347826086957,0.091304347826087,0.0782608695652174,0.1,0.0260869565217391,0.0434782608695652,0.0347826086956522,0.0173913043478261,0.0652173913043478,0.0478260869565217,0.0173913043478261,0.0173913043478261,0.0521739130434783
"Q9BE64",0.032258064516129,0.0129032258064516,0.174193548387097,0.219354838709677,0.00645161290322581,0.135483870967742,0.0129032258064516,0.0580645161290323,0.0258064516129032,0.0387096774193548,0,0.032258064516129,0.00645161290322581,0.0387096774193548,0.0258064516129032,0.0709677419354839,0.0645161290322581,0.00645161290322581,0.0258064516129032,0.0129032258064516
"Q6P5F6",0.091304347826087,0.00869565217391304,0.0347826086956522,0.0739130434782609,0.00869565217391304,0.0608695652173913,0.0260869565217391,0.0956521739130435,0.0956521739130435,0.0695652173913043,0.1,0.0217391304347826,0.0478260869565217,0.0347826086956522,0.0217391304347826,0.0739130434782609,0.0478260869565217,0.0173913043478261,0.0173913043478261,0.0521739130434783
"Q504Y0",0.085427135678392,0.0150753768844221,0.0301507537688442,0.0402010050251256,0.0150753768844221,0.0351758793969849,0.0402010050251256,0.0804020100502513,0.0402010050251256,0.0653266331658292,0.135678391959799,0.0301507537688442,0.0603015075376884,0.0452261306532663,0.0301507537688442,0.120603015075377,0.0552763819095477,0.0100502512562814,0.0100502512562814,0.0552763819095477
"Q3AU90",0.115606936416185,0.0173410404624277,0.0346820809248555,0.0115606936416185,0.00578034682080925,0.069364161849711,0.0173410404624277,0.092485549132948,0.0289017341040462,0.0867052023121387,0.127167630057803,0.0404624277456647,0.0346820809248555,0.0635838150289017,0.0520231213872832,0.0809248554913295,0.0173410404624277,0,0.0289017341040462,0.0751445086705202
"A4SE48",0.138728323699422,0.0289017341040462,0.0346820809248555,0.023121387283237,0,0.0635838150289017,0.0115606936416185,0.0751445086705202,0.0289017341040462,0.0867052023121387,0.121387283236994,0.023121387283237,0.0520231213872832,0.0520231213872832,0.0578034682080925,0.069364161849711,0.0346820809248555,0,0.0289017341040462,0.069364161849711
"B3ECE6",0.144508670520231,0.0173410404624277,0.0346820809248555,0.0173410404624277,0.00578034682080925,0.0635838150289017,0.00578034682080925,0.0867052023121387,0.0346820809248555,0.0867052023121387,0.121387283236994,0.0173410404624277,0.0578034682080925,0.0520231213872832,0.0578034682080925,0.069364161849711,0.0289017341040462,0,0.0289017341040462,0.069364161849711
"Q5FWH7",0.0606060606060606,0.0202020202020202,0.0404040404040404,0.0353535353535354,0.00505050505050505,0.0303030303030303,0.0303030303030303,0.0909090909090909,0.0404040404040404,0.0656565656565657,0.166666666666667,0.0202020202020202,0.0353535353535354,0.0404040404040404,0.0353535353535354,0.101010101010101,0.0858585858585859,0.0151515151515152,0.0101010101010101,0.0707070707070707
"P34240",0.0410958904109589,0.0228310502283105,0.0547945205479452,0.0365296803652968,0.0136986301369863,0.0547945205479452,0.0273972602739726,0.091324200913242,0.0593607305936073,0.0502283105022831,0.127853881278539,0.0319634703196347,0.0091324200913242,0.0730593607305936,0.0502283105022831,0.127853881278539,0.0410958904109589,0.0045662100456621,0.0365296803652968,0.045662100456621
"B3QP89",0.121387283236994,0.0173410404624277,0.0289017341040462,0.0173410404624277,0,0.0751445086705202,0,0.092485549132948,0.0289017341040462,0.0867052023121387,0.144508670520231,0.046242774566474,0.0346820809248555,0.0635838150289017,0.046242774566474,0.0751445086705202,0.0404624277456647,0,0.023121387283237,0.0578034682080925
"B2UL32",0.13855421686747,0.0301204819277108,0.0180722891566265,0.0240963855421687,0,0.0602409638554217,0.00602409638554217,0.102409638554217,0.0481927710843374,0.102409638554217,0.108433734939759,0.0180722891566265,0.0301204819277108,0.0662650602409639,0.0481927710843374,0.0783132530120482,0.036144578313253,0.00602409638554217,0.0180722891566265,0.0602409638554217
"Q3B4G1",0.125748502994012,0.029940119760479,0.0239520958083832,0.0239520958083832,0,0.0658682634730539,0.0119760479041916,0.0778443113772455,0.0359281437125748,0.0838323353293413,0.11377245508982,0.0179640718562874,0.0598802395209581,0.0538922155688623,0.0538922155688623,0.0838323353293413,0.0479041916167665,0,0.0239520958083832,0.0658682634730539
"C3PFG5",0.160714285714286,0.0357142857142857,0.0178571428571429,0.0119047619047619,0.00595238095238095,0.0892857142857143,0,0.0773809523809524,0.0297619047619048,0.0952380952380952,0.107142857142857,0.0238095238095238,0.0357142857142857,0.0654761904761905,0.0714285714285714,0.0416666666666667,0.0595238095238095,0.0119047619047619,0.00595238095238095,0.0535714285714286
"Q8ENQ1",0.125714285714286,0.0228571428571429,0.0228571428571429,0.0514285714285714,0,0.04,0.00571428571428571,0.0628571428571429,0.0342857142857143,0.102857142857143,0.12,0.0571428571428571,0.0628571428571429,0.0514285714285714,0.0628571428571429,0.0514285714285714,0.0285714285714286,0,0.0342857142857143,0.0628571428571429
"Q8NQK0",0.164634146341463,0.0365853658536585,0.024390243902439,0.0121951219512195,0.00609756097560976,0.0548780487804878,0,0.103658536585366,0.0304878048780488,0.0853658536585366,0.121951219512195,0.0182926829268293,0.0487804878048781,0.0487804878048781,0.0670731707317073,0.0487804878048781,0.0426829268292683,0.00609756097560976,0.00609756097560976,0.0731707317073171
"Q2YDD4",0.147619047619048,0.0476190476190476,0.0285714285714286,0.0333333333333333,0,0.0571428571428571,0.019047619047619,0.114285714285714,0.00476190476190476,0.0714285714285714,0.123809523809524,0.0238095238095238,0.0285714285714286,0.0428571428571429,0.0619047619047619,0.0761904761904762,0.0238095238095238,0.019047619047619,0.0142857142857143,0.0619047619047619
"Q8N1S5",0.134615384615385,0.0432692307692308,0.0240384615384615,0.0240384615384615,0,0.0576923076923077,0.0192307692307692,0.120192307692308,0.00480769230769231,0.0673076923076923,0.110576923076923,0.0336538461538462,0.0288461538461538,0.0432692307692308,0.0721153846153846,0.0769230769230769,0.0240384615384615,0.0192307692307692,0.0192307692307692,0.0769230769230769
"A0A0G2KQY6",0.100961538461538,0.0144230769230769,0.0528846153846154,0.0528846153846154,0.0192307692307692,0.0625,0.0384615384615385,0.149038461538462,0.00961538461538462,0.0625,0.110576923076923,0.00961538461538462,0.0432692307692308,0.0673076923076923,0.0192307692307692,0.0721153846153846,0.0480769230769231,0.00961538461538462,0.0192307692307692,0.0384615384615385
"Q8FTK0",0.158536585365854,0.0487804878048781,0.0182926829268293,0.0121951219512195,0,0.0548780487804878,0,0.115853658536585,0.0304878048780488,0.0914634146341463,0.0914634146341463,0.0121951219512195,0.0426829268292683,0.0426829268292683,0.0609756097560976,0.0609756097560976,0.0487804878048781,0.00609756097560976,0.0121951219512195,0.0914634146341463
"Q75N73",0.0776699029126214,0.00485436893203883,0.0436893203883495,0.0631067961165049,0.029126213592233,0.0485436893203883,0.0485436893203883,0.0922330097087379,0.0242718446601942,0.0679611650485437,0.121359223300971,0.029126213592233,0.0436893203883495,0.0679611650485437,0.0194174757281553,0.0922330097087379,0.0388349514563107,0.0145631067961165,0.0242718446601942,0.0485436893203883
