"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.05078125,0.05078125,0.0494791666666667,0.0455729166666667,0.01171875,0.0325520833333333,0.0455729166666667,0.0716145833333333,0.0221354166666667,0.0520833333333333,0.110677083333333,0.0416666666666667,0.0208333333333333,0.04296875,0.0989583333333333,0.10546875,0.0481770833333333,0.01171875,0.0286458333333333,0.05859375
"Q8RWZ1",0.05078125,0.05078125,0.0494791666666667,0.0455729166666667,0.01171875,0.0325520833333333,0.0455729166666667,0.0716145833333333,0.0221354166666667,0.0520833333333333,0.110677083333333,0.0416666666666667,0.0208333333333333,0.04296875,0.0989583333333333,0.10546875,0.0481770833333333,0.01171875,0.0286458333333333,0.05859375
"Q6R2K3",0.0550847457627119,0.0437853107344633,0.057909604519774,0.0564971751412429,0.00988700564971751,0.0494350282485876,0.0395480225988701,0.0692090395480226,0.019774011299435,0.0635593220338983,0.122881355932203,0.038135593220339,0.019774011299435,0.038135593220339,0.0903954802259887,0.103107344632768,0.038135593220339,0.00706214689265537,0.0169491525423729,0.0607344632768362
"Q942F3",0.0518207282913165,0.0392156862745098,0.0630252100840336,0.0546218487394958,0.0210084033613445,0.0504201680672269,0.0322128851540616,0.0728291316526611,0.0238095238095238,0.0672268907563025,0.141456582633053,0.0546218487394958,0.0224089635854342,0.0322128851540616,0.0504201680672269,0.109243697478992,0.0392156862745098,0.00980392156862745,0.0266106442577031,0.0378151260504202
"Q06BH3",0.0576923076923077,0.0425824175824176,0.0576923076923077,0.0494505494505494,0.0151098901098901,0.0563186813186813,0.0274725274725275,0.0728021978021978,0.0343406593406593,0.0576923076923077,0.127747252747253,0.0480769230769231,0.0206043956043956,0.0384615384615385,0.0714285714285714,0.115384615384615,0.032967032967033,0.00686813186813187,0.0151098901098901,0.0521978021978022
"O49545",0.0410396716826265,0.0355677154582763,0.0588235294117647,0.0437756497948016,0.0164158686730506,0.0560875512995896,0.0259917920656635,0.094391244870041,0.027359781121751,0.0601915184678523,0.143638850889193,0.0560875512995896,0.0164158686730506,0.0410396716826265,0.0506155950752394,0.0848153214774282,0.0451436388508892,0.00820793433652531,0.027359781121751,0.06703146374829
"Q9M2Z1",0.0441379310344828,0.0358620689655172,0.0606896551724138,0.0413793103448276,0.0179310344827586,0.0551724137931034,0.0289655172413793,0.0937931034482759,0.0289655172413793,0.0606896551724138,0.147586206896552,0.0496551724137931,0.0179310344827586,0.0372413793103448,0.0427586206896552,0.08,0.0593103448275862,0.00689655172413793,0.0262068965517241,0.0648275862068965
"O22476",0.0546984572230014,0.0420757363253857,0.0785413744740533,0.0518934081346424,0.0140252454417952,0.0504908835904628,0.0210378681626928,0.0855539971949509,0.0224403927068724,0.0575035063113604,0.137447405329593,0.0532959326788219,0.0336605890603086,0.0406732117812062,0.0476858345021038,0.0855539971949509,0.0462833099579243,0.0112201963534362,0.0266479663394109,0.0392706872370266
"Q9SIT1",0.046448087431694,0.0423497267759563,0.0655737704918033,0.0546448087431694,0.0163934426229508,0.046448087431694,0.0314207650273224,0.0819672131147541,0.0218579234972678,0.046448087431694,0.12568306010929,0.0519125683060109,0.0191256830601093,0.0300546448087432,0.0491803278688525,0.103825136612022,0.0628415300546448,0.0109289617486339,0.0177595628415301,0.0751366120218579
"Q9FII5",0.0466760961810467,0.0424328147100424,0.0735502121640736,0.0509193776520509,0.024045261669024,0.0565770862800566,0.0226308345120226,0.082036775106082,0.0198019801980198,0.0678925035360679,0.118811881188119,0.0495049504950495,0.0155586987270156,0.0438472418670438,0.0452616690240453,0.0919377652050919,0.0551626591230552,0.0141442715700141,0.0268741159830269,0.0523338048090523
"C0LGH2",0.0532212885154062,0.0560224089635854,0.0560224089635854,0.0490196078431373,0.0140056022408964,0.0490196078431373,0.030812324929972,0.0868347338935574,0.0182072829131653,0.0490196078431373,0.126050420168067,0.0490196078431373,0.0140056022408964,0.0420168067226891,0.046218487394958,0.0966386554621849,0.0602240896358543,0.0112044817927171,0.0322128851540616,0.0602240896358543
"Q9LYN8",0.0537931034482759,0.0344827586206897,0.0662068965517241,0.0468965517241379,0.0151724137931034,0.0675862068965517,0.0317241379310345,0.0868965517241379,0.0137931034482759,0.0579310344827586,0.161379310344828,0.0606896551724138,0.0206896551724138,0.0344827586206897,0.0427586206896552,0.0827586206896552,0.0413793103448276,0.0096551724137931,0.0179310344827586,0.0537931034482759
"Q8GUQ5",0.0552486187845304,0.0400552486187845,0.0718232044198895,0.0538674033149171,0.0179558011049724,0.0441988950276243,0.0248618784530387,0.0773480662983425,0.0207182320441989,0.0676795580110497,0.140883977900552,0.0607734806629834,0.0220994475138122,0.0400552486187845,0.0469613259668508,0.0897790055248619,0.0414364640883978,0.00966850828729282,0.0331491712707182,0.0414364640883978
"Q8L899",0.0552486187845304,0.0400552486187845,0.0732044198895028,0.0538674033149171,0.0179558011049724,0.0441988950276243,0.0248618784530387,0.0773480662983425,0.0207182320441989,0.0662983425414365,0.140883977900552,0.0607734806629834,0.0220994475138122,0.0400552486187845,0.0483425414364641,0.0897790055248619,0.0428176795580111,0.00966850828729282,0.031767955801105,0.0400552486187845
