"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0582362728785358,0.064891846921797,0.0615640599001664,0.043261231281198,0.0249584026622296,0.0582362728785358,0.0366056572379368,0.0382695507487521,0.0249584026622296,0.0815307820299501,0.116472545757072,0.0482529118136439,0.0249584026622296,0.0515806988352745,0.0366056572379368,0.0615640599001664,0.0482529118136439,0.0166389351081531,0.0449251247920133,0.0582362728785358
"Q5QNI1",0.0582362728785358,0.064891846921797,0.0615640599001664,0.043261231281198,0.0249584026622296,0.0582362728785358,0.0366056572379368,0.0382695507487521,0.0249584026622296,0.0815307820299501,0.116472545757072,0.0482529118136439,0.0249584026622296,0.0515806988352745,0.0366056572379368,0.0615640599001664,0.0482529118136439,0.0166389351081531,0.0449251247920133,0.0582362728785358
"Q39128",0.0644067796610169,0.0576271186440678,0.0525423728813559,0.0627118644067797,0.011864406779661,0.0423728813559322,0.0305084745762712,0.0457627118644068,0.023728813559322,0.0813559322033898,0.108474576271186,0.0457627118644068,0.0220338983050847,0.0728813559322034,0.0355932203389831,0.0745762711864407,0.0593220338983051,0.0203389830508475,0.0406779661016949,0.0474576271186441
"Q6K3T2",0.0546139359698682,0.0602636534839925,0.0527306967984934,0.0414312617702448,0.0169491525423729,0.0602636534839925,0.0338983050847458,0.0376647834274953,0.0225988700564972,0.0790960451977401,0.116760828625235,0.0433145009416196,0.0225988700564972,0.0677966101694915,0.0395480225988701,0.0734463276836158,0.0602636534839925,0.0169491525423729,0.0376647834274953,0.0621468926553672
"Q38849",0.0593692022263451,0.0593692022263451,0.0426716141001855,0.0500927643784787,0.012987012987013,0.0482374768089054,0.0315398886827458,0.0556586270871985,0.0241187384044527,0.0649350649350649,0.105751391465677,0.0445269016697588,0.0204081632653061,0.0760667903525046,0.0371057513914657,0.0797773654916512,0.0593692022263451,0.0222634508348794,0.0408163265306122,0.0649350649350649
"Q38998",0.06553911205074,0.0718816067653277,0.0549682875264271,0.0486257928118393,0.0147991543340381,0.0359408033826638,0.0295983086680761,0.0443974630021142,0.0211416490486258,0.0634249471458774,0.12262156448203,0.0380549682875264,0.0295983086680761,0.0676532769556025,0.0338266384778013,0.0613107822410148,0.0613107822410148,0.0169133192389006,0.0443974630021142,0.0739957716701903
"Q0JKV1",0.0612244897959184,0.073469387755102,0.0469387755102041,0.0387755102040816,0.0122448979591837,0.0428571428571429,0.0428571428571429,0.0448979591836735,0.0142857142857143,0.073469387755102,0.110204081632653,0.0306122448979592,0.0244897959183673,0.063265306122449,0.0346938775510204,0.0795918367346939,0.0571428571428571,0.0183673469387755,0.0489795918367347,0.0816326530612245
"P0C550",0.0612244897959184,0.073469387755102,0.0469387755102041,0.0387755102040816,0.0122448979591837,0.0428571428571429,0.0428571428571429,0.0448979591836735,0.0142857142857143,0.073469387755102,0.110204081632653,0.0306122448979592,0.0244897959183673,0.063265306122449,0.0346938775510204,0.0795918367346939,0.0571428571428571,0.0183673469387755,0.0489795918367347,0.0816326530612245
"P92960",0.0626086956521739,0.0556521739130435,0.0434782608695652,0.0573913043478261,0.00347826086956522,0.0573913043478261,0.0417391304347826,0.0556521739130435,0.0243478260869565,0.0869565217391304,0.11304347826087,0.0504347826086957,0.0243478260869565,0.0608695652173913,0.0330434782608696,0.0573913043478261,0.0504347826086957,0.0139130434782609,0.0365217391304348,0.071304347826087
"Q5JM04",0.0599571734475375,0.0685224839400428,0.0364025695931477,0.0556745182012848,0.0171306209850107,0.0428265524625268,0.0406852248394004,0.0449678800856531,0.019271948608137,0.0663811563169165,0.122055674518201,0.0385438972162741,0.0214132762312634,0.0685224839400428,0.0428265524625268,0.0620985010706638,0.0535331905781585,0.0171306209850107,0.0449678800856531,0.0770877944325482
"A2ZX97",0.0811287477954145,0.0617283950617284,0.0264550264550265,0.0388007054673721,0.0123456790123457,0.0564373897707231,0.0299823633156966,0.0599647266313933,0.0246913580246914,0.0529100529100529,0.107583774250441,0.0511463844797178,0.037037037037037,0.0599647266313933,0.0335097001763668,0.0740740740740741,0.0617283950617284,0.0158730158730159,0.0282186948853616,0.0864197530864197
"Q652U9",0.072310405643739,0.0652557319223986,0.0299823633156966,0.037037037037037,0.0123456790123457,0.0599647266313933,0.0317460317460317,0.0493827160493827,0.0229276895943563,0.0705467372134039,0.111111111111111,0.0493827160493827,0.0388007054673721,0.0564373897707231,0.0317460317460317,0.072310405643739,0.0582010582010582,0.0194003527336861,0.0282186948853616,0.0828924162257496
"Q9SCX5",0.0708154506437768,0.0643776824034335,0.0450643776824034,0.0450643776824034,0.0150214592274678,0.0321888412017167,0.036480686695279,0.0493562231759657,0.0257510729613734,0.0643776824034335,0.124463519313305,0.0343347639484979,0.0214592274678112,0.0729613733905579,0.036480686695279,0.0622317596566524,0.0536480686695279,0.01931330472103,0.0472103004291846,0.0793991416309013
"Q8GXE6",0.0571428571428571,0.063265306122449,0.0387755102040816,0.0489795918367347,0.0122448979591837,0.0387755102040816,0.0387755102040816,0.0551020408163265,0.0224489795918367,0.063265306122449,0.120408163265306,0.0346938775510204,0.0244897959183673,0.0693877551020408,0.0408163265306122,0.0673469387755102,0.0530612244897959,0.0163265306122449,0.0469387755102041,0.0877551020408163
"Q8H569",0.0873180873180873,0.0727650727650728,0.0374220374220374,0.0436590436590437,0.0124740124740125,0.0457380457380457,0.0311850311850312,0.0457380457380457,0.0249480249480249,0.0686070686070686,0.112266112266112,0.0291060291060291,0.027027027027027,0.0686070686070686,0.0374220374220374,0.0644490644490645,0.0582120582120582,0.0166320166320166,0.0457380457380457,0.0706860706860707
"Q75HP9",0.0674846625766871,0.0736196319018405,0.0347648261758691,0.0511247443762781,0.016359918200409,0.0552147239263804,0.0347648261758691,0.0470347648261759,0.016359918200409,0.065439672801636,0.110429447852761,0.0388548057259714,0.032719836400818,0.0572597137014315,0.0388548057259714,0.0552147239263804,0.0531697341513292,0.0143149284253579,0.0449897750511247,0.0920245398773006
"Q38898",0.0525252525252525,0.0585858585858586,0.0545454545454545,0.0444444444444444,0.0222222222222222,0.0484848484848485,0.0383838383838384,0.0363636363636364,0.0181818181818182,0.0808080808080808,0.127272727272727,0.0404040404040404,0.0282828282828283,0.0525252525252525,0.0363636363636364,0.0707070707070707,0.0626262626262626,0.0161616161616162,0.0464646464646465,0.0646464646464646
"Q9Y3Q4",0.0475247524752475,0.0613861386138614,0.0415841584158416,0.0534653465346535,0.0178217821782178,0.0594059405940594,0.0435643564356436,0.0475247524752475,0.0297029702970297,0.0811881188118812,0.0910891089108911,0.0455445544554455,0.0455445544554455,0.0574257425742574,0.0356435643564356,0.0554455445544554,0.0534653465346535,0.0158415841584158,0.0435643564356436,0.0732673267326733
"Q9JKA7",0.0475247524752475,0.0633663366336634,0.0396039603960396,0.0514851485148515,0.0178217821782178,0.0594059405940594,0.0415841584158416,0.0495049504950495,0.0316831683168317,0.0811881188118812,0.0910891089108911,0.0455445544554455,0.0435643564356436,0.0574257425742574,0.0356435643564356,0.0554455445544554,0.0534653465346535,0.0158415841584158,0.0435643564356436,0.0752475247524752
"O88705",0.0706319702602231,0.0855018587360595,0.0204460966542751,0.0446096654275093,0.0148698884758364,0.0520446096654275,0.0371747211895911,0.0613382899628253,0.033457249070632,0.0557620817843866,0.117100371747212,0.0260223048327138,0.0427509293680297,0.0539033457249071,0.0483271375464684,0.0613382899628253,0.0446096654275093,0.016728624535316,0.033457249070632,0.0799256505576208
"Q9TV66",0.0479041916167665,0.0678642714570858,0.0399201596806387,0.0558882235528942,0.0179640718562874,0.0558882235528942,0.0399201596806387,0.0479041916167665,0.0279441117764471,0.0758483033932136,0.093812375249501,0.0459081836327345,0.0459081836327345,0.0558882235528942,0.0339321357285429,0.0578842315369262,0.0518962075848303,0.0159680638722555,0.0439121756487026,0.0778443113772455
"Q9P1Z3",0.0706319702602231,0.0799256505576208,0.0204460966542751,0.0446096654275093,0.0148698884758364,0.0520446096654275,0.0390334572490706,0.0594795539033457,0.0353159851301115,0.0594795539033457,0.117100371747212,0.0260223048327138,0.0408921933085502,0.0539033457249071,0.050185873605948,0.0613382899628253,0.0446096654275093,0.0185873605947955,0.033457249070632,0.0780669144981413
