"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",63.1874456067023,71.2153587780456,64.7412352527687,101.25529193533,85.9763604156769,61.6336559606358,40.9164606797498,98.1477126431974,33.1475124494176,50.4981634971596,78.9843070083778,44.800934794916,19.6813355168417,34.701302095484,59.5619364325472,79.2432719493889,68.1077794859127,22.7889148089746,33.9244072724508,63.1874456067023,0.0246369164817712,0.024341228712817,0.0247848577105963,0.0254124876643061,0.0241044921066827,0.0247580402523933,0.0243262818914648,0.0241546394007498,0.0241980748806135,0.0241232524794633,0.0251808861878026,0.0243230953855032,0.0244252034757437,0.0250223453661044,0.0247600866915835,0.025118295638483,0.0255237258542639,0.0253287706696925,0.0248959656317472,0.0246150462062486,0.0243942549646397,0.0242945608229125,0.0247310421665082,0.0247414620334039,0.0251385022709201,0.0245993500024363,0.0249687333500887,0.0246459293257706,0.0244145444145266,0.0250729869496881
"Q91ZX7",63.159237156311,71.1835664671538,64.712333151958,101.210089049662,85.9379784258002,61.606141160664,40.8981945520374,98.1038970583683,33.1327145738025,50.4756198585272,77.1371011171339,44.7809345411549,19.6725492781952,34.6858105694495,59.2764971671935,79.2078957779966,68.0773744758598,22.7787412694892,33.909262571626,63.159237156311,0.0246619577362556,0.0243633850347092,0.0248128091603389,0.0254392610985257,0.0241226804805624,0.0247752846781613,0.02434496780237,0.0241705930044323,0.0242157624923419,0.0241336652718181,0.0251870660195403,0.0243339834115665,0.0244216795517844,0.0250227897114331,0.024766834947579,0.0251188113818032,0.0255220700155091,0.0253265288135253,0.0248894602568343,0.024613826809248,0.0243994225422671,0.024293543616549,0.0247156356032299,0.0247185153716247,0.025120636313367,0.0245920456431765,0.0249617495912103,0.0246332981790787,0.0244084838206796,0.0250639190326466
"Q07954",63.3774626496719,71.6553353222821,64.4121967337482,101.662623760494,85.6242454573119,60.7906274394812,42.6827809681464,97.26500390317,33.3701742114599,50.4432865987185,76.5703222216445,44.752249136299,18.3665299923539,34.4049082955362,58.7211592713287,79.4158409528542,66.9990319439389,22.7641498496781,33.628857732479,63.1187791286529,0.024656330404423,0.0243928598611667,0.0247958959796515,0.0254806246108578,0.0242546628807978,0.0248258852297601,0.0243354682717365,0.0242116888275706,0.0242270685663774,0.0241775605329207,0.0252130435142093,0.0243422128693814,0.0244963060567426,0.0250470726931579,0.0247782579268094,0.0251263500257327,0.0255672762180744,0.0253008239706066,0.0248455565964947,0.0244878743308905,0.0242734484513602,0.0243636549811969,0.0246930269440514,0.0247248227894622,0.0251063223709661,0.0245959564750747,0.0248800525053498,0.0247266465732826,0.0243921375426138,0.0249975909802116
"P98157",57.621059419705,63.0963637084552,75.3506161642296,104.030781486255,86.3012247417301,62.3141773814909,40.4129602264899,89.9514276008969,27.8979789950608,60.4890759519075,74.5684298372652,56.3174155414311,18.5117430714889,34.4161983864301,53.4493990092286,79.5222765747059,69.093125548515,22.9441322576201,38.8485875725613,58.9247032979788,0.0245392602973296,0.0241882534172498,0.0249520890014753,0.0255700690185227,0.0241252032928577,0.0247435104756758,0.024515655120708,0.0240163020273985,0.0242334267154428,0.023872169517635,0.0249039419453443,0.0241609121394232,0.0246019998493132,0.025114602522017,0.0248195863672183,0.0252672651361936,0.0253572815581878,0.0250209066663474,0.0248170637339125,0.024599355703263,0.0240992499467322,0.0239931517381321,0.0244705791560817,0.0249013544723838,0.0250169921476408,0.0247672005365169,0.0247898119518097,0.0246549594900962,0.0245686900019625,0.0245903803983549
"Q9NZR2",49.3679968137949,59.7612593009097,74.0519952206924,102.633467060258,88.0828995782973,63.6587327335777,39.2345658888581,89.9017205135424,32.9986083965892,70.6741849123801,78.2093002155383,56.6432805547753,17.1488831037393,34.2977662074786,45.9901865054827,78.2093002155383,61.8399117983326,22.0856827851188,39.7542290132138,55.8637858682416,0.0241625123632586,0.0245955477083003,0.0249954391068538,0.0255286854065103,0.0241957358475464,0.0243742740265134,0.0245493173849742,0.023878961532646,0.0245655549063662,0.0243481261716115,0.0250627950809654,0.0241927167183106,0.0251257100777644,0.0246585689375919,0.0246862471823043,0.0253281370268618,0.0252082573192591,0.025026935642184,0.0248503023540703,0.0245934656088864,0.0240474453030852,0.0246396297666217,0.0244203970533018,0.0248346841302765,0.0250234895570926,0.024832014349139,0.0248920597315956,0.0245034381192939,0.0240582905053059,0.0249896989036409
"Q9JI18",52.3682510723797,59.4027922612069,72.6902589512137,100.307346581424,88.583111266712,63.5714092619933,38.0386301321763,91.1884968922035,34.3910902564882,68.2611033878781,78.6826458898442,57.0579451982645,17.1955451282441,34.6516288190373,45.0731713210034,84.6750328284747,59.663330823756,21.3641621290305,37.7780915696272,59.9238693863052,0.0242170039823365,0.0244668441759079,0.0249446094603871,0.0253989769160604,0.0241527338174342,0.0245182652136367,0.0244697333765988,0.023779658612092,0.0245768224958657,0.0244236019270333,0.024993817777619,0.0243230801232151,0.0250333306766416,0.0245988852147362,0.0247379586074082,0.0253984833416685,0.0251097810292453,0.0248856693907262,0.0248680567459057,0.024529099487178,0.0241053121200101,0.0244472395680196,0.024511634579982,0.0247141515977522,0.024985518211002,0.0248463822152622,0.0249513561101375,0.0245750748150558,0.0241295632691617,0.0247687925927677
"P98158",45.4168532851025,61.5998699728977,65.2540995475611,98.1421657195319,82.4811818281173,51.6812468416684,40.9795745158684,82.4811818281173,35.7592465520635,53.5083616290001,64.7320667511806,37.0643285430147,15.3999674932244,40.7185581176781,53.2473452308099,83.0032146244978,56.1185256109026,22.1863938461708,35.4982301538733,63.9490175566099,0.0244755129369553,0.0246956918910191,0.0249027047097163,0.0247930368760582,0.0241126330929396,0.0243596256105021,0.0243947202594557,0.0238381422332637,0.0243739926798197,0.0238726438996161,0.0245268027560138,0.024694055357365,0.0252403539349451,0.0251293352227532,0.0248340996363127,0.0249944639451195,0.0255109280779942,0.0246791720384733,0.0249176805387558,0.0242956871400451,0.0243226609098796,0.0246383929552659,0.0239839582433501,0.0248510694484961,0.0255502024634174,0.0245320765873687,0.0249296005574921,0.0250737344102383,0.024112735920502,0.024347887476622
"A2ARV4",46.7295358906625,59.3307590521894,65.6313706329529,98.1845304668975,83.2205779625843,53.5551984364896,42.7916536526853,81.1203741023298,35.7034656243264,58.0181316395304,63.7936922552302,37.0160930369854,15.2264779868451,40.428924309899,53.2926729539578,85.058256340307,56.1804532618077,22.5771914977358,35.9659911068582,61.4309629124439,0.024451014489452,0.0246310491820695,0.0248998964228301,0.0248803381753595,0.0242616889345011,0.0243884156927067,0.024306817751324,0.023714558285541,0.0240421302600448,0.0238240725758537,0.0244652831198409,0.0247360026620336,0.0252730579561602,0.0250830242196822,0.0247131806561655,0.0249918329997312,0.0255240905023138,0.0246555958126846,0.0247432472015643,0.0243004967418662,0.0243284682313642,0.0245255929265057,0.023999843015011,0.0248593196476898,0.025314254060661,0.0244640011178349,0.0247590791509912,0.0251115762884811,0.023970899586026,0.0242556898018983
"P98164",43.3831260708124,60.2687739426855,69.1012666756653,95.8585240726334,81.8304473790773,58.4503195564838,38.1875421102361,77.6739802106162,32.9919581496597,60.0089947446567,65.9839162993195,37.4082045161496,15.0671934856714,41.0451132885531,50.6569436156193,73.777292240184,59.2296571505702,23.1203486245647,40.0059964964378,57.6709819623973,0.0245345235186643,0.0251637438665902,0.0253822618580894,0.0248761615433438,0.0242395148000562,0.0240419027601031,0.0244617354928424,0.023985266875452,0.0244477239285157,0.0240272005171967,0.0249121359966202,0.0245127990081375,0.0250692912787237,0.0252027204095148,0.0248341079232057,0.025082183690247,0.0253950893220795,0.0247898507426218,0.0247184757342201,0.0243445466618238,0.0244501247471813,0.0246702369548535,0.0239696601640386,0.0248531345919389,0.0255968041785111,0.0243008976900835,0.0249231074275989,0.0251180366220043,0.0241274958962248,0.0241900677707005
"C0HL13",44.7318797479619,64.2699421666119,73.524813838604,94.6053548692527,81.4942866672639,53.7296716512876,34.9628485386369,75.8385317566021,27.2504554786435,59.8995860992823,67.0978196219428,37.5336462253014,12.5969086646559,39.0761248373,50.1305548899573,79.4376485179323,56.0433895692856,22.6230196426474,39.0761248373,57.3287884126178,0.0245662463831394,0.0247585973662526,0.0254546223581165,0.0250739129256476,0.0243607784627431,0.0242410198674505,0.0244126986451228,0.0242176344435239,0.0245928295657377,0.0243984894512654,0.024754786145089,0.0247592508700441,0.0253707987855372,0.0247467103821782,0.025251631752174,0.0249109668327017,0.0250929496195225,0.0250060478284252,0.0248065847662374,0.0246968266105513,0.0246901692290412,0.02463098875391,0.0243866067366838,0.0245108940403483,0.0253019574997857,0.0243909439640072,0.0253471052381999,0.025301608107974,0.0244159796842809,0.0244705950178614
"Q04833",61.7674054799117,53.4275026303034,54.991234414605,99.8182122312498,76.3622354667263,53.6881245943537,39.0932946075391,77.1441013588771,24.2378426566742,56.8155881629568,61.5067835158615,54.7306124505547,14.3342080227643,34.6627212186846,43.2632460323432,75.3197476105253,51.3425269179013,15.3766958789654,31.5352576500815,51.0819049538511,0.0247975980591373,0.0249307036933577,0.0252093188494573,0.0252727072493939,0.0243713967723173,0.0244587414873256,0.023824093408702,0.0243621588779762,0.0244489015730013,0.0240434936957197,0.0245408072810004,0.023866593147999,0.0247126577775924,0.0248488970614086,0.0250325407004806,0.0254263574586117,0.0254115614900469,0.0247964977930842,0.0247936083421285,0.0239686846318629,0.0239982977005412,0.024243407940409,0.0249050313772578,0.0249398732951345,0.0249997273244059,0.0246538614567583,0.0245717995775511,0.0248804693810991,0.0245747571589448,0.0244934913870338
