"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0626959247648903,0.0470219435736677,0.0501567398119122,0.0250783699059561,0.0282131661442006,0.0156739811912226,0.0282131661442006,0.0532915360501567,0.0188087774294671,0.0689655172413793,0.125391849529781,0.0219435736677116,0.0313479623824451,0.103448275862069,0.0219435736677116,0.100313479623824,0.0438871473354232,0.0156739811912226,0.0282131661442006,0.109717868338558
"O45767",0.0626959247648903,0.0470219435736677,0.0501567398119122,0.0250783699059561,0.0282131661442006,0.0156739811912226,0.0282131661442006,0.0532915360501567,0.0188087774294671,0.0689655172413793,0.125391849529781,0.0219435736677116,0.0313479623824451,0.103448275862069,0.0219435736677116,0.100313479623824,0.0438871473354232,0.0156739811912226,0.0282131661442006,0.109717868338558
"P34490",0.0714285714285714,0.0639097744360902,0.037593984962406,0.0263157894736842,0.0263157894736842,0.0225563909774436,0.037593984962406,0.0300751879699248,0.0150375939849624,0.0977443609022556,0.112781954887218,0.0263157894736842,0.0263157894736842,0.120300751879699,0.0300751879699248,0.0639097744360902,0.0639097744360902,0.018796992481203,0.0413533834586466,0.0676691729323308
"Q9MYW9",0.0463320463320463,0.0463320463320463,0.0424710424710425,0.027027027027027,0.0463320463320463,0.0193050193050193,0.00772200772200772,0.027027027027027,0.0154440154440154,0.111969111969112,0.1003861003861,0.0424710424710425,0.0424710424710425,0.0733590733590734,0.0424710424710425,0.0579150579150579,0.0810810810810811,0.0231660231660232,0.0463320463320463,0.1003861003861
"Q95M54",0.0463320463320463,0.0463320463320463,0.0463320463320463,0.0231660231660232,0.0463320463320463,0.0193050193050193,0.00772200772200772,0.027027027027027,0.0154440154440154,0.111969111969112,0.104247104247104,0.0424710424710425,0.0424710424710425,0.0733590733590734,0.0424710424710425,0.0540540540540541,0.0810810810810811,0.0231660231660232,0.0463320463320463,0.1003861003861
"P33535",0.0501930501930502,0.0463320463320463,0.0463320463320463,0.0231660231660232,0.0463320463320463,0.0193050193050193,0.00772200772200772,0.027027027027027,0.0154440154440154,0.108108108108108,0.1003861003861,0.0424710424710425,0.0424710424710425,0.0772200772200772,0.0424710424710425,0.0501930501930502,0.0849420849420849,0.0231660231660232,0.0463320463320463,0.1003861003861
"P42866",0.0501930501930502,0.0463320463320463,0.0501930501930502,0.0231660231660232,0.0463320463320463,0.0193050193050193,0.00772200772200772,0.027027027027027,0.0154440154440154,0.108108108108108,0.1003861003861,0.0424710424710425,0.0424710424710425,0.0772200772200772,0.0424710424710425,0.0501930501930502,0.0810810810810811,0.0231660231660232,0.0463320463320463,0.1003861003861
"Q5IS39",0.0501930501930502,0.0463320463320463,0.0463320463320463,0.0231660231660232,0.0463320463320463,0.0193050193050193,0.00772200772200772,0.027027027027027,0.0154440154440154,0.108108108108108,0.1003861003861,0.0424710424710425,0.0424710424710425,0.0772200772200772,0.0424710424710425,0.0501930501930502,0.0849420849420849,0.0231660231660232,0.0463320463320463,0.1003861003861
"Q5IS84",0.0503875968992248,0.0465116279069767,0.0465116279069767,0.0232558139534884,0.0465116279069767,0.0193798449612403,0.00775193798449612,0.0271317829457364,0.0155038759689922,0.108527131782946,0.0968992248062016,0.0426356589147287,0.0426356589147287,0.0775193798449612,0.0426356589147287,0.0465116279069767,0.0852713178294574,0.0232558139534884,0.0465116279069767,0.104651162790698
"P35372",0.0501930501930502,0.0463320463320463,0.0463320463320463,0.0231660231660232,0.0463320463320463,0.0193050193050193,0.00772200772200772,0.027027027027027,0.0154440154440154,0.108108108108108,0.1003861003861,0.0424710424710425,0.0424710424710425,0.0772200772200772,0.0424710424710425,0.0501930501930502,0.0849420849420849,0.0231660231660232,0.0463320463320463,0.1003861003861
