"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0481171548117155,0.0397489539748954,0.0523012552301255,0.0606694560669456,0.0167364016736402,0.0648535564853557,0.0271966527196653,0.0627615062761506,0.0167364016736402,0.0815899581589958,0.0857740585774059,0.0502092050209205,0.0209205020920502,0.0648535564853557,0.0460251046025105,0.0543933054393305,0.0732217573221757,0.0146443514644351,0.0418410041841004,0.0774058577405858
"Q14108",0.0481171548117155,0.0397489539748954,0.0523012552301255,0.0606694560669456,0.0167364016736402,0.0648535564853557,0.0271966527196653,0.0627615062761506,0.0167364016736402,0.0815899581589958,0.0857740585774059,0.0502092050209205,0.0209205020920502,0.0648535564853557,0.0460251046025105,0.0543933054393305,0.0732217573221757,0.0146443514644351,0.0418410041841004,0.0774058577405858
"O35114",0.0460251046025105,0.0355648535564854,0.0690376569037657,0.0481171548117155,0.0167364016736402,0.0690376569037657,0.0292887029288703,0.0627615062761506,0.0167364016736402,0.0732217573221757,0.102510460251046,0.0460251046025105,0.0230125523012552,0.0627615062761506,0.0460251046025105,0.0502092050209205,0.0732217573221757,0.0125523012552301,0.0355648535564854,0.0815899581589958
"P27615",0.0502092050209205,0.0376569037656904,0.0648535564853557,0.0460251046025105,0.0167364016736402,0.0711297071129707,0.0313807531380753,0.0606694560669456,0.0125523012552301,0.0753138075313808,0.0899581589958159,0.0439330543933054,0.0230125523012552,0.0669456066945607,0.0481171548117155,0.0502092050209205,0.0815899581589958,0.0125523012552301,0.0376569037656904,0.0794979079497908
"Q8I9S2",0.0495495495495495,0.036036036036036,0.0495495495495495,0.0675675675675676,0.0135135135135135,0.0630630630630631,0.0315315315315315,0.0698198198198198,0.0225225225225225,0.0720720720720721,0.0810810810810811,0.0855855855855856,0.0337837837837838,0.0630630630630631,0.0630630630630631,0.0337837837837838,0.045045045045045,0.018018018018018,0.0247747747747748,0.0765765765765766
"Q8I9S1",0.0518018018018018,0.0337837837837838,0.0405405405405405,0.0698198198198198,0.0135135135135135,0.0608108108108108,0.027027027027027,0.0675675675675676,0.018018018018018,0.0698198198198198,0.0810810810810811,0.0878378378378378,0.0337837837837838,0.0653153153153153,0.0630630630630631,0.0315315315315315,0.0630630630630631,0.018018018018018,0.0225225225225225,0.0810810810810811
"Q9U1G3",0.0495495495495495,0.0337837837837838,0.0427927927927928,0.0698198198198198,0.0135135135135135,0.0608108108108108,0.0292792792792793,0.0653153153153153,0.018018018018018,0.0675675675675676,0.0833333333333333,0.0900900900900901,0.0337837837837838,0.0653153153153153,0.0653153153153153,0.0292792792792793,0.0585585585585586,0.018018018018018,0.0225225225225225,0.0833333333333333
"B2LT48",0.0428893905191874,0.0338600451467269,0.0406320541760722,0.0699774266365688,0.0135440180586907,0.0586907449209932,0.0270880361173815,0.0677200902934537,0.018058690744921,0.0744920993227991,0.0835214446952596,0.0880361173814898,0.0316027088036117,0.0654627539503386,0.0632054176072235,0.0316027088036117,0.0632054176072235,0.018058690744921,0.0248306997742664,0.0835214446952596
"Q9GPH7",0.0563063063063063,0.0315315315315315,0.0495495495495495,0.0563063063063063,0.0135135135135135,0.0698198198198198,0.0315315315315315,0.0608108108108108,0.018018018018018,0.0675675675675676,0.0810810810810811,0.0855855855855856,0.0608108108108108,0.0608108108108108,0.0608108108108108,0.0382882882882883,0.0427927927927928,0.018018018018018,0.0315315315315315,0.0653153153153153
"B4GMC9",0.0554272517321016,0.0369515011547344,0.0415704387990762,0.0531177829099307,0.0161662817551963,0.0623556581986143,0.0277136258660508,0.0715935334872979,0.023094688221709,0.0346420323325635,0.106235565819861,0.0600461893764434,0.0415704387990762,0.0808314087759815,0.0623556581986143,0.046189376443418,0.069284064665127,0.0161662817551963,0.0207852193995381,0.0739030023094688
"Q9VDD3",0.0490654205607477,0.0257009345794393,0.0420560747663551,0.0607476635514019,0.0163551401869159,0.0630841121495327,0.0280373831775701,0.0700934579439252,0.0210280373831776,0.0467289719626168,0.0957943925233645,0.0747663551401869,0.0420560747663551,0.0794392523364486,0.0654205607476635,0.0514018691588785,0.0490654205607477,0.0163551401869159,0.0280373831775701,0.0747663551401869
"Q295A8",0.0554272517321016,0.0369515011547344,0.0415704387990762,0.0531177829099307,0.0161662817551963,0.0623556581986143,0.0277136258660508,0.0715935334872979,0.023094688221709,0.0346420323325635,0.106235565819861,0.0600461893764434,0.0415704387990762,0.0808314087759815,0.0646651270207852,0.046189376443418,0.0669745958429561,0.0161662817551963,0.0207852193995381,0.0739030023094688
"B3P048",0.0537383177570093,0.0257009345794393,0.044392523364486,0.0607476635514019,0.0163551401869159,0.0630841121495327,0.0280373831775701,0.0677570093457944,0.0233644859813084,0.0467289719626168,0.088785046728972,0.0747663551401869,0.0490654205607477,0.0794392523364486,0.0630841121495327,0.0467289719626168,0.0514018691588785,0.0163551401869159,0.0280373831775701,0.0724299065420561
"B4IKJ4",0.0490654205607477,0.0257009345794393,0.044392523364486,0.0607476635514019,0.0163551401869159,0.0630841121495327,0.0280373831775701,0.0700934579439252,0.0210280373831776,0.044392523364486,0.0957943925233645,0.0747663551401869,0.0420560747663551,0.0794392523364486,0.0654205607476635,0.0514018691588785,0.0467289719626168,0.0163551401869159,0.0280373831775701,0.0771028037383178
"B4KB36",0.0640732265446224,0.034324942791762,0.0411899313501144,0.05720823798627,0.0137299771167048,0.0526315789473684,0.0366132723112128,0.0709382151029748,0.0251716247139588,0.0594965675057208,0.091533180778032,0.068649885583524,0.045766590389016,0.0755148741418764,0.0594965675057208,0.0366132723112128,0.0549199084668192,0.0160183066361556,0.0274599542334096,0.068649885583524
"B4R136",0.0490654205607477,0.0257009345794393,0.044392523364486,0.0607476635514019,0.0163551401869159,0.0630841121495327,0.0280373831775701,0.0700934579439252,0.0210280373831776,0.044392523364486,0.0957943925233645,0.0747663551401869,0.0420560747663551,0.0794392523364486,0.0630841121495327,0.0537383177570093,0.0467289719626168,0.0163551401869159,0.0280373831775701,0.0771028037383178
"E2IHA6",0.054176072234763,0.0293453724604966,0.054176072234763,0.0609480812641084,0.0135440180586907,0.0632054176072235,0.0316027088036117,0.0767494356659142,0.0225733634311512,0.0564334085778781,0.0744920993227991,0.0857787810383747,0.0474040632054176,0.072234762979684,0.0632054176072235,0.0338600451467269,0.0428893905191874,0.0158013544018059,0.0270880361173815,0.0744920993227991
"B4PQC2",0.0537383177570093,0.0327102803738318,0.0420560747663551,0.0607476635514019,0.0163551401869159,0.0630841121495327,0.0280373831775701,0.0700934579439252,0.0233644859813084,0.044392523364486,0.0934579439252336,0.0677570093457944,0.0420560747663551,0.0817757009345794,0.0630841121495327,0.0490654205607477,0.0490654205607477,0.0163551401869159,0.0280373831775701,0.0747663551401869
"B4LYC5",0.0597701149425287,0.0390804597701149,0.0390804597701149,0.0574712643678161,0.0137931034482759,0.0574712643678161,0.0367816091954023,0.071264367816092,0.0229885057471264,0.0528735632183908,0.103448275862069,0.064367816091954,0.0413793103448276,0.0781609195402299,0.064367816091954,0.0298850574712644,0.0597701149425287,0.0160919540229885,0.0206896551724138,0.071264367816092
