"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0836820083682008,0.0627615062761506,0.0460251046025105,0.0523012552301255,0.0261506276150628,0.0543933054393305,0.0439330543933054,0.0407949790794979,0.0271966527196653,0.0543933054393305,0.128661087866109,0.0439330543933054,0.0167364016736402,0.049163179916318,0.0324267782426778,0.0669456066945607,0.053347280334728,0.0115062761506276,0.0261506276150628,0.0794979079497908
"Q9W0T5",0.0836820083682008,0.0627615062761506,0.0460251046025105,0.0523012552301255,0.0261506276150628,0.0543933054393305,0.0439330543933054,0.0407949790794979,0.0271966527196653,0.0543933054393305,0.128661087866109,0.0439330543933054,0.0167364016736402,0.049163179916318,0.0324267782426778,0.0669456066945607,0.053347280334728,0.0115062761506276,0.0261506276150628,0.0794979079497908
"O75762",0.0675675675675676,0.027027027027027,0.0552825552825553,0.0454545454545455,0.0257985257985258,0.0515970515970516,0.042997542997543,0.0540540540540541,0.0417690417690418,0.0761670761670762,0.135135135135135,0.0626535626535627,0.0331695331695332,0.0503685503685504,0.0319410319410319,0.058968058968059,0.0491400491400491,0.0110565110565111,0.027027027027027,0.0528255528255528
"Q6RI86",0.0741687979539642,0.030690537084399,0.0575447570332481,0.0498721227621483,0.0230179028132992,0.0460358056265985,0.0396419437340153,0.0473145780051151,0.0421994884910486,0.0677749360613811,0.140664961636829,0.0664961636828645,0.0396419437340153,0.0460358056265985,0.030690537084399,0.0575447570332481,0.0421994884910486,0.0115089514066496,0.030690537084399,0.0562659846547315
"Q8BLA8",0.0729833546734955,0.029449423815621,0.060179257362356,0.0486555697823303,0.0243277848911652,0.0460947503201024,0.0396927016645326,0.0499359795134443,0.0409731113956466,0.0665813060179257,0.142125480153649,0.0678617157490397,0.0384122919334187,0.0448143405889885,0.030729833546735,0.0563380281690141,0.0409731113956466,0.0115236875800256,0.0320102432778489,0.0563380281690141
"Q18297",0.0763260025873221,0.0426908150064683,0.0478654592496766,0.0582147477360931,0.0168175937904269,0.0827943078913325,0.0401034928848642,0.0413971539456662,0.0219922380336352,0.0595084087968952,0.093143596377749,0.0750323415265201,0.0388098318240621,0.0633893919793014,0.0206985769728331,0.0465717981888745,0.0582147477360931,0.0142302716688228,0.0349288486416559,0.0672703751617076
"Q7Z020",0.0686813186813187,0.0425824175824176,0.0453296703296703,0.0453296703296703,0.0206043956043956,0.0425824175824176,0.0343406593406593,0.0453296703296703,0.0398351648351648,0.0728021978021978,0.135989010989011,0.0521978021978022,0.0453296703296703,0.0453296703296703,0.0315934065934066,0.0728021978021978,0.0467032967032967,0.00824175824175824,0.0370879120879121,0.0673076923076923
"G5E8K5",0.145124716553288,0.0226757369614512,0.0657596371882086,0.0408163265306122,0.00680272108843537,0.0294784580498866,0.0566893424036281,0.0702947845804989,0.0680272108843537,0.0340136054421769,0.115646258503401,0.0589569160997732,0.0158730158730159,0.0113378684807256,0.036281179138322,0.054421768707483,0.0589569160997732,0,0.0249433106575964,0.0839002267573696
"P16157",0.125284738041002,0.0273348519362187,0.0592255125284738,0.0341685649202733,0.00911161731207289,0.041002277904328,0.0364464692482916,0.0728929384965831,0.0751708428246014,0.0273348519362187,0.134396355353075,0.0660592255125285,0.0182232346241458,0.00911161731207289,0.0546697038724374,0.0432801822323462,0.061503416856492,0.00227790432801822,0.0159453302961276,0.0865603644646925
"O70511",0.140589569160998,0.0226757369614512,0.0680272108843537,0.0408163265306122,0.00680272108843537,0.0294784580498866,0.0566893424036281,0.0702947845804989,0.0680272108843537,0.0340136054421769,0.115646258503401,0.0589569160997732,0.0158730158730159,0.0113378684807256,0.0385487528344671,0.054421768707483,0.0589569160997732,0,0.0249433106575964,0.0839002267573696
"Q9EQG6",0.085348506401138,0.0497866287339972,0.042674253200569,0.0497866287339972,0.0184921763869132,0.058321479374111,0.027027027027027,0.0739687055476529,0.0241820768136558,0.0625889046941678,0.126600284495021,0.0668563300142248,0.0227596017069701,0.0355618776671408,0.0312944523470839,0.0526315789473684,0.058321479374111,0.0199146514935989,0.0227596017069701,0.0711237553342817
"Q12955",0.138636363636364,0.0204545454545455,0.0704545454545455,0.0409090909090909,0.00681818181818182,0.0295454545454545,0.0568181818181818,0.0727272727272727,0.0681818181818182,0.0340909090909091,0.115909090909091,0.0613636363636364,0.0159090909090909,0.0113636363636364,0.0386363636363636,0.0477272727272727,0.0613636363636364,0,0.025,0.0840909090909091
"Q7T163",0.0803059273422562,0.0478011472275335,0.0439770554493308,0.0554493307839388,0.011472275334608,0.0688336520076482,0.0286806883365201,0.0822179732313576,0.0210325047801147,0.0497131931166348,0.124282982791587,0.0592734225621415,0.0229445506692161,0.017208413001912,0.0382409177820268,0.0535372848948375,0.0554493307839388,0.0210325047801147,0.0344168260038241,0.0841300191204589
"Q9ULH0",0.0807692307692308,0.0365384615384615,0.0480769230769231,0.0557692307692308,0.0211538461538462,0.0576923076923077,0.025,0.0884615384615385,0.025,0.0576923076923077,0.138461538461538,0.0692307692307692,0.0230769230769231,0.0230769230769231,0.0365384615384615,0.0403846153846154,0.0557692307692308,0.0211538461538462,0.0288461538461538,0.0673076923076923
"Q54KA7",0.105263157894737,0.0336842105263158,0.0610526315789474,0.0652631578947368,0.0315789473684211,0.0526315789473684,0.0357894736842105,0.0673684210526316,0.0484210526315789,0.0547368421052632,0.115789473684211,0.0757894736842105,0.00842105263157895,0.0231578947368421,0.0336842105263158,0.0610526315789474,0.0484210526315789,0.00210526315789474,0.0168421052631579,0.0589473684210526
"Q02357",0.115909090909091,0.025,0.0545454545454545,0.0363636363636364,0.0113636363636364,0.0340909090909091,0.0409090909090909,0.0840909090909091,0.0795454545454545,0.0340909090909091,0.138636363636364,0.0568181818181818,0.0159090909090909,0.00909090909090909,0.0568181818181818,0.05,0.0681818181818182,0.00227272727272727,0.0159090909090909,0.0704545454545455
"Q9ULJ7",0.131524008350731,0.0480167014613779,0.0501043841336117,0.0793319415448852,0.0187891440501044,0.0668058455114822,0.0396659707724426,0.0855949895615866,0.0563674321503132,0.0417536534446764,0.104384133611691,0.0250521920668058,0.0187891440501044,0.0125260960334029,0.0187891440501044,0.0501043841336117,0.0375782881002088,0.0104384133611691,0.0167014613778706,0.0876826722338205
"Q9VCA8",0.135011441647597,0.022883295194508,0.0594965675057208,0.0526315789473684,0.0320366132723112,0.080091533180778,0.0274599542334096,0.0823798627002288,0.0480549199084668,0.0137299771167048,0.125858123569794,0.0503432494279176,0.0320366132723112,0.0160183066361556,0.0183066361556064,0.05720823798627,0.0663615560640732,0,0.011441647597254,0.068649885583524
"O75179",0.147196261682243,0.0303738317757009,0.0490654205607477,0.0467289719626168,0.0280373831775701,0.0957943925233645,0.0163551401869159,0.0981308411214953,0.0514018691588785,0.0210280373831776,0.135514018691589,0.0303738317757009,0.0280373831775701,0.00934579439252336,0.0163551401869159,0.044392523364486,0.0630841121495327,0,0.0186915887850467,0.0700934579439252
"Q99NH0",0.147196261682243,0.0303738317757009,0.0490654205607477,0.0467289719626168,0.0280373831775701,0.0957943925233645,0.0163551401869159,0.0981308411214953,0.0514018691588785,0.0210280373831776,0.135514018691589,0.0303738317757009,0.0280373831775701,0.00934579439252336,0.0163551401869159,0.044392523364486,0.0630841121495327,0,0.0186915887850467,0.0700934579439252
"Q8IWZ3",0.146853146853147,0.0303030303030303,0.0512820512820513,0.0606060606060606,0.027972027972028,0.0885780885780886,0.0163170163170163,0.0932400932400932,0.0512820512820513,0.0186480186480186,0.137529137529138,0.0256410256410256,0.027972027972028,0.0116550116550117,0.0163170163170163,0.0442890442890443,0.0629370629370629,0,0.0186480186480186,0.0699300699300699
"Q01484",0.12253829321663,0.0459518599562363,0.0678336980306346,0.0437636761487965,0.0109409190371991,0.0415754923413567,0.0437636761487965,0.0809628008752735,0.0547045951859956,0.0393873085339169,0.131291028446389,0.0547045951859956,0.0131291028446389,0.0175054704595186,0.0350109409190372,0.0459518599562363,0.0634573304157549,0,0.0175054704595186,0.0700218818380744
