"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.060952380952381,0.0514285714285714,0.0380952380952381,0.0514285714285714,0.0380952380952381,0.0704761904761905,0.0457142857142857,0.0552380952380952,0.0228571428571429,0.0723809523809524,0.0704761904761905,0.0628571428571429,0.0228571428571429,0.0590476190476191,0.0514285714285714,0.0838095238095238,0.0495238095238095,0.00952380952380952,0.0304761904761905,0.0533333333333333
"C6K2K4",0.0590476190476191,0.0514285714285714,0.0380952380952381,0.0533333333333333,0.0380952380952381,0.0685714285714286,0.0457142857142857,0.0552380952380952,0.0228571428571429,0.0666666666666667,0.0704761904761905,0.0628571428571429,0.0228571428571429,0.0590476190476191,0.0514285714285714,0.0838095238095238,0.0514285714285714,0.00952380952380952,0.0304761904761905,0.0590476190476191
"Q8BNJ6",0.060952380952381,0.0514285714285714,0.0380952380952381,0.0514285714285714,0.0380952380952381,0.0704761904761905,0.0457142857142857,0.0552380952380952,0.0228571428571429,0.0723809523809524,0.0704761904761905,0.0628571428571429,0.0228571428571429,0.0590476190476191,0.0514285714285714,0.0838095238095238,0.0495238095238095,0.00952380952380952,0.0304761904761905,0.0533333333333333
"Q8NC67",0.0533333333333333,0.0514285714285714,0.0380952380952381,0.0514285714285714,0.0380952380952381,0.0704761904761905,0.0438095238095238,0.0571428571428571,0.0247619047619048,0.0723809523809524,0.0666666666666667,0.0628571428571429,0.0228571428571429,0.0590476190476191,0.0533333333333333,0.0876190476190476,0.0495238095238095,0.00952380952380952,0.0304761904761905,0.0571428571428571
"P98070",0.0358974358974359,0.0435897435897436,0.058974358974359,0.0564102564102564,0.0461538461538462,0.0666666666666667,0.041025641025641,0.0820512820512821,0.0128205128205128,0.0512820512820513,0.0615384615384615,0.0769230769230769,0.00512820512820513,0.058974358974359,0.0487179487179487,0.107692307692308,0.0307692307692308,0.0230769230769231,0.0435897435897436,0.0487179487179487
"O57460",0.0404040404040404,0.0404040404040404,0.047979797979798,0.0606060606060606,0.053030303030303,0.0782828282828283,0.0252525252525253,0.0808080808080808,0.0126262626262626,0.0454545454545455,0.0505050505050505,0.0681818181818182,0.0126262626262626,0.047979797979798,0.053030303030303,0.095959595959596,0.0454545454545455,0.0227272727272727,0.053030303030303,0.0656565656565657
"Q9DER7",0.0379746835443038,0.0379746835443038,0.0582278481012658,0.0531645569620253,0.0531645569620253,0.0810126582278481,0.0278481012658228,0.0810126582278481,0.0177215189873418,0.0481012658227848,0.0481012658227848,0.0658227848101266,0.0227848101265823,0.0531645569620253,0.0556962025316456,0.0835443037974684,0.0481012658227848,0.0227848101265823,0.0506329113924051,0.0531645569620253
"Q9WVM6",0.0505050505050505,0.0454545454545455,0.0378787878787879,0.0681818181818182,0.053030303030303,0.0681818181818182,0.0277777777777778,0.0833333333333333,0.0176767676767677,0.0404040404040404,0.047979797979798,0.0606060606060606,0.00757575757575758,0.0656565656565657,0.053030303030303,0.0934343434343434,0.0505050505050505,0.0227272727272727,0.0429292929292929,0.0631313131313131
"Q8JI28",0.0454545454545455,0.0378787878787879,0.053030303030303,0.0631313131313131,0.053030303030303,0.0757575757575758,0.0227272727272727,0.0757575757575758,0.0176767676767677,0.0454545454545455,0.053030303030303,0.0707070707070707,0.0126262626262626,0.0505050505050505,0.053030303030303,0.0883838383838384,0.053030303030303,0.0227272727272727,0.0505050505050505,0.0555555555555556
"Q9Y6L7",0.0555555555555556,0.047979797979798,0.0429292929292929,0.0656565656565657,0.053030303030303,0.0732323232323232,0.0227272727272727,0.0808080808080808,0.0227272727272727,0.0328282828282828,0.047979797979798,0.0606060606060606,0.0126262626262626,0.0656565656565657,0.053030303030303,0.0858585858585859,0.0454545454545455,0.0227272727272727,0.0404040404040404,0.0681818181818182
