"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",7.16502500501455,4.40924615693203,2.20462307846602,3.03135673289077,3.85809038731553,1.92904519365776,2.48020096327427,3.85809038731553,1.65346730884951,5.78713558097329,14.0544721252209,2.48020096327427,1.10231153923301,7.99175865943931,4.96040192654854,5.51155769616504,5.78713558097329,2.20462307846602,3.85809038731553,8.54291442905581,0.0225843702138589,0.0256649188141804,0.0233075731342232,0.021765349102561,0.0240668798167805,0.0242494535845509,0.0235989785227941,0.0252366602173075,0.0249418464703747,0.0249629677262764,0.0242855160755031,0.0237462551805342,0.0232277260517258,0.0229420872772914,0.0240805057771039,0.0243387479207192,0.021994552889529,0.0244304683114651,0.0246360396796799,0.0239126819962787,0.0262041150117744,0.026145492792707,0.023942040622524,0.0236308976468265,0.0255129361947963,0.0252297268278537,0.0225802747607523,0.023720117378529,0.0243141797210734,0.0251687554721734
"Q5QD14",7.16502500501455,4.40924615693203,2.20462307846602,3.03135673289077,3.85809038731553,1.92904519365776,2.48020096327427,3.85809038731553,1.65346730884951,5.78713558097329,14.0544721252209,2.48020096327427,1.10231153923301,7.99175865943931,4.96040192654854,5.51155769616504,5.78713558097329,2.20462307846602,3.85809038731553,8.54291442905581,0.0225843702138589,0.0256649188141804,0.0233075731342232,0.021765349102561,0.0240668798167805,0.0242494535845509,0.0235989785227941,0.0252366602173075,0.0249418464703747,0.0249629677262764,0.0242855160755031,0.0237462551805342,0.0232277260517258,0.0229420872772914,0.0240805057771039,0.0243387479207192,0.021994552889529,0.0244304683114651,0.0246360396796799,0.0239126819962787,0.0262041150117744,0.026145492792707,0.023942040622524,0.0236308976468265,0.0255129361947963,0.0252297268278537,0.0225802747607523,0.023720117378529,0.0243141797210734,0.0251687554721734
"Q5QD23",7.60978930783221,4.62022922261241,2.17422551652349,2.9895600852198,3.8048946539161,1.90244732695805,2.44600370608892,3.8048946539161,1.63066913739262,5.97912017043959,14.4042440469681,2.44600370608892,1.35889094782718,7.88156749739765,4.62022922261241,5.70734198087416,5.16378560174328,2.17422551652349,3.53311646435067,7.33801111826677,0.0229521436017407,0.0257634316170854,0.023836888228107,0.0217000116240726,0.0240857755506727,0.0243561749966998,0.0233986899884652,0.0248088625317013,0.0249401013628631,0.0250012316289535,0.0241298311463871,0.0243098677577068,0.0235008324372051,0.0232847129769643,0.0243534771899671,0.024480500144224,0.0219356690121521,0.0245068189684863,0.0247483211521336,0.0239587068001942,0.0263817639212316,0.0262432334797165,0.0241089772899168,0.0237666798330967,0.0256616137213748,0.0254797086315892,0.0228003374694636,0.0238941839468371,0.0243031938820519,0.0255300695435039
"O14804",7.95436325572049,3.40901282388021,1.98859081393012,2.84084401990017,3.97718162786024,2.27267521592014,3.40901282388021,3.97718162786024,2.27267521592014,6.5339412457704,14.2042200995009,3.12492842189019,1.7045064119401,8.23844765771051,4.26126602985026,5.68168803980035,6.24985684378038,2.27267521592014,3.97718162786024,7.38619445174045,0.0229078771780241,0.0250594892691932,0.0235681063680805,0.0220227758471176,0.023967136542937,0.0239516870084643,0.0226850832606353,0.0242553983200551,0.0241502823159733,0.0239255433909129,0.02377829919044,0.0243734017233481,0.0227590722356254,0.0230353321452693,0.024770192208038,0.0232302805997689,0.0210789585676489,0.0253629406016936,0.0236443308126399,0.023094125285502,0.0261187118928051,0.0257587621937266,0.0240473674371505,0.0227097562522191,0.025044895179715,0.0247074261162238,0.0232948913783043,0.0236121414654623,0.023788807477037,0.0252125257459712
"Q923Y2",7.53633349176165,3.07035808923623,3.34948155189407,2.51211116392055,3.34948155189407,2.79123462657839,2.23298770126271,4.74509886518326,1.11649385063136,7.25721002910382,10.8858150436557,3.34948155189407,1.95386423860487,7.53633349176165,3.90772847720975,9.21107426770869,4.46597540252542,1.67474077594703,5.0242223278411,6.97808656644598,0.0218696604172686,0.0250542688431624,0.0229130582229339,0.0208860888647392,0.0227840017235441,0.0227553083963251,0.0228658158866579,0.022859670885882,0.0242550306525212,0.0249618970740094,0.0249003466985669,0.0219406372016755,0.0232934546272406,0.0253587428059243,0.0247471196113882,0.0233689195827823,0.0233826771618781,0.0253642515671931,0.0237991034369598,0.0262322107415853,0.0266013960652548,0.0251785615754114,0.0226497746765392,0.0241148632061881,0.0257530588904432,0.0251299769802757,0.0238294709646785,0.0250684737558021,0.0243132887542507,0.0246454080710795
"Q5QD28",7.95085812314382,3.40751062420449,2.27167374946966,3.12355140552079,3.97542906157191,1.98771453078595,3.40751062420449,3.97542906157191,2.27167374946966,6.53106202972528,14.4819201528691,3.12355140552079,1.70375531210225,8.23481734182752,4.54334749893932,5.39522515499045,5.96314359235786,2.27167374946966,3.97542906157191,7.09898046709269,0.0228664729332651,0.0251442595019042,0.0236234913012454,0.0220189139522836,0.0240077787031676,0.0239005771877954,0.0226406341960584,0.0241314324701662,0.0241206552374722,0.0238404747504164,0.0237668118948339,0.024384347652797,0.0227657995841552,0.023097166471703,0.0248056426735542,0.0232704810142839,0.0211046318165053,0.0253747707953135,0.0236953342632171,0.0230709038316491,0.0261821674522919,0.0257249706979492,0.0240796367806713,0.0227300218110003,0.0250716279977542,0.0246927880485734,0.023316692478067,0.0236440406244741,0.0237686588004345,0.0251995963932895
"Q5QD12",7.45471643068278,3.31320730252568,3.58930791106949,2.20880486835045,3.31320730252568,3.58930791106949,1.65660365126284,4.41760973670091,1.10440243417523,6.90251521359517,10.4918231246647,3.31320730252568,1.93270425980665,7.73081703922659,3.58930791106949,8.83521947340182,5.24591156233233,1.65660365126284,4.96981095378852,6.62641460505136,0.022038868392114,0.0251674845576673,0.0230985751059578,0.0201349063392297,0.0229547457619742,0.0230131616769133,0.0232391831327614,0.0228818171914584,0.0242087094054124,0.025091147614629,0.0253128132791644,0.0216585514288743,0.0235167827015822,0.0255116301752314,0.025068741655635,0.0233735544387964,0.0233255933632526,0.0255280066509186,0.0242185723740527,0.0263419470358697,0.0263676019600867,0.025467988105295,0.0229019389707197,0.02446488809111,0.0257315592800098,0.0252556907049267,0.0239765755596469,0.0251798060924059,0.0246642608886907,0.024204289521807
"Q5QD11",7.47895452450042,3.32397978866685,3.32397978866685,2.49298484150014,3.60097810438909,3.04698147294462,1.66198989433343,4.43197305155581,1.10799326288895,6.37096126161147,11.0799326288895,3.32397978866685,1.66198989433343,7.75595284022266,3.60097810438909,8.58694778738938,5.53996631444476,1.66198989433343,4.98596968300028,7.20195620877819,0.0222010470943226,0.0247804369228796,0.0230202529361744,0.0204029391737956,0.0228622066460451,0.0228429377277322,0.0228170186188154,0.0226673521029048,0.0242438994625034,0.024771997507903,0.0251463029452171,0.021507697323859,0.0236263846798985,0.0255338654162395,0.0248648249773067,0.0232492316751001,0.0238789433354113,0.0254005818906041,0.0241969774978399,0.0263814736927398,0.0265209300828823,0.0251650359078061,0.0232571553409208,0.024832342754359,0.0255444436986863,0.0250602229504165,0.0235889409596938,0.0255258918707951,0.0251568336429135,0.0239535154419963
"P07700",7.2967509355041,5.28385412570987,2.26450891101852,2.51612101224279,3.01934521469135,2.01289680979424,2.26450891101852,4.02579361958847,0.503224202448559,6.03869042938271,9.8128719477469,2.51612101224279,2.51612101224279,4.78062992326131,2.76773311346707,5.03224202448559,4.27740572081275,2.51612101224279,2.26450891101852,6.54191463183127,0.0225067276763452,0.0231763632762712,0.0219228989115642,0.0225576245367808,0.0226805757924659,0.0239561642939418,0.0237985889293414,0.0234959685720229,0.0240201888115923,0.023345880078546,0.0234052197238157,0.0242037613094926,0.0266997206592925,0.0253579460414208,0.0245157517754287,0.0248411920408417,0.0257976879641832,0.0260186350345761,0.0260339147765332,0.0260325283406882,0.0285828959230671,0.0271186933889478,0.0271791196931982,0.02620809422647,0.0274380545219464,0.0253205167594575,0.0256577950277662,0.0256440541092757,0.0247746718532047,0.0260966647272425
"Q923X8",7.59727657139787,3.52730697957758,2.98464436733488,2.71331306121353,2.98464436733488,2.44198175509217,1.89931914284947,4.88396351018435,1.08532522448541,6.78328265303382,10.5819209387328,3.52730697957758,2.17065044897082,7.59727657139787,3.52730697957758,8.95393310200464,3.52730697957758,1.62798783672812,4.88396351018435,7.05461395915517,0.022125881696817,0.0256923416049347,0.0235526759810306,0.0204351551683684,0.0228541827518465,0.0234272242929274,0.0232591968702795,0.02320681883315,0.0245426391135035,0.0254723213951633,0.0254972761911773,0.0220845394250797,0.023632309650503,0.0255085284482414,0.0250861581765686,0.0235968051188457,0.0232174537554961,0.0256345784197043,0.0242351650996967,0.0265120792122055,0.0263665007697939,0.0255241253638426,0.0229409277919437,0.0244406517692387,0.0258697524981943,0.0254980791777743,0.0242438543461264,0.0250781130483428,0.0245956099348178,0.0245377479730338
