"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",4.66542290915479,3.19213146415854,0.491097148332083,1.47329144499625,0.245548574166041,3.68322861249062,2.20993716749437,5.15652005748687,1.96438859332833,2.45548574166041,6.87536007664916,0.245548574166041,0.982194296664165,2.9465828899925,1.96438859332833,2.9465828899925,4.41987433498874,2.70103431582645,2.20993716749437,3.92877718665666,0.0252472931107201,0.0256070988952654,0.0276064448910644,0.0260694794818991,0.0263528117935037,0.024158503071698,0.0232206913249023,0.0257357951644817,0.0243990609696411,0.0266225255513534,0.0258380500203943,0.0245332025560582,0.0234047555705134,0.0239802076192904,0.0265056260377216,0.0233858684734476,0.0233832390565866,0.0250508023965392,0.0260735022381947,0.0241710099532392,0.0243410048999093,0.0257111584187677,0.0254037568992366,0.026028120241696,0.02396361960348,0.0239603976524266,0.0250100928734024,0.0253104285403167,0.0272291888582788,0.0261476896699301
"Q9R0C9",4.66542290915479,3.19213146415854,0.491097148332083,1.47329144499625,0.245548574166041,3.68322861249062,2.20993716749437,5.15652005748687,1.96438859332833,2.45548574166041,6.87536007664916,0.245548574166041,0.982194296664165,2.9465828899925,1.96438859332833,2.9465828899925,4.41987433498874,2.70103431582645,2.20993716749437,3.92877718665666,0.0252472931107201,0.0256070988952654,0.0276064448910644,0.0260694794818991,0.0263528117935037,0.024158503071698,0.0232206913249023,0.0257357951644817,0.0243990609696411,0.0266225255513534,0.0258380500203943,0.0245332025560582,0.0234047555705134,0.0239802076192904,0.0265056260377216,0.0233858684734476,0.0233832390565866,0.0250508023965392,0.0260735022381947,0.0241710099532392,0.0243410048999093,0.0257111584187677,0.0254037568992366,0.026028120241696,0.02396361960348,0.0239603976524266,0.0250100928734024,0.0253104285403167,0.0272291888582788,0.0261476896699301
"Q5PXE2",4.89312089146946,3.18052857945515,0.489312089146946,1.46793626744084,0.244656044573473,3.66984066860209,2.44656044573473,5.13777693604293,1.95724835658778,2.44656044573473,6.85036924805724,0.244656044573473,0.978624178293892,2.93587253488168,1.46793626744084,2.93587253488168,4.40380880232251,2.6912164903082,2.20190440116126,3.66984066860209,0.0251032264042346,0.0258027383448551,0.0276557839246893,0.0262842662475986,0.0261688424626005,0.0240635061542058,0.0232549125968984,0.0258487170460366,0.0243911563683144,0.0267354162575676,0.025900569837869,0.0243490488576077,0.0234667927708097,0.024057095699008,0.0262676779096908,0.023493431264583,0.0234171871099179,0.0252103540237224,0.0259178306714782,0.0241954623943076,0.0244759624727424,0.0257332423565491,0.0254717490552834,0.0262605395009434,0.0240033195072866,0.0239612751724971,0.0248821593198357,0.0253375462259604,0.0273095370329213,0.0263246084365126
"Q60492",4.94496789111739,2.96698073467043,0.741745183667608,1.48349036733522,0.247248394555869,3.70872591833804,2.71973234011456,4.69771949656152,1.73073876189108,1.73073876189108,7.17020344212021,0.494496789111739,0.988993578223477,3.2142291292263,1.97798715644695,2.47248394555869,4.20322270744978,2.71973234011456,1.97798715644695,4.94496789111739,0.0239792007876185,0.0254513345940047,0.0279324644371253,0.025381544226137,0.0258723121658909,0.0240906435252824,0.0240292895907699,0.0251511366848275,0.024651905014606,0.0263010759549594,0.0259207919526493,0.0244580966540298,0.0228926538119397,0.0240892283377075,0.0265539232854404,0.0236093721640623,0.024119377073283,0.0247835110348516,0.0260270396827063,0.0245507888603891,0.02487071535785,0.0248736041061309,0.0256451961222149,0.0264935877762024,0.0235316231374393,0.0236628405854944,0.0246106803361665,0.0255475781803481,0.0273403945697893,0.0263296954342141
"O55242",5.15165025872879,2.94380014784502,0.735950036961255,1.47190007392251,0.245316678987085,3.67975018480628,1.96253343189668,5.15165025872879,1.96253343189668,2.94380014784502,6.86886701163838,0.49063335797417,0.981266715948341,3.18911682683211,1.7172167529096,2.69848346885794,4.41570022176753,2.69848346885794,2.20785011088377,2.94380014784502,0.025172258794479,0.0258419245679496,0.0279568637125562,0.0265027840895233,0.0260629808962953,0.0241023800971304,0.0231818169436659,0.0253016334407266,0.0251320930114823,0.0261995763613838,0.0261383797487756,0.0245940151062252,0.0227910872094805,0.0240543217409356,0.026136114160112,0.0231810581196072,0.0235919012130372,0.0250197203486786,0.02545658281364,0.0240049449277418,0.0241246795799201,0.0260041956863588,0.0254928068338231,0.026568876768872,0.0237976402899186,0.0239847893199859,0.024848848825993,0.0253570117981917,0.0274713246701175,0.026610709936308
"Q99720",5.31438592277936,3.38188195085959,0.483125992979941,1.44937797893982,0.241562996489971,3.62344494734956,2.41562996489971,5.07282292628939,1.6909409754298,1.44937797893982,7.00532689820915,0.241562996489971,0.966251985959883,2.89875595787965,1.6909409754298,2.89875595787965,4.1065709403295,2.65719296138968,1.93250397191977,4.34813393681947,0.0251060153139764,0.0255483459277978,0.0275839890011488,0.0265016312423865,0.0257433353712008,0.0243583955075391,0.023505952551719,0.0263142669469163,0.0246627791761319,0.0271157251471678,0.0257808731475421,0.0246304732338659,0.0231300220561351,0.0246986008715416,0.0266840765589292,0.0231573320878073,0.0235477282747638,0.0253635513194813,0.0263964382373113,0.0244811751862152,0.0245232869963856,0.0258955388501739,0.0254198810863695,0.0259063536011284,0.0240919062256282,0.0245322682989128,0.0253035570125351,0.0250252908705254,0.0273935510673756,0.0260346623414175
"Q5PXE3",5.61503985307292,3.17371817782383,0.488264335049819,1.46479300514946,0.24413216752491,3.66198251287364,2.4413216752491,5.1267755180231,1.95305734019928,1.70892517267437,7.07983285822238,0.24413216752491,0.976528670099639,3.17371817782383,1.46479300514946,2.68545384277401,4.15024684792346,2.68545384277401,1.95305734019928,3.90611468039855,0.0253274714037599,0.025641764048817,0.0275425912981938,0.0262510017140637,0.0258411113957082,0.0242990174062648,0.0235783242379281,0.0267591592823426,0.0248851839125681,0.0270179402359196,0.0256778968450252,0.0242165072194273,0.0226780611824878,0.0246859607466863,0.0267404687668554,0.023384605082437,0.0232618328183782,0.0250499227706664,0.0258692432873373,0.0242571707348589,0.0248321726772284,0.0254830743406827,0.0248756688538324,0.0255992679798747,0.0240933657858679,0.0242353698425066,0.0254627633579507,0.0251063651999864,0.0270998393332065,0.0261147107142284
"Q58DH7",5.70308267514652,2.97552139572862,0.495920232621437,1.73572081417503,0.495920232621437,3.47144162835006,2.23164104679647,5.45512255883581,1.98368093048575,1.48776069786431,7.19084337301084,0.247960116310718,0.991840465242874,2.97552139572862,1.48776069786431,2.97552139572862,3.9673618609715,2.7275612794179,1.98368093048575,4.46328209359293,0.0254004495939205,0.0253047251178,0.0272099931033459,0.0257737011099964,0.0264569546926941,0.0244527780326428,0.0232537614014962,0.0262581940003524,0.0245415837541218,0.0266053685470023,0.0255423634433792,0.0246618691224436,0.0225241977567718,0.0244653398835304,0.0264680410201215,0.0232638718510001,0.023093189524548,0.0248616008016877,0.0255056519655936,0.0242911055925136,0.0248322156474544,0.025373539494858,0.0250501381534455,0.0257618893137671,0.0239787327082499,0.0238304539001318,0.0250572396433459,0.0250091133049662,0.027097004486093,0.0261148167220079
"Q645J3",4.06799200824132,1.77974650360558,0.508499001030165,2.54249500515083,0.762748501545248,2.54249500515083,1.5254970030905,4.83074050978657,2.03399600412066,3.55949300721116,5.59348901133182,2.03399600412066,1.27124750257541,3.30524350669608,1.01699800206033,3.30524350669608,4.83074050978657,1.77974650360558,2.03399600412066,3.05099400618099,0.0239046333955339,0.025178773460261,0.0267053072181721,0.0238132755712946,0.0265219045701403,0.0247415656688507,0.0223557734521084,0.024464886286696,0.0235173818061606,0.0263109623246262,0.0250657102512896,0.025230294792189,0.0243084863954262,0.0241545296286541,0.0255757010602523,0.0237879030137069,0.0229564516899456,0.0262034392441283,0.025590582744354,0.0242128169163544,0.0247422744260719,0.0253567476613695,0.0249004964145081,0.0253349308719754,0.023764823582832,0.024164391730776,0.0242091136024594,0.0246216136123542,0.0263049048816887,0.0277508232107377
"Q6DCU6",3.75949820815261,1.75443249713788,0.501266427753681,2.00506571101472,0.25063321387684,3.50886499427577,1.50379928326104,4.51139784978313,1.75443249713788,2.75696535264524,6.26583034692101,2.25569892489156,0.751899641630521,2.75696535264524,0.751899641630521,4.51139784978313,4.01013142202945,1.75443249713788,2.00506571101472,4.01013142202945,0.0239227367655455,0.025982766195491,0.0265944823156342,0.0242017170194888,0.025838767345326,0.0242140931853296,0.0233754961437364,0.0242466177233855,0.0238882911435489,0.0261160860580508,0.0251590588240727,0.0254657768341793,0.0246498876938337,0.0240885058784138,0.0253942109594142,0.0239761806552118,0.0231054307269278,0.0266254144586929,0.0269122453255578,0.0232850844373087,0.0246919996532312,0.025333743751774,0.0252706145026222,0.0261298425591321,0.0242832308194055,0.0247526514269792,0.0239497071066343,0.0237971377945858,0.0261589894006581,0.0279560194189877
