"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0771513353115727,0.0474777448071217,0.0237388724035608,0.0326409495548961,0.0415430267062315,0.0207715133531157,0.0267062314540059,0.0415430267062315,0.0178041543026706,0.0623145400593472,0.1513353115727,0.0267062314540059,0.0118694362017804,0.086053412462908,0.0534124629080119,0.0593471810089021,0.0623145400593472,0.0237388724035608,0.0415430267062315,0.0919881305637982
"Q5QD14",0.0771513353115727,0.0474777448071217,0.0237388724035608,0.0326409495548961,0.0415430267062315,0.0207715133531157,0.0267062314540059,0.0415430267062315,0.0178041543026706,0.0623145400593472,0.1513353115727,0.0267062314540059,0.0118694362017804,0.086053412462908,0.0534124629080119,0.0593471810089021,0.0623145400593472,0.0237388724035608,0.0415430267062315,0.0919881305637982
"Q5QD23",0.0830860534124629,0.0504451038575668,0.0237388724035608,0.0326409495548961,0.0415430267062315,0.0207715133531157,0.0267062314540059,0.0415430267062315,0.0178041543026706,0.0652818991097923,0.15727002967359,0.0267062314540059,0.0148367952522255,0.086053412462908,0.0504451038575668,0.0623145400593472,0.056379821958457,0.0237388724035608,0.0385756676557863,0.0801186943620178
"O14804",0.0830860534124629,0.0356083086053412,0.0207715133531157,0.029673590504451,0.0415430267062315,0.0237388724035608,0.0356083086053412,0.0415430267062315,0.0237388724035608,0.0682492581602374,0.148367952522255,0.0326409495548961,0.0178041543026706,0.086053412462908,0.0445103857566766,0.0593471810089021,0.0652818991097923,0.0237388724035608,0.0415430267062315,0.0771513353115727
"Q923Y2",0.0810810810810811,0.033033033033033,0.036036036036036,0.027027027027027,0.036036036036036,0.03003003003003,0.024024024024024,0.0510510510510511,0.012012012012012,0.0780780780780781,0.117117117117117,0.036036036036036,0.021021021021021,0.0810810810810811,0.042042042042042,0.0990990990990991,0.048048048048048,0.018018018018018,0.0540540540540541,0.0750750750750751
"Q5QD28",0.0830860534124629,0.0356083086053412,0.0237388724035608,0.0326409495548961,0.0415430267062315,0.0207715133531157,0.0356083086053412,0.0415430267062315,0.0237388724035608,0.0682492581602374,0.1513353115727,0.0326409495548961,0.0178041543026706,0.086053412462908,0.0474777448071217,0.056379821958457,0.0623145400593472,0.0237388724035608,0.0415430267062315,0.0741839762611276
"Q5QD12",0.0810810810810811,0.036036036036036,0.039039039039039,0.024024024024024,0.036036036036036,0.039039039039039,0.018018018018018,0.048048048048048,0.012012012012012,0.0750750750750751,0.114114114114114,0.036036036036036,0.021021021021021,0.0840840840840841,0.039039039039039,0.0960960960960961,0.0570570570570571,0.018018018018018,0.0540540540540541,0.0720720720720721
"Q5QD11",0.0810810810810811,0.036036036036036,0.036036036036036,0.027027027027027,0.039039039039039,0.033033033033033,0.018018018018018,0.048048048048048,0.012012012012012,0.0690690690690691,0.12012012012012,0.036036036036036,0.018018018018018,0.0840840840840841,0.039039039039039,0.0930930930930931,0.0600600600600601,0.018018018018018,0.0540540540540541,0.0780780780780781
"P07700",0.0932475884244373,0.067524115755627,0.0289389067524116,0.0321543408360129,0.0385852090032154,0.0257234726688103,0.0289389067524116,0.0514469453376206,0.00643086816720257,0.0771704180064309,0.12540192926045,0.0321543408360129,0.0321543408360129,0.0610932475884244,0.0353697749196141,0.0643086816720257,0.0546623794212219,0.0321543408360129,0.0289389067524116,0.0836012861736334
"Q923X8",0.0840840840840841,0.039039039039039,0.033033033033033,0.03003003003003,0.033033033033033,0.027027027027027,0.021021021021021,0.0540540540540541,0.012012012012012,0.0750750750750751,0.117117117117117,0.039039039039039,0.024024024024024,0.0840840840840841,0.039039039039039,0.0990990990990991,0.039039039039039,0.018018018018018,0.0540540540540541,0.0780780780780781
"P43141",0.107491856677524,0.0586319218241042,0.0325732899022801,0.0325732899022801,0.0390879478827362,0.0162866449511401,0.0195439739413681,0.0456026058631922,0.0130293159609121,0.0716612377850163,0.117263843648208,0.0260586319218241,0.0228013029315961,0.0488599348534202,0.0521172638436482,0.0553745928338762,0.0618892508143322,0.0325732899022801,0.0293159609120521,0.117263843648208
"Q5QD09",0.0856269113149847,0.036697247706422,0.036697247706422,0.0244648318042813,0.036697247706422,0.0336391437308868,0.018348623853211,0.0458715596330275,0.0122324159021407,0.0764525993883792,0.116207951070336,0.036697247706422,0.0152905198776758,0.0825688073394495,0.0397553516819572,0.0978593272171254,0.0581039755351682,0.018348623853211,0.0519877675840979,0.0764525993883792
"Q9TST5",0.0795847750865052,0.041522491349481,0.0380622837370242,0.027681660899654,0.0380622837370242,0.0311418685121107,0.0380622837370242,0.0346020761245675,0.0173010380622837,0.0934256055363322,0.100346020761246,0.041522491349481,0.0311418685121107,0.0726643598615917,0.027681660899654,0.055363321799308,0.055363321799308,0.027681660899654,0.0380622837370242,0.110726643598616
"P04274",0.0709677419354839,0.0387096774193548,0.0354838709677419,0.0354838709677419,0.0354838709677419,0.032258064516129,0.032258064516129,0.032258064516129,0.0258064516129032,0.0903225806451613,0.0967741935483871,0.0516129032258065,0.032258064516129,0.0645161290322581,0.0290322580645161,0.0709677419354839,0.0580645161290323,0.0258064516129032,0.0354838709677419,0.106451612903226
"P54833",0.076158940397351,0.043046357615894,0.0364238410596026,0.0298013245033113,0.0364238410596026,0.033112582781457,0.043046357615894,0.0397350993377483,0.0198675496688742,0.0894039735099338,0.0960264900662252,0.0364238410596026,0.0298013245033113,0.0695364238410596,0.033112582781457,0.0662251655629139,0.0529801324503311,0.0264900662251656,0.0364238410596026,0.105960264900662
"Q5QD10",0.0764525993883792,0.036697247706422,0.036697247706422,0.0244648318042813,0.036697247706422,0.0336391437308868,0.018348623853211,0.0489296636085627,0.0122324159021407,0.0764525993883792,0.113149847094801,0.036697247706422,0.0214067278287462,0.0825688073394495,0.036697247706422,0.100917431192661,0.055045871559633,0.018348623853211,0.055045871559633,0.0795107033639144
"P18762",0.0741935483870968,0.0451612903225806,0.0354838709677419,0.0354838709677419,0.0354838709677419,0.032258064516129,0.0290322580645161,0.032258064516129,0.0193548387096774,0.0903225806451613,0.0967741935483871,0.0516129032258065,0.0290322580645161,0.0645161290322581,0.032258064516129,0.0709677419354839,0.0548387096774194,0.0258064516129032,0.0354838709677419,0.109677419354839
"Q4KWL2",0.0741935483870968,0.0419354838709677,0.0387096774193548,0.0290322580645161,0.0354838709677419,0.0354838709677419,0.032258064516129,0.032258064516129,0.0225806451612903,0.0935483870967742,0.0967741935483871,0.0483870967741935,0.032258064516129,0.0645161290322581,0.032258064516129,0.067741935483871,0.0612903225806452,0.0258064516129032,0.0354838709677419,0.1
"P02699",0.0803858520900322,0.022508038585209,0.0418006430868167,0.00964630225080386,0.0321543408360129,0.0482315112540193,0.0353697749196141,0.0578778135048231,0.0192926045016077,0.067524115755627,0.0836012861736334,0.0289389067524116,0.0514469453376206,0.0964630225080386,0.0546623794212219,0.0385852090032154,0.0739549839228296,0.0128617363344051,0.0578778135048231,0.0868167202572347
"Q923X5",0.0690690690690691,0.045045045045045,0.033033033033033,0.03003003003003,0.042042042042042,0.027027027027027,0.021021021021021,0.048048048048048,0.012012012012012,0.0780780780780781,0.126126126126126,0.036036036036036,0.027027027027027,0.0780780780780781,0.045045045045045,0.0870870870870871,0.0510510510510511,0.015015015015015,0.0540540540540541,0.0750750750750751
"Q923Y1",0.0870870870870871,0.036036036036036,0.033033033033033,0.03003003003003,0.033033033033033,0.027027027027027,0.021021021021021,0.048048048048048,0.015015015015015,0.0720720720720721,0.132132132132132,0.039039039039039,0.024024024024024,0.0720720720720721,0.039039039039039,0.105105105105105,0.039039039039039,0.018018018018018,0.0510510510510511,0.0780780780780781
"Q5QD08",0.0825688073394495,0.036697247706422,0.0336391437308868,0.0275229357798165,0.0397553516819572,0.0305810397553517,0.018348623853211,0.0489296636085627,0.0122324159021407,0.0703363914373089,0.107033639143731,0.036697247706422,0.0214067278287462,0.0825688073394495,0.036697247706422,0.100917431192661,0.055045871559633,0.018348623853211,0.055045871559633,0.0856269113149847
"Q923X6",0.0810810810810811,0.039039039039039,0.033033033033033,0.03003003003003,0.033033033033033,0.027027027027027,0.021021021021021,0.045045045045045,0.015015015015015,0.0780780780780781,0.129129129129129,0.036036036036036,0.018018018018018,0.0810810810810811,0.036036036036036,0.105105105105105,0.045045045045045,0.018018018018018,0.0510510510510511,0.0780780780780781
