"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0355987055016181,0.0323624595469256,0.0614886731391586,0.00970873786407767,0.0323624595469256,0.0355987055016181,0.0194174757281553,0.0420711974110032,0.0226537216828479,0.13915857605178,0.161812297734628,0.0485436893203883,0.0323624595469256,0.0776699029126214,0.0161812297734628,0.0744336569579288,0.0420711974110032,0.0258899676375405,0.0226537216828479,0.0679611650485437
"Q646F9",0.0496688741721854,0.0298013245033113,0.0596026490066225,0.00662251655629139,0.0165562913907285,0.0231788079470199,0.0298013245033113,0.033112582781457,0.0264900662251656,0.0927152317880795,0.145695364238411,0.0596026490066225,0.0264900662251656,0.0728476821192053,0.033112582781457,0.0662251655629139,0.0629139072847682,0.033112582781457,0.033112582781457,0.0993377483443709
"Q5Y4Z8",0.0562913907284768,0.0264900662251656,0.0529801324503311,0.00993377483443709,0.0198675496688742,0.0231788079470199,0.0298013245033113,0.0364238410596026,0.0231788079470199,0.0794701986754967,0.149006622516556,0.0629139072847682,0.0298013245033113,0.076158940397351,0.0264900662251656,0.076158940397351,0.0596026490066225,0.0364238410596026,0.0264900662251656,0.0993377483443709
"P59540",0.0562913907284768,0.0231788079470199,0.0596026490066225,0.00662251655629139,0.0165562913907285,0.0298013245033113,0.0231788079470199,0.0298013245033113,0.0264900662251656,0.102649006622517,0.152317880794702,0.0629139072847682,0.0264900662251656,0.0794701986754967,0.0264900662251656,0.076158940397351,0.0562913907284768,0.0364238410596026,0.0264900662251656,0.0827814569536424
"Q646E1",0.0562913907284768,0.0264900662251656,0.0562913907284768,0.00662251655629139,0.0165562913907285,0.033112582781457,0.0231788079470199,0.0298013245033113,0.0231788079470199,0.105960264900662,0.158940397350993,0.0596026490066225,0.0264900662251656,0.0794701986754967,0.0264900662251656,0.076158940397351,0.0562913907284768,0.0364238410596026,0.0298013245033113,0.0728476821192053
"Q646C0",0.0562913907284768,0.0231788079470199,0.0562913907284768,0.00662251655629139,0.0198675496688742,0.033112582781457,0.0231788079470199,0.0298013245033113,0.0231788079470199,0.102649006622517,0.158940397350993,0.0596026490066225,0.0264900662251656,0.0794701986754967,0.0264900662251656,0.076158940397351,0.0596026490066225,0.0364238410596026,0.0298013245033113,0.0728476821192053
"Q646D6",0.0690789473684211,0.0526315789473684,0.0361842105263158,0.0296052631578947,0.0328947368421053,0.0230263157894737,0.0164473684210526,0.0328947368421053,0.0230263157894737,0.0921052631578947,0.161184210526316,0.0460526315789474,0.0263157894736842,0.0855263157894737,0.0230263157894737,0.0789473684210526,0.0559210526315789,0.0230263157894737,0.0263157894736842,0.0657894736842105
"Q9NYW3",0.0657894736842105,0.0493421052631579,0.0361842105263158,0.0296052631578947,0.0328947368421053,0.0230263157894737,0.0164473684210526,0.0361842105263158,0.0230263157894737,0.0953947368421053,0.161184210526316,0.0493421052631579,0.0263157894736842,0.0855263157894737,0.0230263157894737,0.0789473684210526,0.0559210526315789,0.0230263157894737,0.0263157894736842,0.0625
"Q646C4",0.0693069306930693,0.0528052805280528,0.0363036303630363,0.0297029702970297,0.033003300330033,0.0231023102310231,0.0165016501650165,0.033003300330033,0.0231023102310231,0.0924092409240924,0.161716171617162,0.0462046204620462,0.0264026402640264,0.0825082508250825,0.0231023102310231,0.0792079207920792,0.0561056105610561,0.0231023102310231,0.0264026402640264,0.066006600660066
"P59537",0.0528052805280528,0.0264026402640264,0.0594059405940594,0.0066006600660066,0.0165016501650165,0.0231023102310231,0.0231023102310231,0.033003300330033,0.0231023102310231,0.0891089108910891,0.141914191419142,0.0693069306930693,0.0396039603960396,0.0924092409240924,0.0264026402640264,0.0792079207920792,0.0594059405940594,0.033003300330033,0.0231023102310231,0.0825082508250825
"Q645T7",0.0657894736842105,0.0526315789473684,0.0328947368421053,0.0296052631578947,0.0296052631578947,0.0197368421052632,0.0197368421052632,0.0328947368421053,0.0197368421052632,0.0953947368421053,0.164473684210526,0.0460526315789474,0.0296052631578947,0.0855263157894737,0.0230263157894737,0.0789473684210526,0.0625,0.0263157894736842,0.0263157894736842,0.0592105263157895
"Q646F6",0.0657894736842105,0.0526315789473684,0.0361842105263158,0.0296052631578947,0.0296052631578947,0.0197368421052632,0.0197368421052632,0.0328947368421053,0.0197368421052632,0.0953947368421053,0.161184210526316,0.0460526315789474,0.0263157894736842,0.0888157894736842,0.0230263157894737,0.0756578947368421,0.0625,0.0263157894736842,0.0263157894736842,0.0625
"Q646C1",0.0460526315789474,0.0361842105263158,0.0460526315789474,0.0131578947368421,0.0197368421052632,0.0197368421052632,0.0296052631578947,0.0296052631578947,0.0296052631578947,0.0986842105263158,0.161184210526316,0.0592105263157895,0.0328947368421053,0.0723684210526316,0.0263157894736842,0.0756578947368421,0.0559210526315789,0.0296052631578947,0.0296052631578947,0.0888157894736842
"Q645Z7",0.0562913907284768,0.0264900662251656,0.0496688741721854,0.00993377483443709,0.0165562913907285,0.0298013245033113,0.0231788079470199,0.0298013245033113,0.0231788079470199,0.0993377483443709,0.155629139072848,0.0629139072847682,0.0264900662251656,0.0794701986754967,0.0264900662251656,0.0794701986754967,0.0596026490066225,0.0364238410596026,0.0298013245033113,0.0794701986754967
"Q646E2",0.0460526315789474,0.0328947368421053,0.0460526315789474,0.0131578947368421,0.0197368421052632,0.0164473684210526,0.0328947368421053,0.0296052631578947,0.0296052631578947,0.0986842105263158,0.161184210526316,0.0625,0.0296052631578947,0.0723684210526316,0.0263157894736842,0.0756578947368421,0.0559210526315789,0.0296052631578947,0.0296052631578947,0.0921052631578947
"Q646F8",0.0561056105610561,0.0363036303630363,0.0594059405940594,0.0099009900990099,0.0231023102310231,0.0198019801980198,0.0231023102310231,0.0297029702970297,0.0198019801980198,0.0891089108910891,0.165016501650165,0.066006600660066,0.0231023102310231,0.0627062706270627,0.0231023102310231,0.0792079207920792,0.0528052805280528,0.0297029702970297,0.0297029702970297,0.102310231023102
"Q5Y4Y8",0.0596026490066225,0.0264900662251656,0.0596026490066225,0.00662251655629139,0.0198675496688742,0.0231788079470199,0.0298013245033113,0.033112582781457,0.0198675496688742,0.102649006622517,0.152317880794702,0.0662251655629139,0.0231788079470199,0.0794701986754967,0.0298013245033113,0.0728476821192053,0.0496688741721854,0.0364238410596026,0.0264900662251656,0.0827814569536424
"Q9JKE9",0.0629139072847682,0.0463576158940397,0.0463576158940397,0.0298013245033113,0.033112582781457,0.0231788079470199,0.0165562913907285,0.0298013245033113,0.0165562913907285,0.0894039735099338,0.158940397350993,0.0496688741721854,0.033112582781457,0.0728476821192053,0.0231788079470199,0.076158940397351,0.0662251655629139,0.0231788079470199,0.033112582781457,0.0695364238410596
"Q646A2",0.0625,0.0493421052631579,0.0361842105263158,0.0296052631578947,0.0328947368421053,0.0230263157894737,0.0164473684210526,0.0361842105263158,0.0197368421052632,0.0953947368421053,0.161184210526316,0.0493421052631579,0.0263157894736842,0.0855263157894737,0.0230263157894737,0.0789473684210526,0.0592105263157895,0.0230263157894737,0.0296052631578947,0.0625
"P59541",0.0493421052631579,0.0427631578947368,0.0460526315789474,0.0131578947368421,0.0197368421052632,0.0197368421052632,0.0296052631578947,0.0296052631578947,0.0296052631578947,0.0953947368421053,0.157894736842105,0.0559210526315789,0.0296052631578947,0.0756578947368421,0.0263157894736842,0.0756578947368421,0.0559210526315789,0.0263157894736842,0.0296052631578947,0.0921052631578947
"Q645V8",0.0657894736842105,0.0493421052631579,0.0361842105263158,0.0296052631578947,0.0328947368421053,0.0230263157894737,0.0164473684210526,0.0328947368421053,0.0230263157894737,0.105263157894737,0.164473684210526,0.0493421052631579,0.0296052631578947,0.0822368421052632,0.0230263157894737,0.0789473684210526,0.0526315789473684,0.0230263157894737,0.0263157894736842,0.0559210526315789
"Q645V3",0.0463576158940397,0.033112582781457,0.0463576158940397,0.0132450331125828,0.0165562913907285,0.0198675496688742,0.0264900662251656,0.043046357615894,0.0198675496688742,0.0894039735099338,0.158940397350993,0.0662251655629139,0.0264900662251656,0.0794701986754967,0.0264900662251656,0.0794701986754967,0.0629139072847682,0.0298013245033113,0.0298013245033113,0.0860927152317881
"Q645V4",0.0592105263157895,0.0361842105263158,0.0559210526315789,0.00986842105263158,0.0197368421052632,0.0230263157894737,0.0230263157894737,0.0296052631578947,0.0263157894736842,0.101973684210526,0.164473684210526,0.0625,0.0263157894736842,0.0789473684210526,0.0197368421052632,0.0657894736842105,0.0526315789473684,0.0328947368421053,0.0296052631578947,0.0822368421052632
"P59530",0.0662251655629139,0.043046357615894,0.0364238410596026,0.0298013245033113,0.0298013245033113,0.0231788079470199,0.0165562913907285,0.033112582781457,0.0198675496688742,0.0860927152317881,0.152317880794702,0.0562913907284768,0.033112582781457,0.0662251655629139,0.0231788079470199,0.0894039735099338,0.0596026490066225,0.0231788079470199,0.0298013245033113,0.0827814569536424
"Q5Y500",0.0528052805280528,0.0264026402640264,0.0594059405940594,0.0099009900990099,0.0165016501650165,0.0198019801980198,0.0231023102310231,0.033003300330033,0.0231023102310231,0.0891089108910891,0.148514851485149,0.0693069306930693,0.0396039603960396,0.0924092409240924,0.0264026402640264,0.0792079207920792,0.0561056105610561,0.033003300330033,0.0231023102310231,0.0792079207920792
"Q645T3",0.0594059405940594,0.0363036303630363,0.0594059405940594,0.0099009900990099,0.0198019801980198,0.0198019801980198,0.0297029702970297,0.0264026402640264,0.0198019801980198,0.102310231023102,0.155115511551155,0.066006600660066,0.0231023102310231,0.0693069306930693,0.0198019801980198,0.0891089108910891,0.0495049504950495,0.0297029702970297,0.0297029702970297,0.0858085808580858
"Q646B4",0.0495049504950495,0.0264026402640264,0.0594059405940594,0.0066006600660066,0.0165016501650165,0.0198019801980198,0.0231023102310231,0.033003300330033,0.0231023102310231,0.0858085808580858,0.145214521452145,0.0726072607260726,0.0396039603960396,0.0924092409240924,0.0264026402640264,0.0825082508250825,0.0561056105610561,0.033003300330033,0.0231023102310231,0.0858085808580858
"P59539",0.0540540540540541,0.0337837837837838,0.0540540540540541,0.0101351351351351,0.0202702702702703,0.0168918918918919,0.0304054054054054,0.0337837837837838,0.0202702702702703,0.0810810810810811,0.14527027027027,0.0608108108108108,0.027027027027027,0.0777027027027027,0.027027027027027,0.0777027027027027,0.0641891891891892,0.0337837837837838,0.027027027027027,0.10472972972973
"Q646B9",0.0496688741721854,0.033112582781457,0.0463576158940397,0.00993377483443709,0.0198675496688742,0.0198675496688742,0.0264900662251656,0.0397350993377483,0.0198675496688742,0.0827814569536424,0.155629139072848,0.0728476821192053,0.0298013245033113,0.0794701986754967,0.0264900662251656,0.0794701986754967,0.0596026490066225,0.0298013245033113,0.0298013245033113,0.0894039735099338
"Q646E0",0.0498338870431894,0.0299003322259136,0.0465116279069767,0.00996677740863787,0.0199335548172757,0.0199335548172757,0.026578073089701,0.0398671096345515,0.0199335548172757,0.0830564784053156,0.156146179401993,0.0730897009966777,0.026578073089701,0.0830564784053156,0.026578073089701,0.079734219269103,0.0598006644518272,0.0299003322259136,0.0299003322259136,0.0897009966777409
"Q645V0",0.039344262295082,0.0262295081967213,0.059016393442623,0.019672131147541,0.0163934426229508,0.0262295081967213,0.0295081967213115,0.0524590163934426,0.019672131147541,0.131147540983607,0.134426229508197,0.059016393442623,0.039344262295082,0.0852459016393443,0.0131147540983607,0.0885245901639344,0.0459016393442623,0.0229508196721311,0.0295081967213115,0.0622950819672131
"Q9NYW0",0.0390879478827362,0.0325732899022801,0.0651465798045603,0.0195439739413681,0.0195439739413681,0.0260586319218241,0.0260586319218241,0.0521172638436482,0.00977198697068404,0.136807817589577,0.130293159609121,0.0553745928338762,0.0325732899022801,0.0912052117263844,0.00977198697068404,0.0814332247557003,0.0521172638436482,0.0228013029315961,0.0358306188925081,0.0618892508143322
"Q645Z4",0.039344262295082,0.0327868852459016,0.0622950819672131,0.0229508196721311,0.019672131147541,0.0262295081967213,0.0262295081967213,0.0524590163934426,0.0131147540983607,0.134426229508197,0.131147540983607,0.0557377049180328,0.0360655737704918,0.0918032786885246,0.00983606557377049,0.0786885245901639,0.0491803278688525,0.0229508196721311,0.0327868852459016,0.0622950819672131
"Q9JKT5",0.0647249190938511,0.0258899676375405,0.0485436893203883,0.0161812297734628,0.0226537216828479,0.0323624595469256,0.0129449838187702,0.0485436893203883,0.0226537216828479,0.110032362459547,0.13915857605178,0.0711974110032362,0.0258899676375405,0.087378640776699,0.0129449838187702,0.0841423948220065,0.0614886731391586,0.029126213592233,0.0226537216828479,0.0614886731391586
"Q645Z6",0.053156146179402,0.026578073089701,0.0465116279069767,0.00996677740863787,0.0199335548172757,0.0199335548172757,0.0332225913621262,0.0398671096345515,0.0199335548172757,0.0764119601328904,0.159468438538206,0.0730897009966777,0.0332225913621262,0.0697674418604651,0.026578073089701,0.0830564784053156,0.0631229235880399,0.026578073089701,0.0332225913621262,0.0863787375415282
"Q646F5",0.0390879478827362,0.0325732899022801,0.0586319218241042,0.0195439739413681,0.0162866449511401,0.0293159609120521,0.0260586319218241,0.0521172638436482,0.00977198697068404,0.143322475570033,0.153094462540717,0.0521172638436482,0.0228013029315961,0.0781758957654723,0.0130293159609121,0.0846905537459283,0.0488599348534202,0.0228013029315961,0.0358306188925081,0.0618892508143322
"Q646G0",0.0496688741721854,0.033112582781457,0.0596026490066225,0.0033112582781457,0.0165562913907285,0.0198675496688742,0.0298013245033113,0.0397350993377483,0.0264900662251656,0.0827814569536424,0.145695364238411,0.0629139072847682,0.0298013245033113,0.0827814569536424,0.0231788079470199,0.0860927152317881,0.0662251655629139,0.0298013245033113,0.0264900662251656,0.0860927152317881
"Q646D7",0.0390879478827362,0.0325732899022801,0.0651465798045603,0.0195439739413681,0.0162866449511401,0.0260586319218241,0.0260586319218241,0.0488599348534202,0.00977198697068404,0.136807817589577,0.133550488599349,0.0553745928338762,0.0358306188925081,0.0879478827361563,0.00977198697068404,0.0846905537459283,0.0488599348534202,0.0228013029315961,0.0390879478827362,0.0618892508143322
"Q646B5",0.0390879478827362,0.0325732899022801,0.0651465798045603,0.0195439739413681,0.0162866449511401,0.0260586319218241,0.0260586319218241,0.0488599348534202,0.00977198697068404,0.136807817589577,0.133550488599349,0.0553745928338762,0.0358306188925081,0.0879478827361563,0.00977198697068404,0.0846905537459283,0.0488599348534202,0.0228013029315961,0.0390879478827362,0.0618892508143322
"P59538",0.0529801324503311,0.0364238410596026,0.0463576158940397,0.00993377483443709,0.0198675496688742,0.0231788079470199,0.0264900662251656,0.0397350993377483,0.0198675496688742,0.0794701986754967,0.155629139072848,0.0695364238410596,0.0198675496688742,0.0827814569536424,0.0264900662251656,0.076158940397351,0.0596026490066225,0.0264900662251656,0.0298013245033113,0.0993377483443709
"Q645T4",0.0431893687707641,0.026578073089701,0.053156146179402,0.00664451827242525,0.0166112956810631,0.0232558139534884,0.026578073089701,0.0365448504983389,0.0299003322259136,0.0863787375415282,0.162790697674419,0.0697674418604651,0.0332225913621262,0.0730897009966777,0.0199335548172757,0.079734219269103,0.0564784053156146,0.0332225913621262,0.0299003322259136,0.0930232558139535
"Q645V6",0.0598006644518272,0.0232558139534884,0.0498338870431894,0.00664451827242525,0.0166112956810631,0.0166112956810631,0.0332225913621262,0.0332225913621262,0.0332225913621262,0.0996677740863787,0.162790697674419,0.0598006644518272,0.0199335548172757,0.0664451827242525,0.0132890365448505,0.0863787375415282,0.0664451827242525,0.0365448504983389,0.026578073089701,0.0897009966777409
"Q646E3",0.0596026490066225,0.0198675496688742,0.0562913907284768,0.00662251655629139,0.0198675496688742,0.0132450331125828,0.0298013245033113,0.033112582781457,0.0364238410596026,0.109271523178808,0.155629139072848,0.0662251655629139,0.0264900662251656,0.0728476821192053,0.0165562913907285,0.0827814569536424,0.0562913907284768,0.0364238410596026,0.0198675496688742,0.0827814569536424
"Q646G1",0.0598006644518272,0.0232558139534884,0.0564784053156146,0.00664451827242525,0.0166112956810631,0.0132890365448505,0.026578073089701,0.0332225913621262,0.0365448504983389,0.106312292358804,0.156146179401993,0.0664451827242525,0.026578073089701,0.0730897009966777,0.0166112956810631,0.079734219269103,0.0598006644518272,0.0365448504983389,0.0232558139534884,0.0830564784053156
"Q646C2",0.0598006644518272,0.0199335548172757,0.0564784053156146,0.00664451827242525,0.0199335548172757,0.0132890365448505,0.0299003322259136,0.0332225913621262,0.0332225913621262,0.109634551495017,0.156146179401993,0.0664451827242525,0.026578073089701,0.0730897009966777,0.0166112956810631,0.0830564784053156,0.0564784053156146,0.0365448504983389,0.0199335548172757,0.0830564784053156
"P59543",0.0596026490066225,0.0198675496688742,0.0529801324503311,0.00662251655629139,0.0198675496688742,0.0132450331125828,0.0298013245033113,0.033112582781457,0.0397350993377483,0.112582781456954,0.155629139072848,0.0662251655629139,0.0264900662251656,0.076158940397351,0.0165562913907285,0.0794701986754967,0.0529801324503311,0.0364238410596026,0.0198675496688742,0.0827814569536424
"Q646A0",0.0629139072847682,0.0231788079470199,0.0529801324503311,0.00662251655629139,0.0165562913907285,0.0132450331125828,0.0264900662251656,0.033112582781457,0.0364238410596026,0.105960264900662,0.155629139072848,0.0662251655629139,0.0264900662251656,0.0728476821192053,0.0165562913907285,0.0860927152317881,0.0562913907284768,0.0364238410596026,0.0231788079470199,0.0827814569536424
"Q7M725",0.0358306188925081,0.0293159609120521,0.0586319218241042,0.0130293159609121,0.0325732899022801,0.0162866449511401,0.0423452768729642,0.0521172638436482,0.0325732899022801,0.104234527687296,0.143322475570033,0.0586319218241042,0.0260586319218241,0.0879478827361563,0.0130293159609121,0.0684039087947883,0.0521172638436482,0.0228013029315961,0.0260586319218241,0.0846905537459283
"Q646F4",0.0463576158940397,0.0463576158940397,0.0463576158940397,0.0165562913907285,0.0165562913907285,0.0198675496688742,0.0165562913907285,0.043046357615894,0.0198675496688742,0.109271523178808,0.162251655629139,0.0562913907284768,0.0231788079470199,0.0827814569536424,0.00993377483443709,0.0894039735099338,0.0529801324503311,0.033112582781457,0.0231788079470199,0.0860927152317881
"Q645V2",0.0666666666666667,0.03,0.0533333333333333,0.02,0.02,0.0166666666666667,0.0166666666666667,0.0533333333333333,0.02,0.106666666666667,0.143333333333333,0.06,0.0233333333333333,0.09,0.0133333333333333,0.0933333333333333,0.0466666666666667,0.0366666666666667,0.02,0.07
"Q9JKT9",0.0487012987012987,0.025974025974026,0.0616883116883117,0.00974025974025974,0.0324675324675325,0.0194805194805195,0.0422077922077922,0.0551948051948052,0.025974025974026,0.103896103896104,0.165584415584416,0.0454545454545455,0.0227272727272727,0.0844155844155844,0.012987012987013,0.0714285714285714,0.051948051948052,0.025974025974026,0.0227272727272727,0.0714285714285714
"Q9JKT4",0.0570469798657718,0.0302013422818792,0.0436241610738255,0.0201342281879195,0.023489932885906,0.0268456375838926,0.0201342281879195,0.0469798657718121,0.0167785234899329,0.104026845637584,0.13758389261745,0.0570469798657718,0.0335570469798658,0.0973154362416107,0.0100671140939597,0.0906040268456376,0.0570469798657718,0.0268456375838926,0.0302013422818792,0.0704697986577181
"Q5Y4Y9",0.0562913907284768,0.0198675496688742,0.0496688741721854,0.0165562913907285,0.0198675496688742,0.0132450331125828,0.0364238410596026,0.0397350993377483,0.0298013245033113,0.0993377483443709,0.182119205298013,0.0596026490066225,0.0198675496688742,0.0695364238410596,0.00993377483443709,0.076158940397351,0.0529801324503311,0.0264900662251656,0.0298013245033113,0.0927152317880795
"Q645Z9",0.0641891891891892,0.0304054054054054,0.0506756756756757,0.0135135135135135,0.0304054054054054,0.0135135135135135,0.0304054054054054,0.027027027027027,0.0202702702702703,0.0945945945945946,0.175675675675676,0.0540540540540541,0.0371621621621622,0.0641891891891892,0.0135135135135135,0.0777027027027027,0.0641891891891892,0.0304054054054054,0.0168918918918919,0.0912162162162162
"Q646G2",0.0574324324324324,0.0371621621621622,0.0540540540540541,0.0168918918918919,0.0202702702702703,0.027027027027027,0.0168918918918919,0.0304054054054054,0.027027027027027,0.0878378378378378,0.189189189189189,0.0506756756756757,0.0371621621621622,0.0844594594594595,0.0202702702702703,0.0777027027027027,0.0439189189189189,0.0304054054054054,0.0236486486486486,0.0675675675675676
"Q645T6",0.0574324324324324,0.0371621621621622,0.0540540540540541,0.0168918918918919,0.0202702702702703,0.027027027027027,0.0168918918918919,0.0304054054054054,0.027027027027027,0.0878378378378378,0.189189189189189,0.0506756756756757,0.0371621621621622,0.0844594594594595,0.0202702702702703,0.0777027027027027,0.0439189189189189,0.0304054054054054,0.0236486486486486,0.0675675675675676
"Q645Z2",0.0503355704697987,0.0436241610738255,0.0503355704697987,0.0201342281879195,0.0201342281879195,0.0201342281879195,0.0134228187919463,0.0436241610738255,0.0201342281879195,0.104026845637584,0.140939597315436,0.0604026845637584,0.0268456375838926,0.0939597315436242,0.0100671140939597,0.104026845637584,0.0436241610738255,0.0302013422818792,0.0201342281879195,0.0838926174496644
"Q7M722",0.029126213592233,0.0355987055016181,0.058252427184466,0.0161812297734628,0.0323624595469256,0.0323624595469256,0.0194174757281553,0.0420711974110032,0.0194174757281553,0.135922330097087,0.161812297734628,0.0485436893203883,0.0388349514563107,0.0809061488673139,0.0161812297734628,0.0711974110032362,0.0453074433656958,0.0194174757281553,0.029126213592233,0.0679611650485437
