"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"",8.72993502412268,9.72764188402241,9.22878845407254,6.48509458934827,3.741400724624,8.72993502412268,5.48738772944854,5.73681444442347,3.741400724624,12.2219090337717,17.4598700482454,7.23337473427307,3.741400724624,7.73222816422294,5.48738772944854,9.22878845407254,7.23337473427307,2.49426714974934,6.73452130432321,8.72993502412268,0.0246677939131882,0.0252603997581019,0.0240202669988992,0.0246052111018981,0.0256086112939728,0.0249815843411255,0.0256487233263088,0.0237005464491784,0.025061662674476,0.0240146738915958,0.0250068032237961,0.0257230607730632,0.0243580154503472,0.0253261470612119,0.0256236367480181,0.0250915932753598,0.0239313543397305,0.0262112314798129,0.0256010338436907,0.0253128965196098,0.0260762139414491,0.0257740324503039,0.0257089364474329,0.0254701733417239,0.0241748935674088,0.0258065113082434,0.0242504711030604,0.0247012929556877,0.0241515947716758,0.0247039186746955
"Q5QNI1",8.72993502412268,9.72764188402241,9.22878845407254,6.48509458934827,3.741400724624,8.72993502412268,5.48738772944854,5.73681444442347,3.741400724624,12.2219090337717,17.4598700482454,7.23337473427307,3.741400724624,7.73222816422294,5.48738772944854,9.22878845407254,7.23337473427307,2.49426714974934,6.73452130432321,8.72993502412268,0.0246677939131882,0.0252603997581019,0.0240202669988992,0.0246052111018981,0.0256086112939728,0.0249815843411255,0.0256487233263088,0.0237005464491784,0.025061662674476,0.0240146738915958,0.0250068032237961,0.0257230607730632,0.0243580154503472,0.0253261470612119,0.0256236367480181,0.0250915932753598,0.0239313543397305,0.0262112314798129,0.0256010338436907,0.0253128965196098,0.0260762139414491,0.0257740324503039,0.0257089364474329,0.0254701733417239,0.0241748935674088,0.0258065113082434,0.0242504711030604,0.0247012929556877,0.0241515947716758,0.0247039186746955
"Q39128",9.49449870853345,8.49507779184572,7.74551210432992,9.24464347936152,1.74898660420353,6.24638072929832,4.49739412509479,6.74609118764219,3.49797320840706,11.9930510002528,15.9907346670037,6.74609118764219,3.24811797923513,10.7437748543931,5.24695981261059,10.993630083565,8.74493302101765,2.9982627500632,5.99652550012639,6.99594641681412,0.0250314656678179,0.0255240109177256,0.0237779815026745,0.024708409995196,0.0251936763694116,0.0253235904864821,0.0248695086979193,0.0236820696243917,0.0244476364960618,0.0244220469094773,0.0253500117037836,0.0258873446649795,0.0231664855677739,0.0263045893358684,0.0273393035481563,0.0241465536557354,0.0246165590180209,0.0246978875105302,0.0254705189704855,0.0259056042003348,0.0261861121554306,0.0255788515361365,0.0250379024704795,0.0249224333969398,0.0258832784176018,0.0247049291804353,0.0249001543008139,0.0253703088606015,0.0237265010510823,0.0239690446157196
"Q6K3T2",7.33670998718765,8.09567998586224,7.08371998762946,5.56577999028029,2.27690999602375,8.09567998586224,4.55381999204751,5.0597999911639,3.03587999469834,10.6255799814442,15.6853799726081,5.81876998983848,3.03587999469834,9.10763998409502,5.31278999072209,9.8666099827696,8.09567998586224,2.27690999602375,5.0597999911639,8.34866998542043,0.0242031231151088,0.0251229834238747,0.0238489600568002,0.0231472221727737,0.0253935948133852,0.0243465601444055,0.0251518496943409,0.0246776763969207,0.0239563742198539,0.0252210259834938,0.0254110664145869,0.0258660018130581,0.0229928255873419,0.0247151729509094,0.0264005588536412,0.0255602409096078,0.024091846341453,0.0260822921061458,0.0252417921856431,0.0252692157937481,0.026017893826671,0.025798377566213,0.0252555221323012,0.02522861136809,0.0250615195027249,0.0249767146278682,0.0257088258370587,0.024990153280823,0.0231879240240777,0.0240840752988847
"Q38849",7.98959879409085,7.98959879409085,5.7425241332528,6.74122398251416,1.74772473620737,6.49154902019882,4.24447435936077,7.49024886946017,3.24577451009941,8.73862368103687,14.2314728519743,5.99219909556814,2.74642458546873,10.2366734549289,4.99349924630678,10.7360233795596,7.98959879409085,2.99609954778407,5.49284917093746,8.73862368103687,0.0254148795003844,0.0250739879930408,0.0239667567958602,0.0244267064750289,0.0256885444789235,0.0257200926696497,0.0244950907585696,0.0236959263729044,0.0246637085241371,0.0249027468859285,0.0243812928733165,0.0256983286241774,0.0238626763995494,0.0256743432283811,0.0268110704685835,0.0245752087569016,0.0242648688913033,0.0245366719284924,0.025975683295965,0.0255067833687612,0.025725771154375,0.0251397782624846,0.0255557008607912,0.0247596492917097,0.0254274068203307,0.02599637618162,0.0251948545595531,0.0250796578424823,0.0234150468731363,0.0246954275483193
"Q38998",7.54987906362524,8.28051252139542,6.33215663400826,5.60152317623808,1.70481140146376,4.14025626069771,3.40962280292753,5.11443420439129,2.43544485923395,7.30633457770184,14.1255801835569,4.38380074662111,3.40962280292753,7.79342354954863,3.89671177477432,7.06279009177845,7.06279009177845,1.94835588738716,5.11443420439129,8.52405700731882,0.0238615081818836,0.0250925128520714,0.0229858634441364,0.0253051563127958,0.0250911978898676,0.0250557706617624,0.0258840793082772,0.0243053834495528,0.023754635140709,0.0240426817860475,0.0261834782648852,0.0264944713145912,0.0243591816978414,0.0253964507764573,0.0277406160103772,0.025633945521457,0.0254132587376935,0.0250450052623787,0.0261360259666018,0.0259873182135591,0.0259055617743766,0.0260560220783316,0.0244681619247655,0.0256353558368064,0.0259983137656717,0.0258700562917698,0.024867983296204,0.0253129500751894,0.0243281296168271,0.0242444386237171
"Q0JKV1",7.38897595064774,8.86677114077729,5.66488156216327,4.67968476874357,1.47779519012955,5.17228316545342,5.17228316545342,5.41858236380835,1.72409438848447,8.86677114077729,13.3001567111659,3.69448797532387,2.9555903802591,7.63527514900267,4.18708637203372,9.60566873584207,6.89637755393789,2.21669278519432,5.91118076051819,9.85196793419699,0.023516041192816,0.025101090422877,0.0234924971870373,0.0240022653680734,0.0250671107447484,0.0258655861943943,0.025557870978662,0.0239157098083501,0.0240744641111146,0.0251864536384916,0.026036884845074,0.0260475073020115,0.0237480285077773,0.0258886126005967,0.0274511428111877,0.0250575102653487,0.0245544585647911,0.0253299617051375,0.0253011908012517,0.0244950803344619,0.0255598984535334,0.0264424894175075,0.0252166267823012,0.0255181389189216,0.0259720804992014,0.0258991732091124,0.0253106662149798,0.0256798516308138,0.0236825707026861,0.0247298384318152
"P0C550",7.38897595064774,8.86677114077729,5.66488156216327,4.67968476874357,1.47779519012955,5.17228316545342,5.17228316545342,5.41858236380835,1.72409438848447,8.86677114077729,13.3001567111659,3.69448797532387,2.9555903802591,7.63527514900267,4.18708637203372,9.60566873584207,6.89637755393789,2.21669278519432,5.91118076051819,9.85196793419699,0.023516041192816,0.025101090422877,0.0234924971870373,0.0240022653680734,0.0250671107447484,0.0258655861943943,0.025557870978662,0.0239157098083501,0.0240744641111146,0.0251864536384916,0.026036884845074,0.0260475073020115,0.0237480285077773,0.0258886126005967,0.0274511428111877,0.0250575102653487,0.0245544585647911,0.0253299617051375,0.0253011908012517,0.0244950803344619,0.0255598984535334,0.0264424894175075,0.0252166267823012,0.0255181389189216,0.0259720804992014,0.0258991732091124,0.0253106662149798,0.0256798516308138,0.0236825707026861,0.0247298384318152
"P92960",8.99304427854493,7.99381713648438,6.24516963787842,8.24362392199952,0.499613571030274,8.24362392199952,5.99536285236329,7.99381713648438,3.49729499721192,12.4903392757568,16.2374410584839,7.24439677993897,3.49729499721192,8.7432374930298,4.7463289247876,8.24362392199952,7.24439677993897,1.9984542841211,5.24594249581788,10.2420782061206,0.0243131477764696,0.025863788041131,0.0232774986257206,0.0236821529605826,0.0247921903087363,0.0250038110440799,0.0259383582081933,0.0238620363259948,0.0233913645190029,0.0255666981902817,0.0255984750244176,0.0256351129416903,0.0240835692880605,0.0231937295561662,0.0254942874178461,0.0254314275377972,0.0238978976541444,0.0261817728671361,0.026638044331182,0.0254753682724899,0.0265970838919222,0.0250576052875009,0.0249209263274056,0.0260359768696372,0.0250044639409294,0.0244904006432573,0.0257364711685546,0.0253601473770919,0.0242388779094969,0.0254305301779438
"Q5JM04",6.8489506311618,7.8273721498992,4.15829145463395,6.3597398717931,1.9568430374748,4.892107593687,4.64750221400265,5.13671297337135,2.20144841715915,7.58276677021485,13.942506642008,4.4028968343183,2.4460537968435,7.8273721498992,4.892107593687,7.09355601084615,6.11513449210875,1.9568430374748,5.13671297337135,8.8057936686366,0.0243972421296997,0.0260435985923488,0.0239571920403583,0.0249704660440945,0.025828768883284,0.0255681606716377,0.0256729331604981,0.0245004579619808,0.0235210005008256,0.0243270913863867,0.024893815969929,0.0263803853735497,0.0234788687286313,0.0255218627447149,0.0277863250494473,0.0251418032066175,0.0242570503052118,0.0256957806563681,0.0259900058938584,0.0253596048790609,0.0259418551030753,0.0255043021945811,0.0252538864792771,0.0255613022700435,0.0257664096922129,0.0257566433615739,0.0246523014944368,0.025696173707476,0.0233444543490975,0.0246248774853728
